leg,n,median,p90,p95,p99,max
GBPAUD,16,148654241.5,148686757.0,148691759.0,148691759.0,148691759.0
GBPNZD,16,148654241.5,148686757.0,148691759.0,148691759.0,148691759.0
AUDNZD,16,148654241.5,148686757.0,148691759.0,148691759.0,148691759.0
