leg,bars,timestamp_mismatches_vs_common,duplicate_count,max_gap_minutes,median_gap_minutes,gaps_gt_5min,intersection_rate
GBPAUD,265809,0,0,4390.0,5.0,369,1.0
GBPNZD,265809,0,0,4390.0,5.0,369,1.0
AUDNZD,265809,0,0,4390.0,5.0,369,1.0
