entry_time,canon_w_ga,live_w_ga,canon_w_gn,live_w_gn,canon_w_an,live_w_an
2022-09-19 13:05:00,1.04364452,1.04364452,0.97756661,0.97756661,0.97878887,0.97878887
2022-09-21 10:55:00,1.03812987,1.03812987,0.98056526,0.98056526,0.98130487,0.98130487
2022-09-26 15:00:00,1.03445148,1.03445148,0.98176283,0.98176283,0.98378569,0.98378569
2022-10-07 15:25:00,1.03844233,1.03844233,0.97971731,0.97971731,0.98184037,0.98184037
2022-10-11 09:10:00,1.0430957,1.0430957,0.9793293,0.9793293,0.977575,0.977575
2022-10-11 14:00:00,1.04487304,1.04487304,0.9771312,0.9771312,0.97799576,0.97799576
2022-10-19 08:15:00,1.05399453,1.05399453,0.97341294,0.97341294,0.97259253,0.97259253
2022-10-19 12:15:00,1.05385797,1.05385797,0.97257549,0.97257549,0.97356654,0.97356654
2022-10-21 15:10:00,1.05370983,1.05370983,0.97351958,0.97351958,0.97277059,0.97277059
2022-10-24 09:35:00,1.05517773,1.05517773,0.9717235,0.9717235,0.97309877,0.97309877
2022-10-25 08:05:00,1.05295167,1.05295167,0.97290373,0.97290373,0.9741446,0.9741446
2022-10-26 09:05:00,1.04944851,1.04944851,0.97464985,0.97464985,0.97590164,0.97590164
2022-10-26 12:05:00,1.0489275,1.0489275,0.97590417,0.97590417,0.97516833,0.97516833
2022-11-03 14:40:00,1.06415255,1.06415255,0.96846454,0.96846454,0.96738291,0.96738291
2022-11-04 11:25:00,1.06427661,1.06427661,0.96821271,0.96821271,0.96751068,0.96751068
2022-11-04 11:55:00,1.06288539,1.06288539,0.96790623,0.96790623,0.96920839,0.96920839
2022-11-09 12:55:00,1.06120167,1.06120167,0.96973679,0.96973679,0.96906154,0.96906154
2022-11-10 11:30:00,1.06236639,1.06236639,0.96839121,0.96839121,0.96924241,0.96924241
2022-11-11 10:55:00,1.05777703,1.05777703,0.97138977,0.97138977,0.9708332,0.9708332
2022-12-01 08:00:00,1.07460947,1.07460947,0.96367881,0.96367881,0.96171172,0.96171172
2022-12-05 12:30:00,1.08159392,1.08159392,0.95871346,0.95871346,0.95969262,0.95969262
2022-12-13 11:15:00,1.08489229,1.08489229,0.95696204,0.95696204,0.95814567,0.95814567
2022-12-15 12:15:00,1.0847304,1.0847304,0.95874431,0.95874431,0.95652529,0.95652529
2022-12-22 14:20:00,1.07843109,1.07843109,0.96162357,0.96162357,0.95994534,0.95994534
2022-12-27 08:05:00,1.07717194,1.07717194,0.96219823,0.96219823,0.96062983,0.96062983
2022-12-30 11:25:00,1.07713797,1.07713797,0.96218133,0.96218133,0.9606807,0.9606807
2023-01-06 11:40:00,1.06835678,1.06835678,0.96643869,0.96643869,0.96520452,0.96520452
2023-01-09 12:10:00,1.06819858,1.06819858,0.96544905,0.96544905,0.96635237,0.96635237
2023-01-12 15:25:00,1.0673034,1.0673034,0.96537122,0.96537122,0.96732538,0.96732538
2023-01-23 13:20:00,1.07014874,1.07014874,0.96400104,0.96400104,0.96585022,0.96585022
2023-01-26 13:05:00,1.0604093,1.0604093,0.97015109,0.97015109,0.96943961,0.96943961
2023-01-27 08:50:00,1.06126801,1.06126801,0.96907832,0.96907832,0.96965367,0.96965367
2023-01-31 14:35:00,1.06466654,1.06466654,0.9671386,0.9671386,0.96819486,0.96819486
2023-02-03 12:20:00,1.06399404,1.06399404,0.96754186,0.96754186,0.9684641,0.9684641
2023-02-21 08:40:00,1.05558725,1.05558725,0.97294382,0.97294382,0.97146894,0.97146894
2023-02-24 09:20:00,1.06299182,1.06299182,0.96828182,0.96828182,0.96872636,0.96872636
2023-02-27 15:25:00,1.06370972,1.06370972,0.96783163,0.96783163,0.96845864,0.96845864
2023-02-28 12:40:00,1.06411659,1.06411659,0.96868597,0.96868597,0.96719744,0.96719744
2023-03-03 11:50:00,1.06769432,1.06769432,0.96568682,0.96568682,0.96661886,0.96661886
2023-03-15 09:15:00,1.0754583,1.0754583,0.96306231,0.96306231,0.96147939,0.96147939
2023-03-28 09:10:00,1.07577884,1.07577884,0.96253998,0.96253998,0.96168118,0.96168118
2023-03-29 13:00:00,1.076531,1.076531,0.96085647,0.96085647,0.96261253,0.96261253
2023-03-30 09:00:00,1.07427358,1.07427358,0.96323354,0.96323354,0.96249288,0.96249288
2023-04-07 11:35:00,1.07904355,1.07904355,0.95997178,0.95997178,0.96098467,0.96098467
2023-04-21 10:55:00,1.0640386,1.0640386,0.96741592,0.96741592,0.96854547,0.96854547
2023-05-10 11:50:00,1.07926999,1.07926999,0.96007035,0.96007035,0.96065966,0.96065966
2023-05-10 13:40:00,1.08053976,1.08053976,0.9601794,0.9601794,0.95928084,0.95928084
2023-05-11 13:15:00,1.08206006,1.08206006,0.9587507,0.9587507,0.95918924,0.95918924
2023-05-17 13:20:00,1.080982,1.080982,0.95930725,0.95930725,0.95971075,0.95971075
2023-05-23 11:50:00,1.08467677,1.08467677,0.95719335,0.95719335,0.95812988,0.95812988
2023-06-09 08:25:00,1.05814158,1.05814158,0.97053875,0.97053875,0.97131967,0.97131967
2023-06-09 12:15:00,1.05846978,1.05846978,0.97135934,0.97135934,0.97017088,0.97017088
2023-06-29 13:15:00,1.0649802,1.0649802,0.96699542,0.96699542,0.96802438,0.96802438
2023-07-07 15:25:00,1.0739706,1.0739706,0.9625173,0.9625173,0.96351211,0.96351211
2023-07-18 08:05:00,1.07154685,1.07154685,0.96340585,0.96340585,0.9650473,0.9650473
2023-07-27 11:00:00,1.06606847,1.06606847,0.96750316,0.96750316,0.96642837,0.96642837
2023-07-31 08:00:00,1.07134553,1.07134553,0.96377725,0.96377725,0.96487722,0.96487722
2023-08-03 12:25:00,1.07432053,1.07432053,0.96240163,0.96240163,0.96327785,0.96327785
