leg,n,median,p90,p95,p99,max
GBPAUD,60,146774574.3155,146798195.9169,146801148.3335,146803510.5699,146804101.062
GBPNZD,60,146774574.3155,146798195.9169,146801148.3335,146803510.5699,146804101.062
AUDNZD,60,146774574.3155,146798195.9169,146801148.3335,146803510.5699,146804101.062
