datetime,open,high,low,close,volume,source_bar_count
2023-08-01 00:00:00+00:00,1.09946,1.09982,1.09918,1.0997,229,12
2023-08-01 01:00:00+00:00,1.09963,1.10029,1.09961,1.10009,453,12
2023-08-01 02:00:00+00:00,1.10011,1.10013,1.09966,1.09966,316,12
2023-08-01 03:00:00+00:00,1.09966,1.10015,1.09883,1.09888,1122,12
2023-08-01 04:00:00+00:00,1.09887,1.09907,1.09839,1.09859,1551,12
2023-08-01 05:00:00+00:00,1.09858,1.09871,1.09803,1.09849,1002,12
2023-08-01 06:00:00+00:00,1.09853,1.09889,1.09839,1.09854,718,12
2023-08-01 07:00:00+00:00,1.09854,1.09909,1.09819,1.09901,1012,12
2023-08-01 08:00:00+00:00,1.099,1.09989,1.09866,1.09988,1516,12
2023-08-01 09:00:00+00:00,1.09987,1.10001,1.09883,1.09945,1696,12
2023-08-01 10:00:00+00:00,1.09945,1.09947,1.097,1.09795,3102,12
2023-08-01 11:00:00+00:00,1.09796,1.09867,1.09707,1.09745,3105,12
2023-08-01 12:00:00+00:00,1.09743,1.09765,1.09658,1.09753,2026,12
2023-08-01 13:00:00+00:00,1.09752,1.09844,1.09693,1.09821,2023,12
2023-08-01 14:00:00+00:00,1.09821,1.09822,1.09737,1.09755,1833,12
2023-08-01 15:00:00+00:00,1.09754,1.09769,1.09522,1.09563,3178,12
2023-08-01 16:00:00+00:00,1.09563,1.0978,1.09559,1.09727,3623,12
2023-08-01 17:00:00+00:00,1.09727,1.09885,1.09609,1.09783,6316,12
2023-08-01 18:00:00+00:00,1.09783,1.09846,1.09606,1.09702,3125,12
2023-08-01 19:00:00+00:00,1.09703,1.09781,1.09681,1.09719,1231,12
2023-08-01 20:00:00+00:00,1.09719,1.09764,1.09626,1.09634,1203,12
2023-08-01 21:00:00+00:00,1.09633,1.09744,1.09633,1.09737,1068,12
2023-08-01 22:00:00+00:00,1.09735,1.09851,1.09734,1.09825,1073,12
2023-08-01 23:00:00+00:00,1.09817,1.09852,1.09804,1.09841,629,12
2023-08-02 00:00:00+00:00,1.09816,1.10196,1.09789,1.10183,1111,12
2023-08-02 01:00:00+00:00,1.10166,1.10181,1.09983,1.10093,1806,12
2023-08-02 02:00:00+00:00,1.10093,1.10167,1.10045,1.10073,1333,12
2023-08-02 03:00:00+00:00,1.10079,1.10079,1.09926,1.09961,1447,12
2023-08-02 04:00:00+00:00,1.09961,1.1007,1.09913,1.09916,1831,12
2023-08-02 05:00:00+00:00,1.09916,1.09921,1.09802,1.09843,1778,12
2023-08-02 06:00:00+00:00,1.09842,1.09888,1.09801,1.09869,1642,12
2023-08-02 07:00:00+00:00,1.09869,1.09893,1.09815,1.09892,1169,12
2023-08-02 08:00:00+00:00,1.09892,1.10006,1.09888,1.09941,2075,12
2023-08-02 09:00:00+00:00,1.09942,1.09961,1.09813,1.09896,2186,12
2023-08-02 10:00:00+00:00,1.09897,1.09972,1.09816,1.09899,3969,12
2023-08-02 11:00:00+00:00,1.09899,1.09924,1.0976,1.09843,3570,12
2023-08-02 12:00:00+00:00,1.09842,1.0985,1.09763,1.09804,2211,12
2023-08-02 13:00:00+00:00,1.09804,1.09804,1.09682,1.09787,2251,12
2023-08-02 14:00:00+00:00,1.09788,1.09799,1.09726,1.09783,2167,12
2023-08-02 15:00:00+00:00,1.09783,1.09871,1.09573,1.09599,5620,12
2023-08-02 16:00:00+00:00,1.09598,1.09679,1.09499,1.095,4143,12
2023-08-02 17:00:00+00:00,1.095,1.09505,1.09176,1.09272,5321,12
2023-08-02 18:00:00+00:00,1.09267,1.09441,1.0923,1.09381,3195,12
2023-08-02 19:00:00+00:00,1.09381,1.09527,1.09368,1.09504,2329,12
2023-08-02 20:00:00+00:00,1.09505,1.09576,1.09459,1.09459,1513,12
2023-08-02 21:00:00+00:00,1.09459,1.09495,1.09409,1.09429,1059,12
2023-08-02 22:00:00+00:00,1.09429,1.09456,1.09348,1.09395,1094,12
2023-08-02 23:00:00+00:00,1.09395,1.09395,1.09353,1.09378,822,12
2023-08-03 00:00:00+00:00,1.09375,1.09403,1.09349,1.09382,621,12
2023-08-03 01:00:00+00:00,1.09393,1.09444,1.09386,1.09444,581,12
2023-08-03 02:00:00+00:00,1.09445,1.09455,1.09426,1.09433,322,12
2023-08-03 03:00:00+00:00,1.09433,1.09438,1.0937,1.09399,1147,12
2023-08-03 04:00:00+00:00,1.09396,1.09491,1.09376,1.09437,1375,12
2023-08-03 05:00:00+00:00,1.09436,1.09448,1.09344,1.0935,1162,12
2023-08-03 06:00:00+00:00,1.0935,1.0935,1.09304,1.09346,936,12
2023-08-03 07:00:00+00:00,1.09345,1.09359,1.09224,1.09231,1072,12
2023-08-03 08:00:00+00:00,1.09232,1.09407,1.09193,1.09394,1712,12
2023-08-03 09:00:00+00:00,1.09382,1.09431,1.09201,1.09216,3176,12
2023-08-03 10:00:00+00:00,1.09217,1.09278,1.09137,1.09189,4156,12
2023-08-03 11:00:00+00:00,1.09181,1.09247,1.09122,1.09247,3239,12
2023-08-03 12:00:00+00:00,1.09246,1.09382,1.09236,1.09317,2800,12
2023-08-03 13:00:00+00:00,1.09315,1.09356,1.09215,1.09341,2001,12
2023-08-03 14:00:00+00:00,1.09341,1.09487,1.09239,1.09349,4613,12
2023-08-03 15:00:00+00:00,1.09347,1.09561,1.09217,1.09379,6131,12
2023-08-03 16:00:00+00:00,1.09375,1.09401,1.09156,1.09181,4965,12
2023-08-03 17:00:00+00:00,1.09186,1.09478,1.09159,1.09317,5533,12
2023-08-03 18:00:00+00:00,1.09317,1.09544,1.09298,1.09465,3526,12
2023-08-03 19:00:00+00:00,1.09465,1.09628,1.09446,1.09551,1764,12
2023-08-03 20:00:00+00:00,1.09548,1.09569,1.09435,1.0947,1789,12
2023-08-03 21:00:00+00:00,1.09466,1.09522,1.09423,1.09431,1033,12
2023-08-03 22:00:00+00:00,1.09431,1.09444,1.09383,1.09439,851,12
2023-08-03 23:00:00+00:00,1.09436,1.09501,1.09435,1.09486,681,12
2023-08-04 00:00:00+00:00,1.09401,1.09484,1.094,1.09481,548,12
2023-08-04 01:00:00+00:00,1.09475,1.09521,1.09471,1.09516,446,12
2023-08-04 02:00:00+00:00,1.09516,1.09534,1.09504,1.09511,377,12
2023-08-04 03:00:00+00:00,1.0951,1.09554,1.09464,1.09554,1044,12
2023-08-04 04:00:00+00:00,1.09554,1.09615,1.09539,1.09567,1643,12
2023-08-04 05:00:00+00:00,1.09567,1.09609,1.09525,1.09555,1788,12
2023-08-04 06:00:00+00:00,1.09554,1.09602,1.09536,1.09542,1047,12
2023-08-04 07:00:00+00:00,1.0954,1.09554,1.09493,1.09502,894,12
2023-08-04 08:00:00+00:00,1.09504,1.09582,1.09479,1.09519,1482,12
2023-08-04 09:00:00+00:00,1.09519,1.09583,1.0946,1.0948,2154,12
2023-08-04 10:00:00+00:00,1.09476,1.09543,1.09441,1.09474,2533,12
2023-08-04 11:00:00+00:00,1.09475,1.09526,1.09377,1.09401,2102,12
2023-08-04 12:00:00+00:00,1.094,1.09459,1.09351,1.09446,1555,12
2023-08-04 13:00:00+00:00,1.09447,1.09486,1.0939,1.09441,1701,12
2023-08-04 14:00:00+00:00,1.09443,1.09456,1.09377,1.09379,1907,12
2023-08-04 15:00:00+00:00,1.09377,1.09979,1.09346,1.09889,8357,12
2023-08-04 16:00:00+00:00,1.09885,1.10297,1.09861,1.10121,8148,12
2023-08-04 17:00:00+00:00,1.10122,1.10283,1.10023,1.10233,5437,12
2023-08-04 18:00:00+00:00,1.10232,1.10417,1.10182,1.10346,3216,12
2023-08-04 19:00:00+00:00,1.10346,1.10391,1.10286,1.10338,1745,12
2023-08-04 20:00:00+00:00,1.10338,1.1039,1.10278,1.10283,1129,12
2023-08-04 21:00:00+00:00,1.10283,1.10283,1.10084,1.10091,1926,12
2023-08-04 22:00:00+00:00,1.10091,1.10109,1.10037,1.10076,1313,12
2023-08-04 23:00:00+00:00,1.10076,1.1011,1.10039,1.10109,703,11
2023-08-07 00:00:00+00:00,1.10111,1.10151,1.10094,1.10102,359,12
2023-08-07 01:00:00+00:00,1.10108,1.1014,1.10024,1.10053,1562,12
2023-08-07 02:00:00+00:00,1.10052,1.10053,1.1001,1.10024,787,12
2023-08-07 03:00:00+00:00,1.10023,1.10117,1.10005,1.10099,1067,12
2023-08-07 04:00:00+00:00,1.10098,1.10099,1.09952,1.10005,1616,12
