patch,mean_hysteresis_gap,max_abs_gap,n_bins,ranksums_p,rising_share
26-100,0.2869,0.3478,6,0.0,0.49
101-250,0.2641,0.3269,6,0.0,0.49
251-500,0.2332,0.2824,6,0.0,0.49
501-750,0.2063,0.2471,6,0.0,0.49
751-1000,0.1846,0.2205,6,0.0,0.49
1001-1500,0.1716,0.2187,6,0.0,0.49
1501-2000,0.1622,0.2057,6,0.0,0.49
