family,mean,std,min,max,spearman_vs_common
PARTICIPATION_FORCING,-0.0,1.0,-4.14,3.65,0.279
DISPERSION_FORCING,-0.0,1.0,-2.89,22.34,0.016
VOLATILITY_FORCING,-0.0,1.0,-1.63,4.06,0.273
BTC_ANCHOR_FORCING,0.0,1.0,-4.23,4.6,0.599
ETH_RELATIVE_FORCING,-0.0,1.0,-3.2,5.93,0.134
RANK_RECRUITMENT_FORCING,0.0,1.0,-6.07,5.33,-0.255
CONCENTRATION_RELEASE_FORCING,-0.0,1.0,-13.35,13.4,0.035
STABLECOIN_CAPITAL_FORCING,-0.0,1.0,-6.86,8.53,0.708
PHYSICAL_DISTURBANCE_FORCING,0.0,1.0,-2.46,37.02,0.744
