patch,subperiod,n,half_sat_x0,ceiling,slope_k,fit_rmse
26-100,2020-2021,486,-1.368,0.556,1.643,0.2907
26-100,2022,308,1.147,1.1,0.123,0.3451
26-100,2023,311,-1.785,0.763,0.497,0.317
26-100,2024,338,-1.868,0.638,0.586,0.3337
26-100,2025-2026,600,-0.318,0.932,0.428,0.3167
101-250,2020-2021,486,-1.389,0.54,1.742,0.2528
101-250,2022,308,0.895,1.1,0.151,0.3006
101-250,2023,311,-1.872,0.767,0.469,0.2868
101-250,2024,338,-1.824,0.596,0.825,0.3061
101-250,2025-2026,600,-0.9,0.815,0.529,0.2926
251-500,2020-2021,486,-1.427,0.528,1.77,0.2202
251-500,2022,308,1.004,1.1,0.162,0.2628
251-500,2023,311,-1.841,0.751,0.482,0.2433
251-500,2024,338,-1.726,0.626,0.653,0.2822
251-500,2025-2026,600,-0.799,0.856,0.389,0.2531
501-750,2020-2021,486,-1.517,0.522,1.577,0.1935
501-750,2022,308,1.265,1.1,0.148,0.2251
501-750,2023,311,-1.867,0.726,0.47,0.1994
501-750,2024,338,-1.906,0.61,0.583,0.2405
501-750,2025-2026,600,-0.708,0.85,0.354,0.2305
751-1000,2020-2021,486,-1.507,0.524,1.516,0.1856
751-1000,2022,308,1.709,1.1,0.128,0.1982
751-1000,2023,311,-2.107,0.701,0.41,0.1558
751-1000,2024,338,-1.981,0.576,0.658,0.2112
751-1000,2025-2026,600,-1.886,0.654,0.502,0.2119
1001-1500,2020-2021,486,-1.605,0.518,1.403,0.1717
1001-1500,2022,308,1.725,1.1,0.13,0.1971
1001-1500,2023,311,-2.605,0.636,0.484,0.1504
1001-1500,2024,338,-2.224,0.53,0.762,0.1784
1001-1500,2025-2026,600,-2.015,0.647,0.446,0.1827
1501-2000,2020-2021,486,-1.843,0.514,1.156,0.1889
1501-2000,2022,308,1.935,1.1,0.128,0.1956
1501-2000,2023,311,-2.531,0.647,0.451,0.1514
1501-2000,2024,338,-2.286,0.534,0.709,0.1588
1501-2000,2025-2026,600,-1.202,0.735,0.354,0.1587
