cluster,n,subperiod_top,subperiod_top_share,n_subperiods,dominant_dest_state,dominant_dest_share,mean_init_demand,mean_init_forcing,silhouette,verdict
0,364,2025-2026,0.456,4,6C_4,0.341,0.111,0.024,0.185,MULTIPLE_BIRTH_PATHS
1,111,2022,0.667,3,6C_4,0.333,0.168,-0.607,0.185,MULTIPLE_BIRTH_PATHS
2,11,2020-2021,1.0,1,6C_1,0.364,-1.23,3.098,0.185,MULTIPLE_BIRTH_PATHS
