patch,n,force_DORMANT_below,force_LOW_band,force_TRANSITION_hi,force_HIGH_hi,force_halfsat_t50,band_width_t90_t10,subperiod_halfsat_drift_span,slack
26-100,2046,-10.694,-3.367,5.83,13.157,1.232,23.851,3.021,0.127
101-250,2046,-11.308,-3.391,6.547,14.464,1.578,25.772,2.86,0.111
251-500,2046,-10.084,-2.817,6.305,13.571,1.744,23.656,4.666,0.197
501-750,2046,-8.711,-1.875,6.706,13.542,2.416,22.253,2.983,0.134
751-1000,2046,-5.88,-0.968,5.199,10.112,2.116,15.993,2.36,0.148
1001-1500,2046,-6.446,-0.895,6.074,11.625,2.59,18.072,2.2,0.122
1501-2000,2046,-5.687,-0.796,5.344,10.235,2.274,15.922,1.603,0.101
