patch,n,subthreshold_below,onset_f20,half_saturation_x0,acceleration_upper,high_zone_f70,ceiling,slope_k,observed_peak,overshoot,post_sat_persistence,fit_rmse
26-100,2046,-12.142,-7.267,-2.93,0.198,-0.279,0.688,0.32,1.0,0.312,0.558,0.3201
101-250,2046,-10.61,-6.725,-3.106,-0.417,-0.796,0.65,0.372,0.99,0.34,0.544,0.2887
251-500,2046,-9.433,-6.476,-3.312,-0.588,-0.815,0.631,0.367,0.978,0.347,0.535,0.253
501-750,2046,-11.177,-7.381,-3.42,-0.134,-0.454,0.641,0.304,0.953,0.312,0.527,0.2204
751-1000,2046,-10.825,-7.32,-3.495,-0.078,-0.313,0.635,0.293,0.94,0.305,0.523,0.1977
1001-1500,2046,-12.118,-8.149,-3.809,0.088,-0.172,0.634,0.257,0.892,0.258,0.514,0.1789
1501-2000,2046,-11.314,-7.706,-3.626,0.459,0.353,0.64,0.245,0.855,0.215,0.508,0.173
