stage,feature,n,mean,sd,p25,p75
PRECONDITION,demand,479,0.0755,0.5621,-0.2815,0.3808
PRECONDITION,breadth,486,0.4665,0.0983,0.3985,0.5289
PRECONDITION,dispersion,486,0.3364,1.4839,0.1146,0.1952
PRECONDITION,forcing,477,-0.114,0.9062,-0.6365,0.2599
PRECONDITION,concentration,486,0.7083,0.0461,0.6904,0.7409
PRECONDITION,rank_depth,479,-0.0342,0.0519,-0.0529,-0.0044
PRECONDITION,exit_entropy,486,0.614,0.384,0.347,0.852
INITIATION,demand,451,0.0984,0.9866,-0.6754,0.8843
INITIATION,breadth,486,0.4631,0.2699,0.2045,0.718
INITIATION,dispersion,476,0.2908,2.0864,0.1086,0.1838
INITIATION,forcing,450,-0.0672,1.0593,-0.6535,0.4093
INITIATION,concentration,486,0.7082,0.0464,0.6905,0.7364
INITIATION,rank_depth,460,-0.0322,0.0558,-0.0502,-0.0005
INITIATION,exit_entropy,486,0.4535,0.515,0.0,0.9183
COMMITMENT,demand,480,0.0444,0.7029,-0.4191,0.5244
COMMITMENT,breadth,486,0.4542,0.1466,0.3507,0.5638
COMMITMENT,dispersion,485,0.2645,1.0401,0.1141,0.1882
COMMITMENT,forcing,479,-0.0513,1.1536,-0.7043,0.3583
COMMITMENT,concentration,486,0.7091,0.047,0.692,0.7425
COMMITMENT,rank_depth,481,-0.0317,0.0526,-0.0532,-0.0011
COMMITMENT,exit_entropy,486,0.4509,0.4603,0.0,0.8553
EARLY_SURVIVAL,demand,483,-0.0013,0.6578,-0.434,0.3972
EARLY_SURVIVAL,breadth,486,0.4545,0.1295,0.3546,0.5429
EARLY_SURVIVAL,dispersion,485,0.2623,0.9042,0.1141,0.1901
EARLY_SURVIVAL,forcing,481,-0.1228,1.0765,-0.7244,0.3079
EARLY_SURVIVAL,concentration,486,0.7091,0.0472,0.6937,0.7424
EARLY_SURVIVAL,rank_depth,484,-0.0352,0.0588,-0.0532,-0.0014
EARLY_SURVIVAL,exit_entropy,486,0.4246,0.4336,0.0,0.7883
