surface,cell,n,congestion_mean,congestion_p25,congestion_p75,rho_cong_vs_prop,rho_cong_vs_reentry,rho_cong_vs_rankprop,congestion_band
6CELL,6C_0,473,0.224,-0.67,1.071,-0.078,0.113,-0.104,HIGH
6CELL,6C_1,275,0.089,-0.816,0.937,-0.148,0.127,-0.082,HIGH
6CELL,6C_2,417,-0.184,-0.856,0.628,-0.072,-0.028,0.014,MID
6CELL,6C_3,141,1.196,0.807,1.576,0.042,0.122,-0.163,HIGH
6CELL,6C_4,470,-0.211,-0.689,0.276,-0.121,-0.005,-0.048,LOW
6CELL,6C_5,273,-0.375,-1.117,0.605,-0.045,0.209,0.095,LOW
8CELL,8C_0,100,-1.843,-2.631,-1.318,0.011,0.147,-0.038,LOW
8CELL,8C_1,473,0.224,-0.67,1.071,-0.078,0.113,-0.104,HIGH
8CELL,8C_2,183,-0.611,-1.212,-0.109,-0.235,0.008,-0.136,LOW
8CELL,8C_3,275,0.089,-0.816,0.937,-0.148,0.127,-0.082,HIGH
8CELL,8C_4,287,-0.133,-0.759,0.694,-0.026,-0.017,-0.014,MID
8CELL,8C_5,173,0.056,-0.821,0.837,-0.006,0.175,0.021,MID
8CELL,8C_6,417,-0.184,-0.856,0.628,-0.072,-0.028,0.014,MID
8CELL,8C_7,141,1.196,0.807,1.576,0.042,0.122,-0.163,HIGH
