subperiod,state_6cell,n,branch_count_k,branch_entropy,dominant_exit_share_p1,second_exit_share_p2,exit_concentration,exit_band
2020-2021,6C_0,262,0,0.0,0.21,,0.0,NARROWING
2020-2021,6C_1,76,1,0.597,0.805,0.251,0.228,NEAR_SINGLE_EXIT
2020-2021,6C_2,84,0,0.012,0.328,0.429,0.0,NARROWING
2020-2021,6C_4,26,2,0.815,0.734,0.259,0.194,NEAR_SINGLE_EXIT
2020-2021,6C_5,105,0,0.155,0.449,0.322,0.028,NARROWING
2022,6C_1,34,1,0.588,0.782,0.317,0.155,NEAR_SINGLE_EXIT
2022,6C_2,142,0,0.011,0.369,0.286,0.005,NARROWING
2022,6C_3,25,1,0.693,0.783,0.233,0.242,NEAR_SINGLE_EXIT
2022,6C_4,101,1,0.516,0.789,0.328,0.116,NEAR_SINGLE_EXIT
2022,6C_5,23,1,0.244,0.829,0.275,0.154,NEAR_SINGLE_EXIT
2023,6C_0,73,0,0.013,0.432,0.429,0.0,NARROWING
2023,6C_1,75,1,0.624,0.765,0.315,0.143,NEAR_SINGLE_EXIT
2023,6C_2,87,0,0.073,0.361,0.367,0.01,NARROWING
2023,6C_3,20,1,0.456,0.858,0.246,0.218,NEAR_SINGLE_EXIT
2023,6C_4,75,1,0.601,0.751,0.289,0.158,NEAR_SINGLE_EXIT
2024,6C_0,86,0,0.0,0.209,,0.0,NARROWING
2024,6C_1,42,2,0.905,0.673,0.305,0.144,NEAR_SINGLE_EXIT
2024,6C_2,62,0,0.083,0.486,0.31,0.024,CONCENTRATED
2024,6C_3,40,1,0.578,0.815,0.249,0.222,NEAR_SINGLE_EXIT
2024,6C_4,108,1,0.536,0.802,0.32,0.128,NEAR_SINGLE_EXIT
2025-2026,6C_0,45,0,0.057,0.511,0.333,0.018,CONCENTRATED
2025-2026,6C_1,60,1,0.681,0.778,0.251,0.212,NEAR_SINGLE_EXIT
2025-2026,6C_2,123,0,0.022,0.423,0.333,0.004,NARROWING
2025-2026,6C_3,56,1,0.567,0.805,0.3,0.122,NEAR_SINGLE_EXIT
2025-2026,6C_4,201,1,0.472,0.782,0.332,0.106,NEAR_SINGLE_EXIT
2025-2026,6C_5,112,1,0.303,0.571,0.332,0.07,CONCENTRATED
