subperiod,state_6cell,n,eff_prop_per_demand,eff_prop_per_forcing,eff_reentry_per_forcing
2020-2021,6C_0,167,1.043,0.701,0.111
2020-2021,6C_1,39,0.967,0.523,0.272
2020-2021,6C_5,75,0.147,0.157,0.342
2022,6C_4,69,0.644,0.519,0.266
2022,6C_2,103,0.065,0.042,0.022
2023,6C_0,42,1.302,1.844,0.213
2023,6C_1,39,0.96,0.991,0.6
2023,6C_4,45,0.157,0.101,0.593
2023,6C_2,60,0.016,0.016,0.507
2024,6C_0,66,1.063,0.714,0.461
2024,6C_4,51,0.374,0.338,0.834
2024,6C_2,40,0.0,0.0,0.187
2025-2026,6C_1,41,0.922,1.005,0.24
2025-2026,6C_5,68,0.5,0.398,0.366
2025-2026,6C_3,35,0.478,0.498,0.707
2025-2026,6C_2,79,0.474,0.379,0.258
2025-2026,6C_4,118,0.399,0.42,0.464
