patch,conditioning,n,thr50_low,thr50_mid,thr50_high,shift_high_minus_low
26-100,VOLATILITY,2046,0.309,0.586,2.239,1.93
26-100,DISPERSION,2046,1.265,0.628,1.343,0.078
26-100,CONCENTRATION,2046,0.689,0.729,1.692,1.003
26-100,EXIT_ENTROPY,2043,1.575,,1.244,-0.331
26-100,RANK_DEPTH,2046,1.429,0.271,1.721,0.292
26-100,BTC_ANCHOR,2046,-68.679,1.253,-15.037,53.642
26-100,DEMAND,2046,7.501,2.612,7.704,0.203
101-250,VOLATILITY,2046,0.195,0.581,4.201,4.006
101-250,DISPERSION,2046,0.711,1.016,1.96,1.249
101-250,CONCENTRATION,2046,2.351,0.634,1.911,-0.44
101-250,EXIT_ENTROPY,2043,2.052,,1.594,-0.457
101-250,RANK_DEPTH,2046,2.193,0.22,1.97,-0.224
101-250,BTC_ANCHOR,2046,11.647,2.66,-18.95,-30.597
101-250,DEMAND,2046,8.404,2.493,5.947,-2.457
251-500,VOLATILITY,2046,0.255,0.733,4.294,4.039
251-500,DISPERSION,2046,1.049,1.375,1.959,0.91
251-500,CONCENTRATION,2046,2.855,0.741,2.017,-0.838
251-500,EXIT_ENTROPY,2043,1.955,,1.761,-0.195
251-500,RANK_DEPTH,2046,2.386,0.434,2.219,-0.168
251-500,BTC_ANCHOR,2046,14.46,3.689,-4.38,-18.84
251-500,DEMAND,2046,8.925,2.374,6.159,-2.766
501-750,VOLATILITY,2046,0.573,1.338,4.741,4.168
501-750,DISPERSION,2046,1.526,2.349,2.662,1.136
501-750,CONCENTRATION,2046,5.88,0.89,2.743,-3.137
501-750,EXIT_ENTROPY,2043,2.683,,2.439,-0.243
501-750,RANK_DEPTH,2046,3.576,0.967,1.893,-1.683
501-750,BTC_ANCHOR,2046,31.461,3.538,-1.404,-32.865
501-750,DEMAND,2046,9.036,3.088,9.336,0.3
751-1000,VOLATILITY,2046,0.719,1.094,3.892,3.172
751-1000,DISPERSION,2046,1.823,1.776,2.306,0.482
751-1000,CONCENTRATION,2046,2.892,1.068,2.431,-0.461
751-1000,EXIT_ENTROPY,2043,2.373,,2.132,-0.241
751-1000,RANK_DEPTH,2046,2.841,1.069,1.807,-1.034
751-1000,BTC_ANCHOR,2046,45.682,3.235,-0.137,-45.819
751-1000,DEMAND,2046,7.3,2.214,15.621,8.321
1001-1500,VOLATILITY,2046,1.086,1.58,4.022,2.936
1001-1500,DISPERSION,2046,3.638,2.566,2.56,-1.078
1001-1500,CONCENTRATION,2046,2.843,1.485,2.801,-0.041
1001-1500,EXIT_ENTROPY,2043,2.871,,2.612,-0.258
1001-1500,RANK_DEPTH,2046,3.186,1.578,2.267,-0.92
1001-1500,BTC_ANCHOR,2046,-31.88,3.703,0.826,32.707
1001-1500,DEMAND,2046,5.766,3.365,20.589,14.823
1501-2000,VOLATILITY,2046,1.254,1.549,3.002,1.748
1501-2000,DISPERSION,2046,9.479,2.97,1.98,-7.499
1501-2000,CONCENTRATION,2046,1.987,1.416,2.406,0.419
1501-2000,EXIT_ENTROPY,2043,2.465,,2.292,-0.173
1501-2000,RANK_DEPTH,2046,2.862,1.376,1.907,-0.955
1501-2000,BTC_ANCHOR,2046,-55.834,3.587,0.591,56.425
1501-2000,DEMAND,2046,5.074,2.565,17.109,12.035
