patch,n_train,n_test,rmse_logistic_tr,rmse_hill_tr,rmse_linear_tr,rmse_logistic_test,rmse_hill_test,rmse_linear_test,best_family
26-100,1446,600,0.3204,0.321,0.3207,0.3167,0.3169,0.3167,LINEAR
101-250,1446,600,0.2857,0.2863,0.2861,0.2926,0.2928,0.2926,LOGISTIC
251-500,1446,600,0.2523,0.2529,0.2527,0.2531,0.2532,0.253,LINEAR
501-750,1446,600,0.2154,0.216,0.2157,0.2305,0.2306,0.2305,LOGISTIC
751-1000,1446,600,0.1908,0.1914,0.1911,0.2119,0.2119,0.2119,LOGISTIC
1001-1500,1446,600,0.1767,0.1772,0.1769,0.1827,0.1827,0.1827,HILL
1501-2000,1446,600,0.1775,0.1781,0.1777,0.1587,0.1587,0.1587,LINEAR
