date,destination_state,time_to_destination_d,concentration_duration_d,first_changed_observable,first_changed_z,subperiod,pre_btc_dom_chg30,pre_btc_ret30,pre_btc_ret7,pre_top3_share,pre_top3_share_chg7,pre_breadth30,pre_disp30,pre_sc_chg30,pre_eth_rel30,pre_alt_share,pre_eth_share,pre_vol_med,pre_chain_tvl_med_chg7
2020-10-04 23:59:59,MIXED_NO_CLEAR_ROUTE,1,1,vol_med,1.1475,2020-2021,0.0016649414200425872,-0.05220382077227707,-0.014239736591908247,0.7145152749395456,0.001664260690846094,0.14133333333333334,0.35221165524936543,0.21789358562459885,-0.13118603567269727,0.44374247352647433,0.1120154028001193,0.06739801597119542,-0.02981962396626059
2020-10-12 23:59:59,BTC_CONCENTRATION,5,2,btc_dom_chg30,12.3837,2020-2021,0.003786138961626162,0.08828482303748635,0.06132553527270653,0.7196555041581433,0.005986893484701938,0.23457142857142857,0.43741973059309,0.17977236093489143,-0.07154532400057285,0.4377172346157881,0.11316214692241532,0.054815894251139884,-0.07964622016700519
2020-10-15 23:59:59,BTC_CONCENTRATION,2,2,btc_dom_chg30,8.4479,2020-2021,-0.017829323281248182,0.08938736413273173,0.0712850449317104,0.7074078393310164,-0.009198920129420267,0.21533333333333335,0.4179709843499132,0.16472914211072873,-0.06949758167880778,0.4593633835116854,0.10926941101340201,0.05372779223075432,-0.021684023408962232
2020-11-17 23:59:59,BTC_CONCENTRATION,1,12,btc_dom_chg30,20.8111,2020-2021,0.052156914327162664,0.31826431049570697,0.1330383698526732,0.7557509407942801,0.01710301346791308,0.376,0.4885961939070023,0.09231514040682032,-0.15640540565855443,0.3944523283640589,0.10770655897762733,0.046696573508672276,0.05154255069536081
2020-11-27 23:59:59,MIXED_NO_CLEAR_ROUTE,1,8,btc_ret7,2.6622,2020-2021,0.04148295530148893,0.3849987878208398,0.022725860169846013,0.7636567985423839,-0.015477219248584806,0.5791428571428572,2.339306734211666,0.12379611283472529,0.02155458262355296,0.39533713260581604,0.11318841517005192,,0.031334080925775575
2020-12-18 23:59:59,BTC_CONCENTRATION,1,2,btc_dom_chg30,10.1125,2020-2021,0.02125096737869092,0.2880979325544797,0.15232230327243546,0.7774901484446763,0.02856442941401623,0.40066666666666667,0.7931742445988723,0.12766792999188206,0.06132738379255381,0.3743174036325672,0.11297210115252328,0.06561894789841209,0.01171484840966954
2021-01-20 23:59:59,ETH_BROADENING,2,30,eth_rel30,1.9067,2020-2021,0.014549936937187943,0.5392699775066102,0.00876943987852045,0.8128029919241493,-0.018191060270312438,0.6613333333333334,0.7035795200355256,0.2907727433249407,0.44187994928556273,0.3532233435800031,0.14151939859376278,0.07840551802456107,0.04647730784903777
2021-06-30 23:59:59,MIXED_NO_CLEAR_ROUTE,8,1,top3_share_chg7,1.0084,2020-2021,0.028394452127350072,-0.009763684075846083,0.05370407290557888,0.6564802183434005,0.0009434289870114965,0.16000000000000006,0.24930082179096308,0.06120864285515104,-0.11221855323868073,0.5505533746279869,0.16550379214780575,0.08269148148163284,-0.08604734131754728
2021-07-08 23:59:59,STABLECOIN_PARKING,5,1,top3_share_chg7,0.1733,2020-2021,0.030597342860415305,-0.02913066195598757,-0.03311290433423656,0.6496576498864468,-0.0059670086658916155,0.1606666666666667,0.30641834362278486,0.03455376458825432,-0.10894267639643351,0.5713158899032446,0.1789597739106746,0.07730635177369692,0.07618201296753867
2021-08-11 23:59:59,BROAD_RISK_EXPANSION,4,16,top3_share_chg7,0.7045,2020-2021,0.01049186745680932,0.3313312441316836,0.1577229061627888,0.6686257130978018,0.005594340708399925,0.7880000000000001,0.3707268080242084,0.02461707038674869,0.1207191108257688,0.5559292245669551,0.19057819636916087,0.052759221831861824,0.09589846377706053
