coordinate,subperiod,rho_exit,rho_enter
btc_dominance,2020-2021,-0.6735,-0.4185
btc_dominance,2022,0.8672,-0.4299
btc_dominance,2023,0.0685,0.5958
btc_dominance,2024,-0.0992,0.3288
btc_dominance,2025-2026,0.6358,-0.2161
top3_share,2020-2021,0.4305,0.2729
top3_share,2022,-0.4862,-0.1821
top3_share,2023,-0.1294,0.5663
top3_share,2024,-0.6198,-0.384
top3_share,2025-2026,-0.0059,-0.1734
top500_breadth_30d,2020-2021,0.9485,-0.7371
top500_breadth_30d,2022,,-0.0812
top500_breadth_30d,2023,0.4264,-0.8486
top500_breadth_30d,2024,-0.8377,0.6757
top500_breadth_30d,2025-2026,-0.921,0.5582
top500_dispersion_30d,2020-2021,0.033,-0.8303
top500_dispersion_30d,2022,0.6445,-0.9038
top500_dispersion_30d,2023,-0.358,-0.6553
top500_dispersion_30d,2024,-0.1948,0.1293
top500_dispersion_30d,2025-2026,0.8591,0.1264
stablecoin_change_30d,2020-2021,0.3129,-0.8611
stablecoin_change_30d,2022,0.7169,-0.0496
stablecoin_change_30d,2023,0.7506,0.0051
stablecoin_change_30d,2024,0.9188,-0.1208
stablecoin_change_30d,2025-2026,0.8316,-0.0138
eth_btc_relative_return_30d,2020-2021,0.9853,-0.914
eth_btc_relative_return_30d,2022,-0.8313,-0.7911
eth_btc_relative_return_30d,2023,0.8106,0.4504
eth_btc_relative_return_30d,2024,0.4411,-0.3056
eth_btc_relative_return_30d,2025-2026,-0.7792,0.0048
total_alt_share,2020-2021,0.6735,0.4185
total_alt_share,2022,-0.8672,0.4299
total_alt_share,2023,-0.0685,-0.5958
total_alt_share,2024,0.0992,-0.3288
total_alt_share,2025-2026,-0.6358,0.2161
vol_med,2020-2021,0.4172,-0.1308
vol_med,2022,,-0.4702
vol_med,2023,-0.3083,0.5462
vol_med,2024,0.7398,-0.6284
vol_med,2025-2026,0.5069,-0.7335
chain_tvl_med_chg7,2020-2021,-0.4537,-0.9062
chain_tvl_med_chg7,2022,0.8695,0.3391
chain_tvl_med_chg7,2023,0.3867,-0.6212
chain_tvl_med_chg7,2024,-0.7429,0.8584
chain_tvl_med_chg7,2025-2026,-0.9205,0.3042
total_mcap_chg30,2020-2021,-0.425,0.0496
total_mcap_chg30,2022,,0.0431
total_mcap_chg30,2023,0.8816,-0.7677
total_mcap_chg30,2024,0.1309,0.7284
total_mcap_chg30,2025-2026,-0.8457,0.5436
