coordinate,bin,bin_range,p_exit_within7d,p_enter_within7d,n_conc_days,_spearman
btc_dominance,1,0.4096..0.4540,0.625,0.12755,440,
btc_dominance,2,0.4540..0.4967,0.32867,0.12838,439,
btc_dominance,3,0.4967..0.5359,0.46218,0.25938,439,
btc_dominance,4,0.5359..0.5609,0.44526,0.1755,439,
btc_dominance,5,>0.5609,0.488,0.11146,439,"{'p_exit_within7d': -0.2347, 'p_enter_within7d': 0.0392}"
top3_share,1,0.6404..0.6819,0.58696,0.08376,440,
top3_share,2,0.6819..0.7123,0.4186,0.18387,439,
top3_share,3,0.7123..0.7203,0.51316,0.16804,439,
top3_share,4,0.7203..0.7321,0.40237,0.22222,439,
top3_share,5,>0.7321,0.43421,0.16725,439,"{'p_exit_within7d': -0.6563, 'p_enter_within7d': 0.6415}"
top500_breadth_30d,1,0.1200..0.1752,0.88889,0.14318,449,
top500_breadth_30d,2,0.1752..0.2524,0.53521,0.19008,434,
top500_breadth_30d,3,0.2524..0.3736,0.3886,0.24793,435,
top500_breadth_30d,4,0.3736..0.5204,0.39785,0.1451,441,
top500_breadth_30d,5,>0.5204,0.52212,0.09259,437,"{'p_exit_within7d': -0.678, 'p_enter_within7d': -0.3961}"
top500_dispersion_30d,1,0.2106..0.2438,0.46491,0.24013,418,
top500_dispersion_30d,2,0.2438..0.2855,0.44444,0.16129,418,
top500_dispersion_30d,3,0.2855..0.3442,0.41509,0.16077,417,
top500_dispersion_30d,4,0.3442..0.4436,0.42748,0.14634,418,
top500_dispersion_30d,5,>0.4436,0.46903,0.07869,418,"{'p_exit_within7d': -0.0592, 'p_enter_within7d': -0.9303}"
stablecoin_change_30d,1,-0.0089..0.0045,0.35115,0.17476,440,
stablecoin_change_30d,2,0.0045..0.0177,0.43103,0.13313,439,
stablecoin_change_30d,3,0.0177..0.0305,0.46296,0.29242,439,
stablecoin_change_30d,4,0.0305..0.0522,0.59794,0.18421,439,
stablecoin_change_30d,5,>0.0522,0.37879,0.04826,439,"{'p_exit_within7d': 0.3648, 'p_enter_within7d': -0.3607}"
eth_btc_relative_return_30d,1,-0.0977..-0.0624,0.42473,0.18103,418,
eth_btc_relative_return_30d,2,-0.0624..-0.0284,0.34615,0.20486,418,
eth_btc_relative_return_30d,3,-0.0284..0.0030,0.54464,0.23607,417,
eth_btc_relative_return_30d,4,0.0030..0.0492,0.4955,0.16287,418,
eth_btc_relative_return_30d,5,>0.0492,0.42424,0.04156,418,"{'p_exit_within7d': 0.3089, 'p_enter_within7d': -0.6821}"
total_alt_share,1,0.4212..0.4391,0.488,0.11111,440,
total_alt_share,2,0.4391..0.4641,0.44526,0.1755,439,
total_alt_share,3,0.4641..0.5033,0.46218,0.25938,439,
total_alt_share,4,0.5033..0.5460,0.32867,0.12838,439,
total_alt_share,5,>0.5460,0.625,0.12788,439,"{'p_exit_within7d': 0.2347, 'p_enter_within7d': -0.0356}"
vol_med,1,0.0361..0.0415,0.41146,0.26923,426,
vol_med,2,0.0415..0.0464,0.48649,0.19108,425,
vol_med,3,0.0464..0.0504,0.41441,0.15605,425,
vol_med,4,0.0504..0.0567,0.46429,0.15655,425,
vol_med,5,>0.0567,0.43243,0.09278,425,"{'p_exit_within7d': 0.0956, 'p_enter_within7d': -0.9515}"
chain_tvl_med_chg7,1,-0.0388..-0.0189,0.42029,0.14016,440,
chain_tvl_med_chg7,2,-0.0189..-0.0003,0.58621,0.21981,439,
chain_tvl_med_chg7,3,-0.0003..0.0158,0.42143,0.18395,439,
chain_tvl_med_chg7,4,0.0158..0.0398,0.48026,0.1777,439,
chain_tvl_med_chg7,5,>0.0398,0.26316,0.08721,439,"{'p_exit_within7d': -0.5674, 'p_enter_within7d': -0.4648}"
total_mcap_chg30,1,-0.1024..-0.0500,0.5,0.08605,434,
total_mcap_chg30,2,-0.0500..-0.0008,0.63158,0.2367,433,
total_mcap_chg30,3,-0.0008..0.0421,0.45192,0.24444,433,
total_mcap_chg30,4,0.0421..0.1060,0.33529,0.18631,433,
total_mcap_chg30,5,>0.1060,0.48872,0.09667,433,"{'p_exit_within7d': -0.4744, 'p_enter_within7d': -0.0612}"
