chain,n_days,r2_GLOBAL,r2_CHAIN,r2_SECTOR,r2_NATIVE,r2_RANK
Tron,2126,0.0695,0.0695,0.1255,0.1278,0.1282
Ethereum,2144,0.1137,0.1508,0.2587,0.2591,0.2626
Solana,1885,0.1059,0.106,0.2148,0.2272,0.2278
Arbitrum,1612,0.1237,0.1237,0.1998,0.2,0.2001
Avalanche,1633,0.0771,0.0807,0.1585,0.1689,0.1701
Polygon,1589,0.0475,0.0501,0.0871,0.088,0.0881
OP Mainnet,1260,0.123,0.1254,0.2243,0.2247,0.2254
Bitcoin,1137,0.0698,0.0711,0.1003,0.1071,0.1107
Sui,679,0.0756,0.108,0.2194,0.228,0.2297
Hyperliquid L1,621,0.0502,0.0505,0.0686,0.1445,0.1446
PulseChain,246,0.029,0.0931,0.2122,0.2152,0.2189
Cronos,241,0.0473,0.0834,0.1999,0.2202,0.2358
