var_a,var_b,median_abs_r,n_chains,classification
dex_chg7,fees_chg7,0.6567,12,PARTIAL_PROXY
imp_share,dex_chg7,0.0364,12,CANDIDATE_DISTINCT
imp_share,fees_chg7,0.0166,12,CANDIDATE_DISTINCT
imp_share,mcshare,0.02,12,CANDIDATE_DISTINCT
imp_share,ret_brd1,0.1178,12,CANDIDATE_DISTINCT
imp_share,sc_chg30,0.047,12,CANDIDATE_DISTINCT
imp_share,sc_chg7,0.0377,12,CANDIDATE_DISTINCT
imp_share,vel7,0.8142,12,PARTIAL_PROXY
mcshare,dex_chg7,0.0094,12,CANDIDATE_DISTINCT
mcshare,fees_chg7,0.002,12,CANDIDATE_DISTINCT
mcshare,ret_brd1,0.0007,12,CANDIDATE_DISTINCT
mcshare,sc_chg30,0.1118,12,CANDIDATE_DISTINCT
mcshare,sc_chg7,0.0713,12,CANDIDATE_DISTINCT
ret_brd1,dex_chg7,0.0408,12,CANDIDATE_DISTINCT
ret_brd1,fees_chg7,0.0378,12,CANDIDATE_DISTINCT
ret_brd1,sc_chg30,0.0011,12,CANDIDATE_DISTINCT
ret_brd1,sc_chg7,0.0058,12,CANDIDATE_DISTINCT
sc_chg30,dex_chg7,0.0268,12,CANDIDATE_DISTINCT
sc_chg30,fees_chg7,0.0207,12,CANDIDATE_DISTINCT
sc_chg7,dex_chg7,0.037,12,CANDIDATE_DISTINCT
sc_chg7,fees_chg7,0.0229,12,CANDIDATE_DISTINCT
sc_chg7,sc_chg30,0.7612,12,PARTIAL_PROXY
tvl_chg30,dex_chg7,0.1322,12,CANDIDATE_DISTINCT
tvl_chg30,fees_chg7,0.1654,12,CANDIDATE_DISTINCT
tvl_chg30,imp_share,0.0265,12,CANDIDATE_DISTINCT
tvl_chg30,mcshare,0.0062,12,CANDIDATE_DISTINCT
tvl_chg30,ret_brd1,0.0084,12,CANDIDATE_DISTINCT
tvl_chg30,sc_chg30,0.3881,12,DISTINCT_INFORMATION
tvl_chg30,sc_chg7,0.2851,12,DISTINCT_INFORMATION
tvl_chg30,tvl_share,0.0922,12,CANDIDATE_DISTINCT
tvl_chg30,vel7,0.0241,12,CANDIDATE_DISTINCT
tvl_chg7,dex_chg7,0.1627,12,CANDIDATE_DISTINCT
tvl_chg7,fees_chg7,0.2382,12,DISTINCT_INFORMATION
tvl_chg7,imp_share,0.1215,12,CANDIDATE_DISTINCT
tvl_chg7,mcshare,0.0036,12,CANDIDATE_DISTINCT
tvl_chg7,ret_brd1,0.0202,12,CANDIDATE_DISTINCT
tvl_chg7,sc_chg30,0.1738,12,CANDIDATE_DISTINCT
tvl_chg7,sc_chg7,0.3094,12,DISTINCT_INFORMATION
tvl_chg7,tvl_chg30,0.5016,12,LOCAL_COORDINATE
tvl_chg7,tvl_share,0.0206,12,CANDIDATE_DISTINCT
tvl_chg7,vel7,0.119,12,CANDIDATE_DISTINCT
tvl_lvl,dex_chg7,0.0142,12,CANDIDATE_DISTINCT
tvl_lvl,fees_chg7,0.0052,12,CANDIDATE_DISTINCT
tvl_lvl,imp_share,0.0072,12,CANDIDATE_DISTINCT
tvl_lvl,mcshare,0.4651,12,LOCAL_COORDINATE
tvl_lvl,ret_brd1,0.0415,12,CANDIDATE_DISTINCT
tvl_lvl,sc_chg30,0.3506,12,DISTINCT_INFORMATION
tvl_lvl,sc_chg7,0.262,12,DISTINCT_INFORMATION
tvl_lvl,tvl_chg30,0.1509,12,CANDIDATE_DISTINCT
tvl_lvl,tvl_chg7,0.0272,12,CANDIDATE_DISTINCT
tvl_lvl,tvl_share,0.6826,12,PARTIAL_PROXY
tvl_lvl,vel7,0.0094,12,CANDIDATE_DISTINCT
tvl_share,dex_chg7,0.0055,12,CANDIDATE_DISTINCT
tvl_share,fees_chg7,0.022,12,CANDIDATE_DISTINCT
tvl_share,imp_share,0.0301,12,CANDIDATE_DISTINCT
tvl_share,mcshare,0.5234,12,LOCAL_COORDINATE
tvl_share,ret_brd1,0.03,12,CANDIDATE_DISTINCT
tvl_share,sc_chg30,0.0508,12,CANDIDATE_DISTINCT
tvl_share,sc_chg7,0.0135,12,CANDIDATE_DISTINCT
tvl_share,vel7,0.0191,12,CANDIDATE_DISTINCT
vel7,dex_chg7,0.0272,12,CANDIDATE_DISTINCT
vel7,fees_chg7,0.036,12,CANDIDATE_DISTINCT
vel7,mcshare,0.0821,12,CANDIDATE_DISTINCT
vel7,ret_brd1,0.1198,12,CANDIDATE_DISTINCT
vel7,sc_chg30,0.0774,12,CANDIDATE_DISTINCT
vel7,sc_chg7,0.0353,12,CANDIDATE_DISTINCT
