motif_class,n,self_loop,conc,mean_occ,mean_sub,generic_order_preserved_share
RECURRING,32,0.5625,0.1562,56.4375,3.2188,0.9688
CYCLE_SPECIFIC,142,0.2183,0.1197,1.7324,0.0,0.9688
