subperiod,n_days,self_transition,basin_self_transition
2020-2021,554,"{""STABLECOIN_PARKING"": 0.8061, ""CAPITAL_EXIT"": 0.0, ""BROAD_RISK_EXPANSION"": 0.8333, ""NARROW_LEADERSHIP"": 0.4167, ""ETH_BROADENING"": 0.7051, ""LARGE_ALT_ROTATION"": 0.625, ""MID_CAP_ROTATION"": 0.8636, ""SMALL_CAP_ROTATION"": 0.0, ""BTC_CONCENTRATION"": 0.8835, ""MIXED_NO_CLEAR_ROUTE"": 0.7254}",0.8898
2022,338,"{""STABLECOIN_PARKING"": 0.7143, ""CAPITAL_EXIT"": 0.9074, ""BROAD_RISK_EXPANSION"": 0.7576, ""NARROW_LEADERSHIP"": 0.3684, ""ETH_BROADENING"": 0.64, ""LARGE_ALT_ROTATION"": 0.0, ""MID_CAP_ROTATION"": 0.0, ""SMALL_CAP_ROTATION"": 0.3333, ""BTC_CONCENTRATION"": 0.7209, ""MIXED_NO_CLEAR_ROUTE"": 0.7724}",0.8677
2023,344,"{""STABLECOIN_PARKING"": 0.0, ""CAPITAL_EXIT"": 0.0, ""BROAD_RISK_EXPANSION"": 0.8182, ""NARROW_LEADERSHIP"": 0.5, ""ETH_BROADENING"": 0.5, ""LARGE_ALT_ROTATION"": 0.7391, ""MID_CAP_ROTATION"": 0.5263, ""SMALL_CAP_ROTATION"": 0.0, ""BTC_CONCENTRATION"": 0.8382, ""MIXED_NO_CLEAR_ROUTE"": 0.8033}",0.9419
2024,357,"{""STABLECOIN_PARKING"": 0.4286, ""CAPITAL_EXIT"": 0.0, ""BROAD_RISK_EXPANSION"": 0.8621, ""NARROW_LEADERSHIP"": 0.4615, ""ETH_BROADENING"": 0.4, ""LARGE_ALT_ROTATION"": 0.5333, ""MID_CAP_ROTATION"": 0.5714, ""SMALL_CAP_ROTATION"": 0.0, ""BTC_CONCENTRATION"": 0.7213, ""MIXED_NO_CLEAR_ROUTE"": 0.6853}",0.8947
2025-2026,600,"{""STABLECOIN_PARKING"": 0.8, ""CAPITAL_EXIT"": 0.8621, ""BROAD_RISK_EXPANSION"": 0.7917, ""NARROW_LEADERSHIP"": 0.5417, ""ETH_BROADENING"": 0.5185, ""LARGE_ALT_ROTATION"": 0.7027, ""MID_CAP_ROTATION"": 0.6154, ""SMALL_CAP_ROTATION"": 0.3333, ""BTC_CONCENTRATION"": 0.7305, ""MIXED_NO_CLEAR_ROUTE"": 0.7222}",0.9245
