chain,link,driver,outcome,ablation,best_lag_days,best_corr,perm_p,n,classification,base_corr,base_lag,n_ablations_survived
Tron,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,BASE,7.0,-0.0537,0.2687,2189,NO_RELATION,-0.0537,7.0,0
Tron,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-BETA,1.0,0.0632,0.0945,2002,NO_RELATION,-0.0537,7.0,0
Tron,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-SC,1.0,0.0518,0.1741,2135,NO_RELATION,-0.0537,7.0,0
Tron,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-DEX,1.0,0.0497,0.2637,2135,NO_RELATION,-0.0537,7.0,0
Tron,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-NATIVE_RET,7.0,0.0092,0.607,2189,NO_RELATION,-0.0537,7.0,0
Tron,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,BASE,7.0,-0.0623,0.0448,2144,DISSOLVES,-0.0623,7.0,0
Tron,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-BETA,7.0,-0.0451,0.204,1959,DISSOLVES,-0.0623,7.0,0
Tron,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-SC,7.0,-0.0558,0.0945,2084,DISSOLVES,-0.0623,7.0,0
Tron,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-DEX,7.0,-0.0622,0.0597,2084,DISSOLVES,-0.0623,7.0,0
Tron,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-NATIVE_RET,7.0,0.0092,0.6368,2189,DISSOLVES,-0.0623,7.0,0
Tron,STABLECOIN->TVL,sc_chg30,tvl_chg7,BASE,1.0,0.3121,0.005,2195,WEAKENED,0.3121,1.0,3
Tron,STABLECOIN->TVL,sc_chg30,tvl_chg7,-BETA,1.0,0.1477,0.0448,2002,WEAKENED,0.3121,1.0,3
Tron,STABLECOIN->TVL,sc_chg30,tvl_chg7,-SC,3.0,0.1335,0.005,2133,WEAKENED,0.3121,1.0,3
Tron,STABLECOIN->TVL,sc_chg30,tvl_chg7,-DEX,1.0,0.2516,0.005,2135,WEAKENED,0.3121,1.0,3
Tron,STABLECOIN->TVL,sc_chg30,tvl_chg7,-NATIVE_RET,7.0,0.0365,0.2139,2189,WEAKENED,0.3121,1.0,3
Tron,TVL->DEX,tvl_chg7,dex_chg7,BASE,1.0,0.1039,0.0398,2195,WEAKENED,0.1039,1.0,2
Tron,TVL->DEX,tvl_chg7,dex_chg7,-BETA,1.0,0.0973,0.0249,2002,WEAKENED,0.1039,1.0,2
Tron,TVL->DEX,tvl_chg7,dex_chg7,-SC,1.0,0.119,0.0199,2135,WEAKENED,0.1039,1.0,2
Tron,TVL->DEX,tvl_chg7,dex_chg7,-DEX,1.0,0.0329,0.0846,2135,WEAKENED,0.1039,1.0,2
Tron,TVL->DEX,tvl_chg7,dex_chg7,-NATIVE_RET,7.0,0.0092,0.6517,2189,WEAKENED,0.1039,1.0,2
Tron,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,BASE,1.0,0.3418,0.005,2143,WEAKENED,0.3418,1.0,3
Tron,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-BETA,1.0,0.4049,0.005,1977,WEAKENED,0.3418,1.0,3
Tron,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-SC,1.0,0.3464,0.005,2083,WEAKENED,0.3418,1.0,3
Tron,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-DEX,1.0,0.3409,0.005,2083,WEAKENED,0.3418,1.0,3
Tron,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-NATIVE_RET,14.0,0.0149,0.5025,2130,WEAKENED,0.3418,1.0,3
Ethereum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,BASE,3.0,-0.1132,0.0199,2193,WEAKENED,-0.1132,3.0,3
Ethereum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-BETA,3.0,-0.1143,0.005,1996,WEAKENED,-0.1132,3.0,3
Ethereum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-SC,3.0,-0.0892,0.0199,2133,WEAKENED,-0.1132,3.0,3
Ethereum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-DEX,3.0,-0.1128,0.005,2133,WEAKENED,-0.1132,3.0,3
Ethereum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-NATIVE_RET,7.0,0.0245,0.1692,2189,WEAKENED,-0.1132,3.0,3
Ethereum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,BASE,3.0,-0.0819,0.0199,2144,WEAKENED,-0.0819,3.0,2
Ethereum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-BETA,7.0,-0.0612,0.0398,1959,WEAKENED,-0.0819,3.0,2
Ethereum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-SC,3.0,-0.0505,0.0846,2084,WEAKENED,-0.0819,3.0,2
Ethereum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-DEX,3.0,-0.0645,0.0348,2084,WEAKENED,-0.0819,3.0,2
Ethereum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-NATIVE_RET,7.0,0.0245,0.2388,2189,WEAKENED,-0.0819,3.0,2
Ethereum,STABLECOIN->TVL,sc_chg30,tvl_chg7,BASE,1.0,0.2949,0.0398,2195,LOCAL,0.2949,1.0,1
Ethereum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-BETA,1.0,0.2113,0.0199,2002,LOCAL,0.2949,1.0,1
Ethereum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-SC,14.0,0.0324,0.3532,2122,LOCAL,0.2949,1.0,1
Ethereum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-DEX,1.0,0.0869,0.2189,2135,LOCAL,0.2949,1.0,1
Ethereum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-NATIVE_RET,7.0,0.0186,0.2935,2189,LOCAL,0.2949,1.0,1
Ethereum,TVL->DEX,tvl_chg7,dex_chg7,BASE,1.0,0.2056,0.005,2195,WEAKENED,0.2056,1.0,2
Ethereum,TVL->DEX,tvl_chg7,dex_chg7,-BETA,1.0,0.1469,0.005,2002,WEAKENED,0.2056,1.0,2
Ethereum,TVL->DEX,tvl_chg7,dex_chg7,-SC,1.0,0.1944,0.005,2135,WEAKENED,0.2056,1.0,2
Ethereum,TVL->DEX,tvl_chg7,dex_chg7,-DEX,7.0,0.0489,0.0547,2129,WEAKENED,0.2056,1.0,2
Ethereum,TVL->DEX,tvl_chg7,dex_chg7,-NATIVE_RET,7.0,0.0245,0.2139,2189,WEAKENED,0.2056,1.0,2
Ethereum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,BASE,7.0,-0.2577,0.005,2137,WEAKENED,-0.2577,7.0,3
Ethereum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-BETA,7.0,-0.2388,0.005,1959,WEAKENED,-0.2577,7.0,3
Ethereum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-SC,7.0,-0.2663,0.005,2077,WEAKENED,-0.2577,7.0,3
Ethereum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-DEX,7.0,-0.2528,0.005,2077,WEAKENED,-0.2577,7.0,3
Ethereum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-NATIVE_RET,14.0,0.0508,0.0299,2130,WEAKENED,-0.2577,7.0,3
Solana,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,BASE,1.0,0.0859,0.0547,1920,NO_RELATION,0.0859,1.0,0
Solana,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-BETA,7.0,-0.1018,0.005,1767,NO_RELATION,0.0859,1.0,0
Solana,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-SC,1.0,0.1025,0.0199,1860,NO_RELATION,0.0859,1.0,0
Solana,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-DEX,1.0,0.1016,0.0199,1860,NO_RELATION,0.0859,1.0,0
Solana,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-NATIVE_RET,14.0,0.0263,0.2338,1907,NO_RELATION,0.0859,1.0,0
Solana,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,BASE,7.0,-0.0701,0.0299,1878,WEAKENED,-0.0701,7.0,2
Solana,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-BETA,7.0,-0.0966,0.01,1743,WEAKENED,-0.0701,7.0,2
Solana,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-SC,7.0,-0.0697,0.0597,1818,WEAKENED,-0.0701,7.0,2
Solana,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-DEX,7.0,-0.0793,0.0299,1818,WEAKENED,-0.0701,7.0,2
Solana,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-NATIVE_RET,14.0,0.0263,0.2438,1907,WEAKENED,-0.0701,7.0,2
Solana,STABLECOIN->TVL,sc_chg30,tvl_chg7,BASE,1.0,0.2736,0.0249,1921,WEAKENED,0.2736,1.0,2
Solana,STABLECOIN->TVL,sc_chg30,tvl_chg7,-BETA,14.0,0.235,0.01,1762,WEAKENED,0.2736,1.0,2
Solana,STABLECOIN->TVL,sc_chg30,tvl_chg7,-SC,7.0,0.0508,0.0448,1861,WEAKENED,0.2736,1.0,2
Solana,STABLECOIN->TVL,sc_chg30,tvl_chg7,-DEX,1.0,0.1723,0.1791,1861,WEAKENED,0.2736,1.0,2
Solana,STABLECOIN->TVL,sc_chg30,tvl_chg7,-NATIVE_RET,7.0,0.0126,0.602,1922,WEAKENED,0.2736,1.0,2
Solana,TVL->DEX,tvl_chg7,dex_chg7,BASE,3.0,0.0743,0.0398,1918,WEAKENED,0.0743,3.0,2
Solana,TVL->DEX,tvl_chg7,dex_chg7,-BETA,1.0,0.0769,0.0249,1779,WEAKENED,0.0743,3.0,2
Solana,TVL->DEX,tvl_chg7,dex_chg7,-SC,1.0,0.1089,0.0299,1860,WEAKENED,0.0743,3.0,2
Solana,TVL->DEX,tvl_chg7,dex_chg7,-DEX,3.0,0.0511,0.0846,1858,WEAKENED,0.0743,3.0,2
Solana,TVL->DEX,tvl_chg7,dex_chg7,-NATIVE_RET,14.0,0.0263,0.2189,1907,WEAKENED,0.0743,3.0,2
Solana,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,BASE,1.0,0.3292,0.005,1892,SURVIVES,0.3292,1.0,4
Solana,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-BETA,1.0,0.3162,0.005,1763,SURVIVES,0.3292,1.0,4
Solana,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-SC,1.0,0.323,0.005,1832,SURVIVES,0.3292,1.0,4
Solana,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-DEX,1.0,0.3201,0.005,1832,SURVIVES,0.3292,1.0,4
Solana,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-NATIVE_RET,14.0,0.0541,0.0348,1879,SURVIVES,0.3292,1.0,4
Arbitrum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,BASE,,,,0,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-BETA,7.0,-0.0541,0.0498,1421,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-SC,7.0,-0.0449,0.0896,1474,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-DEX,7.0,-0.0538,0.0448,1474,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-NATIVE_RET,,,,0,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,BASE,,,,0,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-BETA,7.0,-0.074,0.0746,1388,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-SC,7.0,-0.0644,0.0398,1436,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-DEX,7.0,-0.0695,0.0249,1436,NO_RELATION,,,0
Arbitrum,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-NATIVE_RET,,,,0,NO_RELATION,,,0
Arbitrum,STABLECOIN->TVL,sc_chg30,tvl_chg7,BASE,,,,0,NO_RELATION,,,0
Arbitrum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-BETA,14.0,0.1602,0.005,1429,NO_RELATION,,,0
Arbitrum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-SC,3.0,-0.0447,0.0896,1481,NO_RELATION,,,0
Arbitrum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-DEX,7.0,0.1694,0.005,1481,NO_RELATION,,,0
Arbitrum,STABLECOIN->TVL,sc_chg30,tvl_chg7,-NATIVE_RET,7.0,0.009,0.6318,1761,NO_RELATION,,,0
Arbitrum,TVL->DEX,tvl_chg7,dex_chg7,BASE,,,,0,NO_RELATION,,,0
Arbitrum,TVL->DEX,tvl_chg7,dex_chg7,-BETA,1.0,-0.0438,0.0398,1427,NO_RELATION,,,0
Arbitrum,TVL->DEX,tvl_chg7,dex_chg7,-SC,1.0,-0.0414,0.0647,1480,NO_RELATION,,,0
Arbitrum,TVL->DEX,tvl_chg7,dex_chg7,-DEX,1.0,-0.0497,0.0498,1480,NO_RELATION,,,0
Arbitrum,TVL->DEX,tvl_chg7,dex_chg7,-NATIVE_RET,,,,0,NO_RELATION,,,0
Arbitrum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,BASE,1.0,0.3419,0.005,1720,WEAKENED,0.3419,1.0,3
Arbitrum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-BETA,1.0,0.3263,0.005,1594,WEAKENED,0.3419,1.0,3
Arbitrum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-SC,1.0,0.3425,0.005,1660,WEAKENED,0.3419,1.0,3
Arbitrum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-DEX,1.0,0.3326,0.0149,1660,WEAKENED,0.3419,1.0,3
Arbitrum,VELOCITY->NATIVE_IMPROVING,vel7,imp_share,-NATIVE_RET,14.0,0.0448,0.0597,1707,WEAKENED,0.3419,1.0,3
Avalanche,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,BASE,7.0,-0.0937,0.0249,1740,WEAKENED,-0.0937,7.0,3
Avalanche,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-BETA,7.0,-0.1278,0.01,1597,WEAKENED,-0.0937,7.0,3
Avalanche,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-SC,7.0,-0.1399,0.0149,1680,WEAKENED,-0.0937,7.0,3
Avalanche,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-DEX,7.0,-0.1376,0.005,1680,WEAKENED,-0.0937,7.0,3
Avalanche,TVL->NATIVE_IMPROVING,tvl_chg7,imp_share,-NATIVE_RET,1.0,-0.0358,0.1194,1746,WEAKENED,-0.0937,7.0,3
Avalanche,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,BASE,7.0,-0.0685,0.0896,1684,NO_RELATION,-0.0685,7.0,0
Avalanche,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-BETA,1.0,0.0738,0.0448,1561,NO_RELATION,-0.0685,7.0,0
Avalanche,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-SC,1.0,0.0779,0.0995,1624,NO_RELATION,-0.0685,7.0,0
Avalanche,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-DEX,1.0,0.0889,0.0448,1624,NO_RELATION,-0.0685,7.0,0
Avalanche,TVL->NATIVE_VELOCITY,tvl_chg7,vel7,-NATIVE_RET,1.0,-0.0358,0.1393,1746,NO_RELATION,-0.0685,7.0,0
Avalanche,STABLECOIN->TVL,sc_chg30,tvl_chg7,BASE,14.0,0.4113,0.005,1733,DISSOLVES,0.4113,14.0,1
