relationship,state,state_days,kind,uncond_best_lag,uncond_corr,uncond_p,cond_corr,cond_p,corr_delta,n,classification,workstream,fdr_q
VEL 11-25->26-50,CHAIN_CONTRACTING,993,BAND,1,0.1063,0.005,0.1099,0.0199,0.0037,956,SAME_SIGN,D,0.0521
VEL 11-25->26-50,RISK_ON,1197,BAND,1,0.1063,0.005,0.0786,0.01,-0.0277,1152,SAME_SIGN,D,0.0324
VEL 11-25->26-50,RISK_OFF,969,BAND,1,0.1063,0.005,0.1456,0.0149,0.0393,934,SAME_SIGN,D,0.0431
VEL 26-50->51-100,BTC_UP,1127,BAND,7,-0.1383,0.005,-0.0142,0.7662,0.1241,1074,LOST,D,0.8104
VEL 26-50->51-100,BTC_DOWN,962,BAND,7,-0.1383,0.005,0.0179,0.7313,0.1561,924,REVERSED,D,0.781
VEL 26-50->51-100,ETH_STRONG,947,BAND,7,-0.1383,0.005,0.0555,0.2289,0.1938,919,REVERSED,D,0.3403
VEL 26-50->51-100,ETH_WEAK,1142,BAND,7,-0.1383,0.005,0.0253,0.6667,0.1636,1079,REVERSED,D,0.7261
VEL 26-50->51-100,VOL_HIGH,656,BAND,7,-0.1383,0.005,0.0589,0.5323,0.1971,618,REVERSED,D,0.6288
VEL 26-50->51-100,VOL_LOW,864,BAND,7,-0.1383,0.005,0.059,0.3085,0.1973,838,REVERSED,D,0.4242
VEL 26-50->51-100,BREADTH_EXPANDING,715,BAND,7,-0.1383,0.005,0.0279,0.607,0.1662,682,REVERSED,D,0.6884
VEL 26-50->51-100,BREADTH_CONTRACTING,1481,BAND,7,-0.1383,0.005,-0.3655,0.005,-0.2272,1406,GAINED,D,0.0239
VEL 26-50->51-100,CONC_RISING,1112,BAND,7,-0.1383,0.005,0.0837,0.0348,0.222,1053,REVERSED,D,0.0814
VEL 26-50->51-100,CONC_FALLING,1077,BAND,7,-0.1383,0.005,0.09,0.0348,0.2283,1036,REVERSED,D,0.0814
VEL 26-50->51-100,SC_INFLOW,1550,BAND,7,-0.1383,0.005,-0.1676,0.01,-0.0293,1468,SAME_SIGN,D,0.0324
