event,window_d,precursor,precursor_desc,n_events,n_controls,event_median,control_median,diff,wilcoxon_p,fdr_q
ENTRY,14,chain_tvl_med_chg7,median chain TVL 7D change,126,360,0.00085,0.00605,-0.0052,0.2775,0.5628
ENTRY,30,btc_dom_chg30,btc_dominance 30D change,126,360,0.00603,0.0078,-0.00176,0.139,0.3985
ENTRY,30,btc_ret30,BTC 30D return,123,346,0.01222,0.02502,-0.0128,0.1093,0.3466
ENTRY,30,btc_ret7,BTC 7D return,126,360,0.00732,0.01539,-0.00807,0.0002,0.0029
ENTRY,30,top3_share,top-3 mcap share,126,360,0.71877,0.72095,-0.00218,0.704,0.8973
ENTRY,30,top3_share_chg7,top-3 share 7D change,126,360,0.00084,0.00172,-0.00087,0.0037,0.0267
ENTRY,30,breadth30,top500 breadth 30D,126,360,0.29117,0.29963,-0.00847,0.4991,0.7788
ENTRY,30,disp30,top500 dispersion 30D,123,346,0.3108,0.30153,0.00926,0.6625,0.8788
ENTRY,30,sc_chg30,stablecoin 30D change,126,360,0.02362,0.01874,0.00488,0.2426,0.5295
ENTRY,30,eth_rel30,ETH/BTC rel 30D,123,346,-0.02534,-0.03203,0.0067,0.3821,0.6713
ENTRY,30,alt_share,total alt share,126,360,0.45776,0.47191,-0.01415,0.6709,0.881
ENTRY,30,eth_share,ETH mcap share,126,360,0.13535,0.15449,-0.01914,0.5288,0.7788
ENTRY,30,vol_med,median vol 30D,123,349,0.04598,0.04521,0.00078,0.1229,0.3803
ENTRY,30,chain_tvl_med_chg7,median chain TVL 7D change,126,360,0.00161,0.00313,-0.00152,0.3652,0.6561
EXIT,1,btc_dom_chg30,btc_dominance 30D change,125,495,0.01156,0.00794,0.00361,0.0207,0.0997
EXIT,1,btc_ret30,BTC 30D return,125,479,0.05206,0.0349,0.01716,0.0003,0.0039
EXIT,1,btc_ret7,BTC 7D return,120,482,0.01779,0.01611,0.00168,0.7546,0.9312
EXIT,1,top3_share,top-3 mcap share,125,495,0.72317,0.72182,0.00136,0.3556,0.6511
EXIT,1,top3_share_chg7,top-3 share 7D change,125,495,0.00156,0.00221,-0.00065,0.9026,0.9878
EXIT,1,breadth30,top500 breadth 30D,125,495,0.396,0.31,0.086,0.0002,0.0029
EXIT,1,disp30,top500 dispersion 30D,125,479,0.30642,0.28617,0.02025,0.0531,0.203
EXIT,1,sc_chg30,stablecoin 30D change,125,495,0.02245,0.02254,-0.0001,0.8713,0.9878
EXIT,1,eth_rel30,ETH/BTC rel 30D,125,479,-0.03926,-0.04278,0.00352,0.4708,0.7747
EXIT,1,alt_share,total alt share,125,495,0.45388,0.45771,-0.00383,0.5782,0.7996
EXIT,1,eth_share,ETH mcap share,125,495,0.13833,0.13499,0.00334,0.9924,0.9991
EXIT,1,vol_med,median vol 30D,123,484,0.04512,0.04478,0.00035,0.9991,0.9991
EXIT,1,chain_tvl_med_chg7,median chain TVL 7D change,125,495,0.01578,0.00309,0.01269,0.0313,0.1421
EXIT,3,btc_dom_chg30,btc_dominance 30D change,125,495,0.00998,0.00805,0.00193,0.1893,0.4643
EXIT,3,btc_ret30,BTC 30D return,125,490,0.05363,0.03179,0.02184,0.001,0.0108
EXIT,3,btc_ret7,BTC 7D return,125,493,0.02537,0.01458,0.01079,0.1642,0.4447
EXIT,3,top3_share,top-3 mcap share,125,495,0.7225,0.72091,0.00159,0.5544,0.7838
EXIT,3,top3_share_chg7,top-3 share 7D change,125,495,0.00215,0.0017,0.00045,0.5136,0.7788
EXIT,3,breadth30,top500 breadth 30D,125,495,0.37533,0.30467,0.07067,0.001,0.0108
EXIT,3,disp30,top500 dispersion 30D,125,490,0.30531,0.29212,0.01319,0.1035,0.3364
EXIT,3,sc_chg30,stablecoin 30D change,125,495,0.02256,0.02277,-0.0002,0.8999,0.9878
EXIT,3,eth_rel30,ETH/BTC rel 30D,125,490,-0.04602,-0.04278,-0.00324,0.5949,0.8141
EXIT,3,alt_share,total alt share,125,495,0.45513,0.4589,-0.00377,0.5547,0.7838
EXIT,3,eth_share,ETH mcap share,125,495,0.13647,0.13408,0.00238,0.935,0.9878
EXIT,3,vol_med,median vol 30D,124,484,0.04519,0.04486,0.00033,0.8834,0.9878
