group,n,min,p0,p1,p5,p25,p50,p75,p95,p99,p100,max
POOLED_ACCEPTED,826,0.1352,0.1352,0.2693,0.5145,1.1023,1.9842,3.5134,7.6105,16.0364,32.7663,32.7663
A_ACCEPTED,371,0.4713,0.4713,0.6202,1.0231,2.1407,3.3513,5.3053,11.4407,17.2065,32.7663,32.7663
B_ACCEPTED,455,0.1352,0.1352,0.25,0.4313,0.7952,1.285,2.0116,4.1231,6.7105,22.2754,22.2754
