step,n_clusters_after,merge_distance,merged_members,cut_16,cut_12,cut_8,cut_6,cut_4,verdict
1,15,0.03573569825172835,HH_HA_LE+HH_LA_LE,1,0,0,0,0,MERGE_TREE_BUILT
2,14,0.044372436479940075,HL_LA_HE+HL_LA_LE,1,0,0,0,0,MERGE_TREE_BUILT
3,13,0.059071836873252785,LH_HA_HE+LH_LA_HE,1,0,0,0,0,MERGE_TREE_BUILT
4,12,0.08702926226710693,HH_HA_HE+HH_LA_HE,1,1,0,0,0,MERGE_TREE_BUILT
5,11,0.08727364116778323,LL_HA_HE+LL_LA_HE,1,1,0,0,0,MERGE_TREE_BUILT
6,10,0.08876618335090786,LH_HA_HE+LH_HA_LE+LH_LA_HE,1,1,0,0,0,MERGE_TREE_BUILT
7,9,0.11428924726229693,LL_HA_LE+LL_LA_LE,1,1,0,0,0,MERGE_TREE_BUILT
8,8,0.14504273146671798,HL_HA_HE+HL_HA_LE,1,1,1,0,0,MERGE_TREE_BUILT
9,7,0.14879259090445773,HL_LA_HE+HL_LA_LE+LL_HA_HE+LL_LA_HE,1,1,1,0,0,MERGE_TREE_BUILT
10,6,0.16094515165439557,LH_HA_HE+LH_HA_LE+LH_LA_HE+LH_LA_LE,1,1,1,1,0,MERGE_TREE_BUILT
11,5,0.1765841945633221,HH_HA_HE+HH_LA_HE+HL_HA_HE+HL_HA_LE,1,1,1,1,0,MERGE_TREE_BUILT
12,4,0.18358892028415336,HL_LA_HE+HL_LA_LE+LH_HA_HE+LH_HA_LE+LH_LA_HE+LH_LA_LE+LL_HA_HE+LL_LA_HE,1,1,1,1,1,MERGE_TREE_BUILT
13,3,0.216570564232686,HH_HA_HE+HH_LA_HE+HL_HA_HE+HL_HA_LE+HL_LA_HE+HL_LA_LE+LH_HA_HE+LH_HA_LE+LH_LA_HE+LH_LA_LE+LL_HA_HE+LL_LA_HE,1,1,1,1,1,MERGE_TREE_BUILT
14,2,0.2517151225027105,HH_HA_HE+HH_LA_HE+HL_HA_HE+HL_HA_LE+HL_LA_HE+HL_LA_LE+LH_HA_HE+LH_HA_LE+LH_LA_HE+LH_LA_LE+LL_HA_HE+LL_HA_LE+LL_LA_HE+LL_LA_LE,1,1,1,1,1,MERGE_TREE_BUILT
15,1,0.29372717293773015,HH_HA_HE+HH_HA_LE+HH_LA_HE+HH_LA_LE+HL_HA_HE+HL_HA_LE+HL_LA_HE+HL_LA_LE+LH_HA_HE+LH_HA_LE+LH_LA_HE+LH_LA_LE+LL_HA_HE+LL_HA_LE+LL_LA_HE+LL_LA_LE,1,1,1,1,1,MERGE_TREE_BUILT
