archetype,n_days,n_reached_cells_ge10pct,dominant_cell,dominant_share,mi_arch_to_cell_bits,chi2_p,verdict
BREADTH_DISPERSION_LED,622,4,HH_LA_LE,0.3392282958199357,0.8094095350263265,0.0,EQUIFINALITY_INSIDE_MATRIX
BREADTH_LED,150,4,HH_HA_LE,0.2866666666666667,0.8094095350263265,0.0,EQUIFINALITY_INSIDE_MATRIX
DISPERSION_LED,110,4,LH_LA_LE,0.2636363636363636,0.8094095350263265,0.0,EQUIFINALITY_INSIDE_MATRIX
MACRO_ANCHORED,665,4,LL_LA_LE,0.2781954887218045,0.8094095350263265,0.0,EQUIFINALITY_INSIDE_MATRIX
MIXED,648,5,LL_LA_LE,0.17901234567901234,0.8094095350263265,0.0,EQUIFINALITY_INSIDE_MATRIX
