mcell,metric,age_effect_sign,n_young,n_mature,frac_same_sign,consistency,verdict
HH_HA_HE,propagation,1.0,26,56,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_HA_HE,reentry,-1.0,26,56,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_HA_HE,rank_recruitment,1.0,26,56,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HH_HA_HE,dir_entropy,1.0,26,56,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_HA_LE,propagation,1.0,16,154,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_HA_LE,reentry,-1.0,16,154,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_HA_LE,rank_recruitment,1.0,16,154,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HH_HA_LE,dir_entropy,1.0,16,154,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_LA_HE,propagation,1.0,22,64,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_LA_HE,reentry,-1.0,22,64,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_LA_HE,rank_recruitment,-1.0,22,64,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HH_LA_HE,dir_entropy,-1.0,22,64,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_LA_LE,propagation,1.0,15,191,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_LA_LE,reentry,-1.0,15,191,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HH_LA_LE,rank_recruitment,1.0,15,191,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HH_LA_LE,dir_entropy,1.0,15,191,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_HA_HE,propagation,,20,5,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_HA_HE,reentry,,20,5,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_HA_HE,rank_recruitment,,20,5,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HL_HA_HE,dir_entropy,,20,5,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_HA_LE,propagation,1.0,22,10,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_HA_LE,reentry,1.0,22,10,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_HA_LE,rank_recruitment,1.0,22,10,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HL_HA_LE,dir_entropy,-1.0,22,10,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_LA_HE,propagation,-1.0,25,15,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_LA_HE,reentry,1.0,25,15,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_LA_HE,rank_recruitment,0.0,25,15,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HL_LA_HE,dir_entropy,-1.0,25,15,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_LA_LE,propagation,1.0,16,20,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_LA_LE,reentry,1.0,16,20,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
HL_LA_LE,rank_recruitment,0.0,16,20,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
HL_LA_LE,dir_entropy,-1.0,16,20,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
