mcell,n_days,n_subperiods,max_subperiod_share,median_age,age_band_dist,breadth,dispersion,forcing,rank_depth_rel,tail_share,rank_recruit,p_prop_1d,p_prop_3d,p_prop_7d,p_prop_14d,p_reentry_1d,p_reentry_3d,p_reentry_7d,p_reentry_14d,next_cell_entropy,dir_entropy,dominant_next_branch,p_up,p_down,p_broad_up,p_broad_down,support
HH_HA_HE,128,5,0.265625,6.0,AGE_15_PLUS:41;AGE_1:26;AGE_2_3:24;AGE_4_7:22;AGE_8_14:15,0.5845156250000001,0.7040636933613239,0.6734734050986918,-0.05319766749114864,0.9921875,0.8828125,0.4140625,0.53125,0.59375,0.640625,0.3671875,0.4609375,0.53125,0.609375,1.055128217769782,0.7597761381470372,HIGH_BREADTH_HIGH_DISP,0.8046875,0.1875,1.0,0.7578125,ROBUST
HH_HA_LE,222,5,0.5540540540540541,16.0,AGE_15_PLUS:116;AGE_8_14:38;AGE_4_7:33;AGE_2_3:19;AGE_1:16,0.6983513513513513,1.5365896133004855,1.386734785588072,-0.04719989446674125,0.9819819819819819,0.8648648648648649,0.545045045045045,0.6396396396396397,0.7702702702702703,0.8693693693693694,0.32432432432432434,0.34684684684684686,0.38738738738738737,0.42342342342342343,0.23005832606888743,0.7120638565311399,HIGH_BREADTH_HIGH_DISP,0.8423423423423423,0.13063063063063063,0.9774774774774775,0.7297297297297297,LOCAL
HH_LA_HE,160,5,0.2641509433962264,6.0,AGE_4_7:41;AGE_15_PLUS:40;AGE_2_3:33;AGE_8_14:24;AGE_1:22,0.5522625,1.0221962844803207,0.3494587299928864,-0.04653342594416234,0.99375,0.9,0.375,0.45625,0.5875,0.63125,0.3375,0.46875,0.54375,0.63125,1.14571269092858,0.8930905925794063,HIGH_BREADTH_HIGH_DISP,0.74375,0.24375,0.99375,0.9,ROBUST
HH_LA_LE,260,5,0.5346153846153846,18.0,AGE_15_PLUS:144;AGE_8_14:47;AGE_4_7:29;AGE_2_3:25;AGE_1:15,0.6732923076923076,1.1693445378374125,1.1231414022158435,-0.045006425015148836,0.9884615384615385,0.8615384615384616,0.5884615384615385,0.6807692307692308,0.7615384615384615,0.8846153846153846,0.27307692307692305,0.3076923076923077,0.35,0.4076923076923077,0.21583944996052967,0.7717024264160219,HIGH_BREADTH_HIGH_DISP,0.8307692307692308,0.13846153846153847,0.9692307692307692,0.9115384615384615,LOCAL
HL_HA_HE,74,4,0.4189189189189189,3.0,AGE_2_3:25;AGE_4_7:24;AGE_1:20;AGE_8_14:3;AGE_15_PLUS:2,0.49997297297297305,0.24488055695646188,0.05819821409022315,-0.02326456723906557,0.9864864864864865,0.8918918918918919,0.21621621621621623,0.3108108108108108,0.4594594594594595,0.5540540540540541,0.3783783783783784,0.5540540540540541,0.6891891891891891,0.7567567567567568,0.826962789894938,0.6717788233401882,HIGH_BREADTH_LOW_DISP,0.8513513513513513,0.13513513513513514,1.0,0.7297297297297297,LOCAL
HL_HA_LE,68,5,0.36764705882352944,2.5,AGE_1:22;AGE_2_3:18;AGE_4_7:18;AGE_8_14:7;AGE_15_PLUS:3,0.5183235294117646,0.2437476198951585,0.12045115183079745,-0.03323999320574365,0.9852941176470589,0.8382352941176471,0.17647058823529413,0.2647058823529412,0.35294117647058826,0.47058823529411764,0.5,0.6029411764705882,0.6323529411764706,0.7205882352941176,1.0961085701090179,0.7612401496918492,HIGH_BREADTH_LOW_DISP,0.7794117647058824,0.22058823529411764,1.0,0.7794117647058824,LOCAL
HL_LA_HE,102,4,0.4215686274509804,3.0,AGE_2_3:31;AGE_4_7:31;AGE_1:25;AGE_8_14:10;AGE_15_PLUS:5,0.4855098039215687,0.2440626502506242,-0.15518633693326123,-0.019929295006074127,1.0,0.9607843137254902,0.23529411764705882,0.29411764705882354,0.39215686274509803,0.43137254901960786,0.4019607843137255,0.5686274509803921,0.6666666666666666,0.6764705882352942,1.215921988556097,1.085114909354204,HIGH_BREADTH_LOW_DISP,0.5980392156862745,0.38235294117647056,0.9607843137254902,0.8921568627450981,ROBUST
HL_LA_LE,83,4,0.37349397590361444,4.0,AGE_4_7:26;AGE_2_3:21;AGE_1:16;AGE_8_14:15;AGE_15_PLUS:5,0.4961686746987951,0.23150608391448582,-0.13601378524140062,-0.019286945109176754,1.0,0.9518072289156626,0.1566265060240964,0.20481927710843373,0.25301204819277107,0.3132530120481928,0.42168674698795183,0.5421686746987951,0.6746987951807228,0.7349397590361446,1.2221904615831294,0.9335289015212996,HIGH_BREADTH_LOW_DISP,0.6506024096385542,0.3493975903614458,1.0,0.9518072289156626,LOCAL
LH_HA_HE,53,5,0.41509433962264153,6.0,AGE_8_14:14;AGE_2_3:14;AGE_4_7:11;AGE_15_PLUS:7;AGE_1:7,0.18279245283018866,0.5935537625624879,-0.3018383023105042,-0.049511799406693494,1.0,0.9056603773584906,0.05660377358490566,0.1509433962264151,0.18867924528301888,0.24528301886792453,0.2830188679245283,0.33962264150943394,0.49056603773584906,0.660377358490566,0.9951061251949509,0.6121961274908337,LOW_BREADTH_HIGH_DISP,0.8490566037735849,0.1509433962264151,1.0,0.6415094339622641,LOCAL
LH_HA_LE,43,5,0.4186046511627907,5.0,AGE_2_3:10;AGE_4_7:10;AGE_8_14:9;AGE_1:8;AGE_15_PLUS:6,0.2005581395348837,0.4944646849136664,-0.2565030466973075,-0.05550465623166619,1.0,0.9069767441860465,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.18604651162790697,0.13953488372093023,0.2558139534883721,0.4883720930232558,0.6046511627906976,0.8915128721018706,0.8841151220488479,LOW_BREADTH_HIGH_DISP,0.6976744186046512,0.3023255813953488,1.0,0.6744186046511628,SPARSE
