node_id,node_type,local_global,condition,parent_state,child_state,median_latency_d,n_effective,effect_size,confidence,causal_level,alpha_role,status,source
DIVERGENCE_btc_dom_chg30,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_btc_return_30d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_btc_return_7d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_chain_tvl_med_chg7,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_eth_btc_relative_return_30d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_eth_btc_relative_return_7d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_med_ret30_11_50,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_med_ret30_201_500,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_med_ret30_51_200,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_top3_share,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_top3_share_chg7,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_top500_breadth_30d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_top500_breadth_7d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_top500_dispersion_30d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_top500_dispersion_7d,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
DIVERGENCE_total_mcap_chg30,TERRAIN,GLOBAL,,,,,,ROBUST,,L0,,NEW_NODE,WS1
RETEST_RELOAD_STRUCTURE,TERRAIN,GLOBAL,,,,,,0_vars_sig,,L0,,DESCRIPTIVE_ONLY,WS3
EARLY_DECAY_SEQUENCE,TERRAIN,GLOBAL,,,,,,1_vars_early_decline,,L0,,DESCRIPTIVE_ONLY,WS5
P:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,SEQUENCE,LOCAL,,BREADTH_EXPANSION,BREADTH_EXPANSION,,56.0,lift=2.805,q=0.0,L0,LOCAL_CLUSTER;UNKNOWN,LOCAL_SEQUENCE,MECH-6-WS2
P:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,SEQUENCE,LOCAL,,BREADTH_FADE,BREADTH_FADE,,51.0,lift=2.654,q=0.0,L0,LOCAL_CLUSTER;UNKNOWN,LOCAL_SEQUENCE,MECH-6-WS2
BREADTH_DIVERGENCE_acceleration,BREADTH,GLOBAL,,,,5.0,123.0,r=-0.2628,q=0.01122,L1,TRANSITION_GATE,NEW_NODE,MECH-6-WS3
BREADTH_DIVERGENCE_btc_ret30,BREADTH,GLOBAL,,,,0.0,110.0,r=0.5131,q=0.0,L1,TRANSITION_GATE,NEW_NODE,MECH-6-WS3
BREADTH_DIVERGENCE_dispersion,BREADTH,GLOBAL,,,,0.0,110.0,r=0.2948,q=0.006627,L1,TRANSITION_GATE,NEW_NODE,MECH-6-WS3
BREADTH_DIVERGENCE_level,BREADTH,GLOBAL,,,,0.0,123.0,r=0.5352,q=0.0,L1,TRANSITION_GATE,NEW_NODE,MECH-6-WS3
BREADTH_DIVERGENCE_pos_ret_share,BREADTH,GLOBAL,,,,0.0,123.0,r=0.2138,q=0.0426,L1,TRANSITION_GATE,NEW_NODE,MECH-6-WS3
BREADTH_DIVERGENCE_velocity,BREADTH,GLOBAL,,,,0.0,123.0,r=0.3499,q=0.00039,L1,TRANSITION_GATE,NEW_NODE,MECH-6-WS3
TERMINATION_BREADTH_FIRST,TERMINATION,LOCAL,,PROPAGATION,END,,17.0,63%,,L0,DECAY_TERMINATION,DESCRIPTIVE_ONLY,MECH-6-WS6
TERMINATION_ETH_FIRST,TERMINATION,LOCAL,,PROPAGATION,END,,5.0,18%,,L0,DECAY_TERMINATION,DESCRIPTIVE_ONLY,MECH-6-WS6
TERMINATION_CONC_REBUILD_FIRST,TERMINATION,LOCAL,,PROPAGATION,END,,3.0,11%,,L0,DECAY_TERMINATION,DESCRIPTIVE_ONLY,MECH-6-WS6
TERMINATION_DISP_FIRST,TERMINATION,LOCAL,,PROPAGATION,END,,2.0,7%,,L0,DECAY_TERMINATION,DESCRIPTIVE_ONLY,MECH-6-WS6
