result,classification,note
seq E:breadth:0-3-7:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=2, lift=0.997, q=0.99905"
seq E:breadth:0-3-7:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=0.968, q=0.99905"
seq E:breadth:0-3-7:BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=5, n_sub=3, lift=0.87, q=0.976776"
seq E:breadth:0-3-7:BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=2, lift=0.902, q=0.979193"
seq E:breadth:0-3-7:BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.24, q=0.976776"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=3, lift=0.94, q=0.984299"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=5, lift=0.959, q=0.984299"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,LOW_SAMPLE_CURIOSITY,"n_eff=5, n_sub=4, lift=1.528, q=0.904232"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=5, n_sub=3, lift=0.735, q=0.946276"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=2, lift=0.899, q=0.976776"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=1.146, q=0.976776"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=2, lift=1.078, q=0.984299"
seq E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=5, n_sub=4, lift=1.373, q=0.946276"
seq E:breadth:0-7-14:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=0.764, q=0.946276"
seq E:breadth:0-7-14:BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=4, lift=0.98, q=0.99905"
seq E:breadth:0-7-14:BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=9, n_sub=3, lift=1.124, q=0.976776"
seq E:breadth:0-7-14:BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=2, lift=1.273, q=0.946276"
seq E:breadth:0-7-14:BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=2, lift=1.347, q=0.946276"
seq E:breadth:0-7-14:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=3, lift=1.322, q=0.946276"
seq E:breadth:0-7-14:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=0.674, q=0.946276"
seq E:breadth:0-7-14:BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=4, lift=1.685, q=0.707622"
seq E:breadth:0-7-14:BREADTH_STABLE->BREADTH_STABLE->BREADTH_EXPANDING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.515, q=0.946276"
seq E:canonical:0-1-3:LARGE_ALT_ROTATION->LARGE_ALT_ROTATION->LARGE_ALT_ROTATION,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=1, lift=162.76, q=0.010756"
seq E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->ETH_BROADENING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=2.721, q=0.408908"
seq E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=2.721, q=0.408908"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->ETH_BROADENING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=3.859, q=0.10308"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->MIXED_NO_CLEAR_ROUTE,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=4, lift=1.004, q=0.99905"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=3, lift=1.795, q=0.599951"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->ETH_BROADENING,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=1, lift=1.346, q=0.946276"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->LARGE_ALT_ROTATION,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=1.539, q=0.946276"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MID_CAP_ROTATION,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.795, q=0.878799"
seq E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->CAPITAL_EXIT->CAPITAL_EXIT,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=23.157, q=0.010756"
seq E:canonical:0-3-7:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=4, lift=2.978, q=0.184041"
seq E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->BROAD_RISK_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=4, lift=3.431, q=0.086327"
seq E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=0.643, q=0.946276"
seq E:micro:0-1-3:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=9, n_sub=4, lift=1.348, q=0.930126"
seq E:micro:0-1-3:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=4, lift=1.079, q=0.979193"
seq E:micro:0-1-3:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=9, n_sub=4, lift=1.523, q=0.707622"
seq E:micro:0-1-3:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=0.316, q=0.242131"
seq E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=5, n_sub=3, lift=0.761, q=0.946276"
seq E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=2.48, q=0.504101"
seq E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->RANK_RECRUITMENT,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.578, q=0.946276"
seq E:micro:0-1-3:BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.294, q=0.946276"
seq E:micro:0-1-3:CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=1, lift=1.182, q=0.976776"
seq E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=0.734, q=0.946276"
seq E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=3, lift=0.77, q=0.946276"
seq E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_EXPANSION->RANK_RECRUITMENT,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=3, lift=3.016, q=0.051569"
seq E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=3, lift=0.897, q=0.979193"
seq E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=7, n_sub=4, lift=1.235, q=0.946276"
seq E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=4, lift=1.052, q=0.984299"
seq E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=3, lift=0.828, q=0.946276"
seq E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=2.433, q=0.529309"
seq E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.622, q=0.946276"
seq E:micro:0-14-30:BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=4, lift=1.012, q=0.99905"
seq E:micro:0-14-30:RANK_RECRUITMENT->RANK_RECRUITMENT->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=6.271, q=0.010756"
seq E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=5, lift=1.767, q=0.504101"
seq E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=0.773, q=0.946276"
seq E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=7, n_sub=4, lift=0.963, q=0.984299"
seq E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=7, n_sub=3, lift=1.123, q=0.976776"
seq E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=1, lift=1.838, q=0.872732"
seq E:micro:0-3-7:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=4, lift=1.243, q=0.946276"
seq E:micro:0-3-7:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=3, lift=0.725, q=0.946276"
seq E:micro:0-3-7:BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=2, lift=1.779, q=0.882638"
seq E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=3, lift=0.77, q=0.946276"
seq E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=6, n_sub=5, lift=1.059, q=0.984299"
seq E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=3, lift=0.862, q=0.976776"
seq E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,LOW_SAMPLE_CURIOSITY,"n_eff=4, n_sub=1, lift=0.79, q=0.946276"
seq E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=3.16, q=0.242131"
seq E:micro:0-7-14:BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=3, n_sub=3, lift=2.262, q=0.599951"
seq E:micro:0-7-14:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,LOW_SAMPLE_CURIOSITY,"n_eff=8, n_sub=4, lift=1.104, q=0.976776"
