event_id,exit_date,first_destination,outcome_family,subperiod,days_to_destination_d,axis,lattice,seq
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-1-3,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-3-7,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-7-14,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-14-30,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-1-3,RANK_DETERIORATING->RANK_STALL->RANK_STALL
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-3-7,RANK_DETERIORATING->RANK_STALL->RANK_STALL
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-7-14,RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING
EXIT_000,2020-10-04,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-14-30,RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,micro,0-1-3,CONCENTRATION_RELEASE->ETH_WEAKENING->CONCENTRATION_REBUILD
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,micro,0-3-7,CONCENTRATION_RELEASE->CONCENTRATION_REBUILD->CONCENTRATION_REBUILD
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,micro,0-7-14,CONCENTRATION_RELEASE->CONCENTRATION_REBUILD->BREADTH_FADE
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,micro,0-14-30,CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,breadth,0-1-3,BREADTH_STABLE->BREADTH_STABLE->BREADTH_STABLE
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,breadth,0-3-7,BREADTH_STABLE->BREADTH_STABLE->BREADTH_STABLE
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,breadth,0-7-14,BREADTH_STABLE->BREADTH_STABLE->BREADTH_FADING
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,breadth,0-14-30,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,rank,0-1-3,RANK_DETERIORATING->RANK_STALL->RANK_STALL
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,rank,0-3-7,RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,rank,0-7-14,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL
EXIT_001,2020-10-12,BTC_CONCENTRATION,REENTRY,2020-2021,5,rank,0-14-30,RANK_DETERIORATING->RANK_STALL->RANK_STALL
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,micro,0-1-3,CONCENTRATION_REBUILD->CONCENTRATION_REBUILD->BREADTH_FADE
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,micro,0-3-7,CONCENTRATION_REBUILD->BREADTH_FADE->BREADTH_EXPANSION
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,micro,0-7-14,CONCENTRATION_REBUILD->BREADTH_EXPANSION->BREADTH_FADE
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,micro,0-14-30,CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_RELEASE
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,breadth,0-1-3,BREADTH_STABLE->BREADTH_STABLE->BREADTH_FADING
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,breadth,0-7-14,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,breadth,0-14-30,BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,rank,0-1-3,RANK_STALL->RANK_STALL->RANK_DETERIORATING
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,rank,0-3-7,RANK_STALL->RANK_DETERIORATING->RANK_STALL
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,rank,0-7-14,RANK_STALL->RANK_STALL->RANK_STALL
EXIT_002,2020-10-15,BTC_CONCENTRATION,REENTRY,2020-2021,2,rank,0-14-30,RANK_STALL->RANK_STALL->RANK_STALL
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,micro,0-1-3,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,micro,0-3-7,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,micro,0-14-30,BREADTH_FADE->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,breadth,0-1-3,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,breadth,0-14-30,BREADTH_FADING->BREADTH_STABLE->BREADTH_STABLE
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,rank,0-1-3,RANK_STALL->RANK_STALL->RANK_DETERIORATING
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,rank,0-3-7,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,rank,0-7-14,RANK_STALL->RANK_DETERIORATING->RANK_STALL
EXIT_003,2020-11-17,BTC_CONCENTRATION,REENTRY,2020-2021,1,rank,0-14-30,RANK_STALL->RANK_STALL->RANK_STALL
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-1-3,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-3-7,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_RELEASE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-7-14,BREADTH_FADE->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,micro,0-14-30,BREADTH_FADE->CONCENTRATION_REBUILD->RANK_RECRUITMENT
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-7-14,BREADTH_FADING->BREADTH_STABLE->BREADTH_STABLE
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,breadth,0-14-30,BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-1-3,RANK_STALL->RANK_STALL->RANK_STALL
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-3-7,RANK_STALL->RANK_STALL->RANK_STALL
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-7-14,RANK_STALL->RANK_STALL->RANK_STALL
EXIT_004,2020-11-27,MIXED_NO_CLEAR_ROUTE,MIXED,2020-2021,1,rank,0-14-30,RANK_STALL->RANK_STALL->RANK_RECRUITING
EXIT_005,2020-12-18,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_005,2020-12-18,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_005,2020-12-18,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
EXIT_005,2020-12-18,BTC_CONCENTRATION,REENTRY,2020-2021,1,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION
