event_id,days_to_reentry,subperiod,btc_up,vol_high,breadth_at_release,disp_at_release,rank_recruit,rank_deteriorate,top3_chg7_tp1,top3_chg7_tp2,top3_chg7_tp3
EXIT_002,2,2020-2021,1,0,0.252,0.40260691239973395,0,0,0.00925,0.00756,0.00776
EXIT_003,1,2020-2021,1,0,0.344,0.3577698239968027,0,0,0.03219,0.03543,0.02492
EXIT_005,1,2020-2021,0,1,0.0,,0,0,0.01746,0.01688,0.01956
EXIT_010,1,2020-2021,0,0,0.0,,0,0,0.00156,0.00108,-0.00315
EXIT_019,1,2022,0,0,0.216,0.21589846067431234,0,0,0.00696,0.00692,0.00701
EXIT_022,1,2022,0,0,0.184,0.23395189532941316,0,1,0.00804,0.00835,0.0089
EXIT_024,2,2023,0,0,0.178,0.15630314823472352,0,0,-0.00753,-0.00647,-0.00572
EXIT_029,1,2023,0,0,0.202,0.1774866573695906,0,0,0.00526,0.002,-0.00198
EXIT_032,1,2023,0,0,0.0,,0,0,-0.00949,-0.00593,0.00384
EXIT_035,3,2023,0,0,0.382,0.6771880287022511,0,0,-0.00045,-0.00035,0.00154
EXIT_037,1,2023,0,0,0.0,,0,0,0.00165,0.00283,0.00435
EXIT_038,1,2023,0,0,0.0,,0,0,0.00725,0.00631,0.00711
EXIT_048,1,2024,0,0,0.0,,0,0,0.00684,0.00401,0.00378
EXIT_049,1,2024,1,0,0.79,0.41685399282884206,1,0,0.0028,0.00356,0.01116
EXIT_054,1,2024,0,1,0.342,0.3668369441336837,0,0,0.00356,0.00917,0.00625
EXIT_063,1,2024,1,0,0.498,0.2489386055216126,0,1,3e-05,0.00102,-8e-05
EXIT_064,3,2024,0,0,0.104,0.1637096133374714,0,0,0.00156,-0.00121,0.00229
EXIT_065,1,2024,0,0,0.138,0.1704414873891756,0,0,0.00229,-0.00157,-0.00594
EXIT_071,1,2024,1,0,0.172,0.4991479727812926,0,0,0.0062,0.00766,0.04217
EXIT_076,1,2024,1,0,0.594,0.4907501382831165,0,1,0.0258,-0.00809,0.01907
EXIT_086,3,2025-2026,0,1,0.078,0.288326219793628,0,0,0.03892,0.04628,0.04718
EXIT_091,3,2025-2026,0,0,0.192,0.21057448745327678,0,0,0.00289,-0.0277,0.00249
EXIT_092,1,2025-2026,1,0,0.236,0.22126015417027753,0,0,0.00249,0.00281,0.00135
EXIT_093,1,2025-2026,1,0,0.438,0.26789944716532876,0,0,-0.00104,0.02823,0.00094
EXIT_096,3,2025-2026,1,0,0.41,0.2934292685549551,0,0,0.00834,0.0025,0.03559
EXIT_097,1,2025-2026,1,0,0.378,0.23925393167043787,0,0,0.03559,0.0007,0.00233
EXIT_100,2,2025-2026,1,0,0.154,0.16049534425787962,0,0,-0.00513,-0.03584,0.00179
EXIT_119,1,2025-2026,0,0,0.294,1.8552925762940948,0,0,-0.00183,-0.00045,0.00064
