seq,n_raw,n_effective,expected,lift,lift_ci5,lift_ci95,n_subperiods,sp_2020-2021,sp_2022,sp_2023,sp_2024,sp_2025-2026,median_duration_d,p7_success,p30_success,p7_reentry,p30_reentry,p_raw,p_fdr,significant_fdr
BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,61,56,21.74,2.805,2.299,3.403,5,14,7,7,17,16,8.0,0.164,0.164,0.41,0.295,0.0,0.0,True
BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,11,11,10.27,1.071,0.584,1.656,5,2,3,4,1,1,7.0,0.091,0.182,0.636,0.455,0.818843,0.894662,False
BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,17,17,10.35,1.643,1.058,2.32,5,5,3,1,4,4,7.0,0.176,0.176,0.059,0.176,0.038613,0.078557,False
BREADTH_EXPANSION->BREADTH_FADE->RANK_RECRUITMENT,11,11,8.08,1.361,0.742,1.986,4,2,0,2,3,4,5.0,0.364,0.273,0.455,0.091,0.305004,0.449881,False
BREADTH_EXPANSION->CONCENTRATION_REBUILD->BREADTH_EXPANSION,26,24,10.54,2.467,1.708,3.321,5,5,5,5,1,10,5.0,0.154,0.346,0.346,0.192,2e-06,1.5e-05,True
BREADTH_EXPANSION->CONCENTRATION_REBUILD->BREADTH_FADE,23,23,10.27,2.24,1.651,3.02,5,1,4,6,2,10,7.0,0.174,0.087,0.348,0.478,7.1e-05,0.000322,True
BREADTH_EXPANSION->CONCENTRATION_REBUILD->CONCENTRATION_RELEASE,6,6,5.02,1.196,0.588,1.994,4,1,2,0,1,2,4.0,0.0,0.167,0.167,0.167,0.660236,0.747259,False
BREADTH_EXPANSION->CONCENTRATION_RELEASE->BREADTH_EXPANSION,19,18,10.71,1.775,1.121,2.428,5,4,1,1,4,9,5.0,0.368,0.263,0.211,0.263,0.011256,0.026564,True
BREADTH_EXPANSION->CONCENTRATION_RELEASE->BREADTH_FADE,22,22,10.43,2.11,1.438,2.877,4,6,3,4,0,9,6.0,0.227,0.182,0.136,0.136,0.000339,0.001177,True
BREADTH_EXPANSION->CONCENTRATION_RELEASE->RANK_RECRUITMENT,4,4,3.98,1.005,0.251,1.771,2,3,0,1,0,0,13.5,0.75,0.75,0.25,0.0,0.992037,0.99798,False
BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,28,28,8.3,3.374,2.169,4.338,5,10,4,4,6,4,6.0,0.393,0.357,0.393,0.214,0.0,0.0,True
BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_FADE,17,17,8.08,2.103,1.231,2.845,5,5,5,2,2,3,7.0,0.294,0.235,0.412,0.118,0.001712,0.00481,True
BREADTH_EXPANSION->RANK_RECRUITMENT->CONCENTRATION_RELEASE,3,3,3.95,0.76,0.0,1.519,3,1,1,1,0,0,7.0,1.0,0.333,0.0,0.333,0.632894,0.747259,False
BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,56,51,21.1,2.654,2.085,3.225,5,11,9,7,14,15,8.0,0.268,0.125,0.304,0.268,0.0,0.0,True
BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,17,17,10.23,1.662,1.076,2.254,5,2,3,5,1,6,6.0,0.059,0.353,0.529,0.235,0.034182,0.072026,False
BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,22,22,10.31,2.134,1.358,2.915,5,10,1,3,2,6,7.0,0.227,0.273,0.318,0.227,0.000271,0.001132,True
BREADTH_FADE->BREADTH_EXPANSION->RANK_RECRUITMENT,16,16,8.05,1.987,1.366,2.738,5,3,3,2,4,4,7.5,0.25,0.438,0.375,0.25,0.005101,0.01254,True
BREADTH_FADE->CONCENTRATION_REBUILD->BREADTH_EXPANSION,20,20,10.27,1.948,1.266,2.63,5,6,2,5,1,6,8.0,0.05,0.25,0.3,0.3,0.002378,0.0061,True
BREADTH_FADE->CONCENTRATION_REBUILD->BREADTH_FADE,23,22,10.0,2.3,1.6,3.101,5,7,1,2,2,11,7.0,0.174,0.217,0.174,0.304,3.9e-05,0.000192,True
BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_EXPANSION,17,17,10.43,1.63,0.959,2.302,5,1,4,1,3,8,7.0,0.118,0.176,0.176,0.235,0.041786,0.082179,False
BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_FADE,25,25,10.16,2.462,1.571,3.348,5,8,4,2,5,6,5.0,0.24,0.12,0.12,0.28,3e-06,2e-05,True
BREADTH_FADE->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD,3,3,4.92,0.609,0.0,1.219,3,1,1,0,0,1,8.0,0.0,0.0,0.0,1.0,0.386174,0.555714,False
BREADTH_FADE->CONCENTRATION_RELEASE->RANK_RECRUITMENT,3,3,3.88,0.774,0.0,1.548,1,3,0,0,0,0,9.0,1.0,0.667,0.0,0.0,0.656313,0.747259,False
BREADTH_FADE->RANK_RECRUITMENT->BREADTH_EXPANSION,10,10,8.08,1.237,0.619,1.856,5,5,1,1,2,1,7.5,0.6,0.5,0.2,0.2,0.500084,0.702499,False
BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,18,17,7.87,2.286,1.524,3.176,5,4,1,3,4,6,7.5,0.333,0.111,0.167,0.222,0.000307,0.001132,True
BREADTH_FADE->RANK_RECRUITMENT->CONCENTRATION_RELEASE,3,3,3.85,0.78,0.247,1.573,1,3,0,0,0,0,4.0,1.0,0.333,0.0,0.0,0.666161,0.747259,False
CONCENTRATION_REBUILD->BREADTH_EXPANSION->BREADTH_FADE,15,15,10.27,1.461,0.877,2.046,5,5,2,5,1,2,8.0,0.0,0.2,0.667,0.533,0.139558,0.25731,False
CONCENTRATION_REBUILD->BREADTH_EXPANSION->CONCENTRATION_REBUILD,26,26,4.98,5.225,3.416,6.631,5,5,6,2,1,12,5.0,0.038,0.192,0.231,0.231,0.0,0.0,True
CONCENTRATION_REBUILD->BREADTH_EXPANSION->CONCENTRATION_RELEASE,6,6,5.02,1.196,0.399,1.994,2,0,0,3,0,3,4.5,0.0,0.333,0.5,0.167,0.660236,0.747259,False
CONCENTRATION_REBUILD->BREADTH_EXPANSION->RANK_RECRUITMENT,4,4,3.92,1.021,0.51,2.042,2,2,2,0,0,0,9.5,0.25,0.75,0.5,0.25,0.967111,0.99798,False
CONCENTRATION_REBUILD->BREADTH_FADE->BREADTH_EXPANSION,18,18,10.3,1.747,1.165,2.426,5,2,4,2,3,7,6.5,0.278,0.222,0.333,0.278,0.016515,0.037476,True
CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_REBUILD,14,14,4.86,2.878,1.644,4.317,4,5,0,3,1,5,3.5,0.071,0.214,0.286,0.5,3.4e-05,0.000182,True
CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_RELEASE,10,10,4.9,2.039,0.816,3.059,4,2,0,1,2,5,5.5,0.0,0.1,0.1,0.6,0.021351,0.046656,True
CONCENTRATION_REBUILD->BREADTH_FADE->ETH_WEAKENING,3,3,0.57,5.221,0.0,10.442,2,0,0,1,0,2,6.0,0.333,0.0,0.333,0.667,0.001376,0.004059,True
CONCENTRATION_REBUILD->BREADTH_FADE->RANK_RECRUITMENT,3,3,3.83,0.783,0.0,1.566,2,0,0,0,1,2,6.0,0.0,0.0,0.0,0.333,0.671267,0.747259,False
CONCENTRATION_REBUILD->CONCENTRATION_RELEASE->BREADTH_EXPANSION,4,4,5.07,0.788,0.197,1.577,3,0,1,0,1,2,6.0,0.0,0.25,0.0,0.0,0.633631,0.747259,False
CONCENTRATION_REBUILD->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD,5,5,2.4,2.087,0.417,3.34,2,2,3,0,0,0,8.0,0.0,0.2,0.0,0.0,0.092386,0.175831,False
CONCENTRATION_RELEASE->BREADTH_EXPANSION->BREADTH_FADE,15,15,10.43,1.438,0.959,2.11,5,2,1,1,6,5,5.0,0.133,0.067,0.133,0.267,0.156812,0.280361,False
CONCENTRATION_RELEASE->BREADTH_EXPANSION->BTC_WEAKNESS,3,3,0.4,7.538,0.0,15.075,1,0,0,0,0,3,5.0,0.0,0.0,0.0,0.667,0.000407,0.001334,True
CONCENTRATION_RELEASE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,8,8,5.05,1.583,0.791,2.374,3,0,3,0,1,4,4.5,0.125,0.375,0.125,0.375,0.190187,0.320601,False
CONCENTRATION_RELEASE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,12,12,5.09,2.355,1.178,3.347,4,2,2,1,0,7,4.5,0.25,0.083,0.167,0.167,0.002217,0.005946,True
CONCENTRATION_RELEASE->BREADTH_EXPANSION->RANK_RECRUITMENT,4,4,3.98,1.005,0.251,2.01,4,1,1,0,1,1,7.0,0.5,0.75,0.0,0.0,0.992037,0.99798,False
CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_EXPANSION,11,11,10.47,1.051,0.573,1.624,5,3,2,2,1,3,5.0,0.091,0.091,0.182,0.273,0.869079,0.932285,False
CONCENTRATION_RELEASE->BREADTH_FADE->CONCENTRATION_REBUILD,13,13,4.94,2.631,1.619,4.047,3,4,1,0,0,8,9.0,0.154,0.231,0.231,0.308,0.000289,0.001132,True
CONCENTRATION_RELEASE->BREADTH_FADE->CONCENTRATION_RELEASE,21,21,4.98,4.216,2.811,5.622,5,6,6,2,1,6,4.0,0.381,0.143,0.048,0.286,0.0,0.0,True
CONCENTRATION_RELEASE->BREADTH_FADE->RANK_RECRUITMENT,6,6,3.89,1.542,0.514,2.827,2,5,0,1,0,0,6.5,0.833,0.167,0.167,0.167,0.284989,0.431137,False
CONCENTRATION_RELEASE->CONCENTRATION_REBUILD->BREADTH_EXPANSION,4,4,5.07,0.788,0.197,1.39,3,0,2,1,0,1,7.5,0.0,0.0,0.0,0.75,0.633631,0.747259,False
CONCENTRATION_RELEASE->RANK_RECRUITMENT->BREADTH_EXPANSION,4,4,3.99,1.001,0.25,2.003,1,4,0,0,0,0,4.5,0.75,0.5,0.0,0.0,0.99798,0.99798,False
CONCENTRATION_RELEASE->RANK_RECRUITMENT->BREADTH_FADE,5,5,3.89,1.285,0.514,2.069,3,2,0,2,1,0,9.0,0.8,0.6,0.2,0.4,0.573964,0.747259,False
ETH_IMPROVING->BREADTH_FADE->BREADTH_EXPANSION,3,3,0.57,5.282,0.0,10.564,1,3,0,0,0,0,3.0,0.667,0.0,0.0,0.0,0.001251,0.003885,True
RANK_RECRUITMENT->BREADTH_EXPANSION->BREADTH_FADE,12,12,8.08,1.484,0.866,2.233,5,4,1,2,3,2,5.5,0.167,0.417,0.417,0.167,0.168363,0.292159,False
RANK_RECRUITMENT->BREADTH_EXPANSION->CONCENTRATION_RELEASE,5,5,3.95,1.266,0.253,2.279,2,3,0,0,2,0,5.0,1.0,0.4,0.0,0.2,0.59698,0.747259,False
RANK_RECRUITMENT->BREADTH_EXPANSION->RANK_RECRUITMENT,24,23,3.09,7.779,5.51,10.372,5,10,4,4,3,3,5.0,0.458,0.25,0.375,0.125,0.0,0.0,True
RANK_RECRUITMENT->BREADTH_FADE->BREADTH_EXPANSION,20,20,8.11,2.465,1.602,3.451,5,4,4,5,2,5,6.0,0.55,0.2,0.15,0.3,3e-05,0.000177,True
RANK_RECRUITMENT->BREADTH_FADE->CONCENTRATION_REBUILD,6,6,3.83,1.566,0.522,2.611,3,1,0,0,2,3,7.5,0.167,0.167,0.167,0.0,0.267694,0.426863,False
RANK_RECRUITMENT->BREADTH_FADE->CONCENTRATION_RELEASE,3,3,3.86,0.777,0.246,1.554,2,2,0,0,1,0,13.0,0.0,0.0,0.0,0.667,0.661315,0.747259,False
RANK_RECRUITMENT->BREADTH_FADE->RANK_RECRUITMENT,12,12,3.02,3.978,2.321,5.968,5,5,2,2,2,1,4.5,0.667,0.417,0.167,0.0,0.0,0.0,True
RANK_RECRUITMENT->CONCENTRATION_RELEASE->BREADTH_FADE,6,6,3.89,1.542,0.514,2.57,2,5,1,0,0,0,4.0,1.0,0.333,0.0,0.0,0.284989,0.431137,False
RANK_RECRUITMENT->CONCENTRATION_RELEASE->RANK_RECRUITMENT,3,3,1.49,2.02,0.0,4.04,2,2,0,1,0,0,7.0,0.667,0.0,0.0,0.333,0.213834,0.35045,False
