horizon_d,cause,n_at_risk,n_resolved,hazard
1,REENTRY,125,20,0.16
1,MIXED,125,20,0.16
1,PROPAGATION,125,6,0.048
1,OTHER,125,0,0.0
2,REENTRY,79,3,0.038
2,MIXED,79,4,0.0506
2,PROPAGATION,79,2,0.0253
2,OTHER,79,1,0.0127
3,REENTRY,69,5,0.0725
3,MIXED,69,3,0.0435
3,PROPAGATION,69,2,0.029
3,OTHER,69,0,0.0
4,REENTRY,59,8,0.1356
4,MIXED,59,2,0.0339
4,PROPAGATION,59,3,0.0508
4,OTHER,59,0,0.0
5,REENTRY,46,3,0.0652
5,MIXED,46,1,0.0217
5,PROPAGATION,46,2,0.0435
5,OTHER,46,1,0.0217
6,REENTRY,39,3,0.0769
6,MIXED,39,2,0.0513
6,PROPAGATION,39,2,0.0513
6,OTHER,39,0,0.0
7,REENTRY,32,2,0.0625
7,MIXED,32,1,0.0312
7,PROPAGATION,32,3,0.0938
7,OTHER,32,0,0.0
8,REENTRY,26,1,0.0385
8,MIXED,26,2,0.0769
8,PROPAGATION,26,0,0.0
8,OTHER,26,0,0.0
9,REENTRY,23,1,0.0435
9,MIXED,23,2,0.087
9,PROPAGATION,23,2,0.087
9,OTHER,23,0,0.0
10,REENTRY,18,2,0.1111
10,MIXED,18,0,0.0
10,PROPAGATION,18,1,0.0556
10,OTHER,18,0,0.0
11,REENTRY,15,0,0.0
11,MIXED,15,1,0.0667
11,PROPAGATION,15,0,0.0
11,OTHER,15,0,0.0
12,REENTRY,14,0,0.0
12,MIXED,14,1,0.0714
12,PROPAGATION,14,2,0.1429
12,OTHER,14,0,0.0
13,REENTRY,11,2,0.1818
13,MIXED,11,1,0.0909
13,PROPAGATION,11,0,0.0
13,OTHER,11,0,0.0
14,REENTRY,8,0,0.0
14,MIXED,8,1,0.125
14,PROPAGATION,8,0,0.0
14,OTHER,8,0,0.0
15,REENTRY,7,0,0.0
15,MIXED,7,2,0.2857
15,PROPAGATION,7,0,0.0
15,OTHER,7,0,0.0
16,REENTRY,5,1,0.2
16,MIXED,5,0,0.0
16,PROPAGATION,5,1,0.2
16,OTHER,5,0,0.0
17,REENTRY,3,0,0.0
17,MIXED,3,0,0.0
17,PROPAGATION,3,0,0.0
17,OTHER,3,0,0.0
18,REENTRY,3,0,0.0
18,MIXED,3,0,0.0
18,PROPAGATION,3,0,0.0
18,OTHER,3,0,0.0
19,REENTRY,3,0,0.0
19,MIXED,3,0,0.0
19,PROPAGATION,3,0,0.0
19,OTHER,3,0,0.0
20,REENTRY,3,1,0.3333
20,MIXED,3,0,0.0
20,PROPAGATION,3,1,0.3333
20,OTHER,3,0,0.0
21,REENTRY,1,0,0.0
21,MIXED,1,0,0.0
21,PROPAGATION,1,0,0.0
21,OTHER,1,0,0.0
22,REENTRY,1,0,0.0
22,MIXED,1,1,1.0
22,PROPAGATION,1,0,0.0
22,OTHER,1,0,0.0
23,REENTRY,0,0,0.0
23,MIXED,0,0,0.0
23,PROPAGATION,0,0,0.0
23,OTHER,0,0,0.0
24,REENTRY,0,0,0.0
24,MIXED,0,0,0.0
24,PROPAGATION,0,0,0.0
24,OTHER,0,0,0.0
25,REENTRY,0,0,0.0
25,MIXED,0,0,0.0
25,PROPAGATION,0,0,0.0
25,OTHER,0,0,0.0
26,REENTRY,0,0,0.0
26,MIXED,0,0,0.0
26,PROPAGATION,0,0,0.0
26,OTHER,0,0,0.0
27,REENTRY,0,0,0.0
27,MIXED,0,0,0.0
27,PROPAGATION,0,0,0.0
27,OTHER,0,0,0.0
28,REENTRY,0,0,0.0
28,MIXED,0,0,0.0
28,PROPAGATION,0,0,0.0
28,OTHER,0,0,0.0
29,REENTRY,0,0,0.0
29,MIXED,0,0,0.0
29,PROPAGATION,0,0,0.0
29,OTHER,0,0,0.0
30,REENTRY,0,0,0.0
30,MIXED,0,0,0.0
30,PROPAGATION,0,0,0.0
30,OTHER,0,0,0.0
