event_id,days_to_destination,subperiod,breadth_at_release,time_to_peak_d,peak_breadth,decay_speed_5d,mean_mkt_ret_during_fade,rank_51_200_chg7_after_peak,conc_chg7_at_peak,fade_before_route_failure
EXIT_012,8,2022,0.132,13,0.35,0.334,0.00957,0.2566,0.00272,0
EXIT_030,1,2023,0.15,0,0.15,-0.074,-0.0049,-0.06625,0.00776,1
EXIT_034,5,2023,0.788,0,0.788,-0.142,0.00324,-0.19663,-0.01647,1
EXIT_047,1,2024,0.158,14,0.584,0.194,0.00761,0.16152,0.00684,0
EXIT_055,22,2024,0.232,0,0.232,-0.088,-0.01686,-0.12106,0.00567,1
EXIT_056,13,2024,0.118,2,0.174,-0.088,0.00208,-0.11668,-0.00552,1
EXIT_057,9,2024,0.146,0,0.146,-0.064,-0.00697,-0.14529,-0.0108,1
EXIT_058,3,2024,0.58,13,0.676,-0.198,0.00476,,-0.00601,0
EXIT_061,1,2024,0.35,0,0.35,-0.2,-0.00363,-0.25599,0.00936,1
EXIT_079,1,2024,0.406,0,0.406,-0.222,-0.00376,-0.19815,-0.00209,1
EXIT_080,4,2025-2026,0.154,14,0.4,-0.25,0.00288,-0.16465,-0.02837,0
EXIT_081,2,2025-2026,0.106,12,0.4,-0.25,0.00288,-0.16465,-0.02837,0
EXIT_083,9,2025-2026,0.286,1,0.302,-0.134,-0.00337,-0.16785,0.00565,1
EXIT_084,3,2025-2026,0.168,4,0.206,-0.128,-0.01259,-0.28172,-0.02539,0
EXIT_095,1,2025-2026,0.674,0,0.674,-0.36,-0.00417,-0.06299,-0.00039,1
EXIT_098,2,2025-2026,0.166,14,0.254,-0.078,0.00258,-0.00873,0.03026,0
EXIT_104,4,2025-2026,0.388,2,0.452,-0.216,-0.01468,-0.30774,0.00443,1
EXIT_105,1,2025-2026,0.416,0,0.416,-0.31,-0.00632,-0.25912,-0.03874,1
EXIT_106,1,2025-2026,0.124,13,0.33,-0.19,-0.01464,-0.16386,-0.01075,0
EXIT_109,14,2025-2026,0.766,1,0.79,-0.26,-0.00825,-0.16335,0.00443,1
EXIT_110,7,2025-2026,0.554,1,0.582,-0.316,-0.01476,-0.19669,0.00014,1
EXIT_111,3,2025-2026,0.486,1,0.508,-0.394,-0.02359,-0.28645,0.00026,1
EXIT_122,1,2025-2026,0.462,14,0.556,-0.082,-0.00183,-0.07757,0.00104,0
