condition,window_d,cause,n,p_cause_by_window
rank_recruit_hi,15-30,REENTRY,56,0.0357
rank_recruit_hi,15-30,MIXED,56,0.0
rank_recruit_hi,15-30,PROPAGATION,56,0.0357
rank_recruit_hi,15-30,OTHER,56,0.0
rank_recruit_lo,1-3,REENTRY,56,0.1071
rank_recruit_lo,1-3,MIXED,56,0.0536
rank_recruit_lo,1-3,PROPAGATION,56,0.0
rank_recruit_lo,1-3,OTHER,56,0.0
rank_recruit_lo,4-7,REENTRY,56,0.0357
rank_recruit_lo,4-7,MIXED,56,0.0179
rank_recruit_lo,4-7,PROPAGATION,56,0.0
rank_recruit_lo,4-7,OTHER,56,0.0179
rank_recruit_lo,8-14,REENTRY,56,0.0536
rank_recruit_lo,8-14,MIXED,56,0.0714
rank_recruit_lo,8-14,PROPAGATION,56,0.0179
rank_recruit_lo,8-14,OTHER,56,0.0
rank_recruit_lo,15-30,REENTRY,56,0.0
rank_recruit_lo,15-30,MIXED,56,0.0179
rank_recruit_lo,15-30,PROPAGATION,56,0.0
rank_recruit_lo,15-30,OTHER,56,0.0
