question,coordinate,statistic,value,n,p_fdr
Q1_first_change,acceleration,earliest_sig_horizon,5.0,123,0.01122
Q1_first_change,btc_ret30,earliest_sig_horizon,0.0,110,0.0
Q1_first_change,dispersion,earliest_sig_horizon,0.0,110,0.006627
Q1_first_change,level,earliest_sig_horizon,0.0,123,0.0
Q1_first_change,pos_ret_share,earliest_sig_horizon,0.0,123,0.0426
Q1_first_change,velocity,earliest_sig_horizon,0.0,123,0.00039
Q2_best_discriminator,level,auc_tp0,0.8748,123,
Q2_best_discriminator,level,auc_tp1,0.8729,123,
Q2_best_discriminator,velocity,auc_tp0,0.745,123,
Q2_best_discriminator,velocity,auc_tp1,0.6831,123,
Q2_best_discriminator,acceleration,auc_tp0,0.6074,123,
Q2_best_discriminator,acceleration,auc_tp1,0.5961,123,
Q2_best_discriminator,depth_rel,auc_tp0,0.5139,110,
Q2_best_discriminator,depth_rel,auc_tp1,0.4222,119,
Q2_best_discriminator,depth_chg,auc_tp0,0.4922,110,
Q2_best_discriminator,depth_chg,auc_tp1,0.4105,116,
Q2_best_discriminator,dispersion,auc_tp0,0.704,110,
Q2_best_discriminator,dispersion,auc_tp1,0.672,119,
Q2_best_discriminator,leadership_width,auc_tp0,0.515,123,
Q2_best_discriminator,leadership_width,auc_tp1,0.478,123,
Q2_best_discriminator,pos_ret_share,auc_tp0,0.6497,123,
Q2_best_discriminator,pos_ret_share,auc_tp1,0.5737,123,
Q2_best_discriminator,pos_vel7_share,auc_tp0,0.5089,123,
Q2_best_discriminator,pos_vel7_share,auc_tp1,0.4549,123,
Q2_best_discriminator,btc_ret30,auc_tp0,0.8551,110,
Q2_best_discriminator,btc_ret30,auc_tp1,0.8218,119,
Q3_sufficiency,breadth_expanding,p_success_tp0,0.6522,23,7.8e-05
Q3_sufficiency,expand_and_rank_recruit,p_success_tp0,0.5714,7,
Q3_sufficiency,breadth_expanding,p_success_tp1,0.5484,31,0.000641
Q3_sufficiency,expand_and_rank_recruit,p_success_tp1,0.6,5,
Q4_stall_before_failure,breadth_vel,median_tp0,-0.024,96,
Q4_stall_before_failure,breadth_vel,median_success_tp0,0.046,27,
Q4_stall_before_failure,breadth_vel,median_tp1,-0.019,96,
Q4_stall_before_failure,breadth_vel,median_success_tp1,0.044,27,
Q4_stall_before_failure,breadth_vel,median_tp2,-0.04,96,
Q4_stall_before_failure,breadth_vel,median_success_tp2,0.022,27,
Q4_stall_before_failure,breadth_vel,median_tp3,-0.044,96,
Q4_stall_before_failure,breadth_vel,median_success_tp3,0.014,27,
Q4_stall_before_failure,breadth_vel,median_tp5,0.0,96,
Q4_stall_before_failure,breadth_vel,median_success_tp5,-0.006,27,
Q4_stall_before_failure,breadth_vel,median_tp7,0.008,96,
Q4_stall_before_failure,breadth_vel,median_success_tp7,0.008,27,
Q4_stall_before_failure,breadth_accel,median_tp0,-0.043,96,
Q4_stall_before_failure,breadth_accel,median_success_tp0,0.044,27,
Q4_stall_before_failure,breadth_accel,median_tp1,-0.016,96,
Q4_stall_before_failure,breadth_accel,median_success_tp1,0.054,27,
Q4_stall_before_failure,breadth_accel,median_tp2,-0.01,96,
Q4_stall_before_failure,breadth_accel,median_success_tp2,-0.018,27,
Q4_stall_before_failure,breadth_accel,median_tp3,-0.023,96,
Q4_stall_before_failure,breadth_accel,median_success_tp3,-0.03,27,
Q4_stall_before_failure,breadth_accel,median_tp5,0.065,96,
Q4_stall_before_failure,breadth_accel,median_success_tp5,-0.062,27,
