event_id,is_success,first_destination,axis_tp0,breadth_tp0,vel_tp0,rank_axis_tp0,axis_tp1,breadth_tp1,vel_tp1,rank_axis_tp1,axis_tp2,breadth_tp2,vel_tp2,rank_axis_tp2,axis_tp3,breadth_tp3,vel_tp3,rank_axis_tp3,axis_tp5,breadth_tp5,vel_tp5,rank_axis_tp5,axis_tp7,breadth_tp7,vel_tp7,rank_axis_tp7,axis_tp10,breadth_tp10,vel_tp10,rank_axis_tp10,axis_tp14,breadth_tp14,vel_tp14,rank_axis_tp14,axis_tp21,breadth_tp21,vel_tp21,rank_axis_tp21,axis_tp30,breadth_tp30,vel_tp30,rank_axis_tp30
EXIT_011,0,MIXED_NO_CLEAR_ROUTE,BREADTH_FADING,0.69,-0.048,RANK_DETERIORATING,BREADTH_STABLE,0.664,0.01,RANK_RECRUITING,BREADTH_STABLE,0.64,0.008,RANK_STALL,BREADTH_FADING,0.648,-0.026,RANK_DETERIORATING,BREADTH_STABLE,0.69,0.0,RANK_DETERIORATING,BREADTH_EXPANDING,0.68,0.04,RANK_STALL,BREADTH_FADING,0.636,-0.054,RANK_STALL,BREADTH_FADING,0.396,-0.218,RANK_STALL,BREADTH_FADING,0.49,-0.022,RANK_RECRUITING,BREADTH_FADING,0.226,-0.244,RANK_DETERIORATING
EXIT_012,0,MIXED_NO_CLEAR_ROUTE,BREADTH_FADING,0.132,-0.334,RANK_STALL,BREADTH_FADING,0.102,-0.292,RANK_STALL,BREADTH_FADING,0.11,-0.194,RANK_STALL,BREADTH_FADING,0.118,-0.14,RANK_STALL,BREADTH_FADING,0.076,-0.056,RANK_STALL,BREADTH_STABLE,0.118,0.008,RANK_STALL,BREADTH_EXPANDING,0.17,0.094,RANK_STALL,BREADTH_EXPANDING,0.324,0.192,RANK_STALL,BREADTH_EXPANDING,0.758,0.23,RANK_STALL,BREADTH_EXPANDING,0.812,0.132,RANK_STALL
EXIT_013,1,BROAD_RISK_EXPANSION,BREADTH_EXPANDING,0.362,0.192,RANK_STALL,BREADTH_EXPANDING,0.528,0.416,RANK_DETERIORATING,BREADTH_EXPANDING,0.7,0.552,RANK_DETERIORATING,BREADTH_EXPANDING,0.684,0.334,RANK_DETERIORATING,BREADTH_EXPANDING,0.756,0.394,RANK_RECRUITING,BREADTH_EXPANDING,0.756,0.056,RANK_STALL,BREADTH_FADING,0.68,-0.076,RANK_STALL,BREADTH_EXPANDING,0.806,0.066,RANK_STALL,BREADTH_FADING,0.592,-0.214,RANK_RECRUITING,BREADTH_FADING,0.532,-0.112,RANK_DETERIORATING
EXIT_014,1,BROAD_RISK_EXPANSION,BREADTH_EXPANDING,0.7,0.552,RANK_DETERIORATING,BREADTH_EXPANDING,0.684,0.334,RANK_DETERIORATING,BREADTH_EXPANDING,0.71,0.386,RANK_DETERIORATING,BREADTH_EXPANDING,0.756,0.394,RANK_RECRUITING,BREADTH_EXPANDING,0.756,0.056,RANK_STALL,BREADTH_EXPANDING,0.74,0.03,RANK_RECRUITING,BREADTH_STABLE,0.758,0.002,RANK_RECRUITING,BREADTH_EXPANDING,0.806,0.06,RANK_STALL,BREADTH_EXPANDING,0.74,0.056,RANK_STALL,BREADTH_FADING,0.324,-0.15,RANK_STALL
EXIT_015,1,BROAD_RISK_EXPANSION,BREADTH_EXPANDING,0.756,0.394,RANK_RECRUITING,BREADTH_EXPANDING,0.758,0.23,RANK_STALL,BREADTH_EXPANDING,0.756,0.056,RANK_STALL,BREADTH_EXPANDING,0.82,0.136,RANK_RECRUITING,BREADTH_FADING,0.68,-0.076,RANK_STALL,BREADTH_STABLE,0.758,0.002,RANK_RECRUITING,BREADTH_EXPANDING,0.812,0.132,RANK_STALL,BREADTH_FADING,0.772,-0.034,RANK_RECRUITING,BREADTH_EXPANDING,0.626,0.034,RANK_STALL,BREADTH_FADING,0.204,-0.328,RANK_STALL
EXIT_016,1,BROAD_RISK_EXPANSION,BREADTH_EXPANDING,0.82,0.136,RANK_RECRUITING,BREADTH_EXPANDING,0.74,0.03,RANK_RECRUITING,BREADTH_FADING,0.68,-0.076,RANK_STALL,BREADTH_STABLE,0.746,-0.012,RANK_RECRUITING,BREADTH_STABLE,0.826,0.006,RANK_RECRUITING,BREADTH_EXPANDING,0.812,0.132,RANK_STALL,BREADTH_FADING,0.684,-0.142,RANK_RECRUITING,BREADTH_FADING,0.73,-0.08,RANK_RECRUITING,BREADTH_FADING,0.606,-0.118,RANK_DETERIORATING,BREADTH_FADING,0.098,-0.164,RANK_STALL
EXIT_018,0,MIXED_NO_CLEAR_ROUTE,BREADTH_FADING,0.154,-0.098,RANK_STALL,BREADTH_FADING,0.122,-0.13,RANK_STALL,BREADTH_FADING,0.102,-0.258,RANK_STALL,BREADTH_FADING,0.124,-0.138,RANK_STALL,BREADTH_STABLE,0.166,0.012,RANK_DETERIORATING,BREADTH_EXPANDING,0.232,0.13,RANK_STALL,BREADTH_EXPANDING,0.218,0.052,RANK_STALL,BREADTH_FADING,0.276,-0.034,RANK_STALL,BREADTH_EXPANDING,0.458,0.084,RANK_STALL,BREADTH_FADING,0.182,-0.184,RANK_STALL
EXIT_019,0,BTC_CONCENTRATION,BREADTH_STABLE,0.216,0.0,RANK_STALL,BREADTH_FADING,0.276,-0.034,RANK_STALL,BREADTH_EXPANDING,0.266,0.048,RANK_STALL,BREADTH_EXPANDING,0.374,0.118,RANK_DETERIORATING,BREADTH_EXPANDING,0.356,0.14,RANK_DETERIORATING,BREADTH_EXPANDING,0.47,0.204,RANK_DETERIORATING,BREADTH_EXPANDING,0.52,0.164,RANK_DETERIORATING,BREADTH_EXPANDING,0.578,0.104,RANK_DETERIORATING,BREADTH_FADING,0.142,-0.35,RANK_DETERIORATING,BREADTH_EXPANDING,0.136,0.02,RANK_STALL
EXIT_020,0,MIXED_NO_CLEAR_ROUTE,BREADTH_EXPANDING,0.47,0.204,RANK_DETERIORATING,BREADTH_EXPANDING,0.458,0.084,RANK_STALL,BREADTH_EXPANDING,0.474,0.044,RANK_DETERIORATING,BREADTH_EXPANDING,0.52,0.164,RANK_DETERIORATING,BREADTH_FADING,0.366,-0.104,RANK_STALL,BREADTH_EXPANDING,0.578,0.104,RANK_DETERIORATING,BREADTH_FADING,0.182,-0.184,RANK_STALL,BREADTH_FADING,0.142,-0.35,RANK_DETERIORATING,BREADTH_EXPANDING,0.168,0.038,RANK_STALL,BREADTH_FADING,0.1,-0.048,RANK_STALL
EXIT_021,0,BTC_CONCENTRATION,BREADTH_FADING,0.256,-0.148,RANK_STALL,BREADTH_FADING,0.298,-0.21,RANK_STALL,BREADTH_FADING,0.266,-0.348,RANK_STALL,BREADTH_FADING,0.184,-0.36,RANK_DETERIORATING,BREADTH_EXPANDING,0.368,0.112,RANK_DETERIORATING,BREADTH_FADING,0.23,-0.036,RANK_STALL,BREADTH_FADING,0.246,-0.122,RANK_STALL,BREADTH_FADING,0.116,-0.138,RANK_DETERIORATING,BREADTH_EXPANDING,0.196,0.078,RANK_DETERIORATING,BREADTH_EXPANDING,0.862,0.568,RANK_DETERIORATING
EXIT_022,0,BTC_CONCENTRATION,BREADTH_FADING,0.184,-0.36,RANK_DETERIORATING,BREADTH_FADING,0.334,-0.096,RANK_DETERIORATING,BREADTH_EXPANDING,0.368,0.112,RANK_DETERIORATING,BREADTH_STABLE,0.29,-0.008,RANK_DETERIORATING,BREADTH_EXPANDING,0.232,0.048,RANK_STALL,BREADTH_FADING,0.246,-0.122,RANK_STALL,BREADTH_FADING,0.176,-0.056,RANK_DETERIORATING,BREADTH_FADING,0.134,-0.06,RANK_DETERIORATING,BREADTH_EXPANDING,0.23,0.064,RANK_DETERIORATING,BREADTH_EXPANDING,0.838,0.274,RANK_STALL
EXIT_023,0,MIXED_NO_CLEAR_ROUTE,BREADTH_FADING,0.116,-0.138,RANK_DETERIORATING,BREADTH_FADING,0.126,-0.12,RANK_STALL,BREADTH_FADING,0.118,-0.09,RANK_STALL,BREADTH_FADING,0.134,-0.06,RANK_DETERIORATING,BREADTH_EXPANDING,0.166,0.05,RANK_DETERIORATING,BREADTH_EXPANDING,0.196,0.078,RANK_DETERIORATING,BREADTH_EXPANDING,0.23,0.064,RANK_DETERIORATING,BREADTH_EXPANDING,0.564,0.356,RANK_DETERIORATING,BREADTH_STABLE,0.866,0.004,RANK_DETERIORATING,BREADTH_EXPANDING,0.904,0.048,RANK_RECRUITING
EXIT_024,0,BTC_CONCENTRATION,BREADTH_EXPANDING,0.178,0.044,RANK_STALL,BREADTH_EXPANDING,0.208,0.07,RANK_STALL,BREADTH_EXPANDING,0.23,0.064,RANK_DETERIORATING,BREADTH_EXPANDING,0.294,0.146,RANK_DETERIORATING,BREADTH_EXPANDING,0.382,0.204,RANK_STALL,BREADTH_EXPANDING,0.786,0.556,RANK_DETERIORATING,BREADTH_EXPANDING,0.862,0.48,RANK_DETERIORATING,BREADTH_STABLE,0.862,0.01,RANK_STALL,BREADTH_STABLE,0.894,0.012,RANK_RECRUITING,BREADTH_FADING,0.868,-0.04,RANK_RECRUITING
EXIT_025,1,LARGE_ALT_ROTATION,BREADTH_EXPANDING,0.862,0.568,RANK_DETERIORATING,BREADTH_EXPANDING,0.852,0.484,RANK_DETERIORATING,BREADTH_EXPANDING,0.862,0.48,RANK_DETERIORATING,BREADTH_EXPANDING,0.838,0.274,RANK_STALL,BREADTH_STABLE,0.866,0.004,RANK_DETERIORATING,BREADTH_STABLE,0.87,0.008,RANK_DETERIORATING,BREADTH_STABLE,0.876,0.01,RANK_STALL,BREADTH_EXPANDING,0.904,0.048,RANK_RECRUITING,BREADTH_STABLE,0.89,-0.01,RANK_RECRUITING,BREADTH_FADING,0.736,-0.104,RANK_RECRUITING
EXIT_026,1,LARGE_ALT_ROTATION,BREADTH_STABLE,0.87,0.008,RANK_DETERIORATING,BREADTH_EXPANDING,0.882,0.044,RANK_DETERIORATING,BREADTH_EXPANDING,0.856,0.032,RANK_STALL,BREADTH_STABLE,0.876,0.01,RANK_STALL,BREADTH_STABLE,0.886,0.016,RANK_STALL,BREADTH_EXPANDING,0.904,0.048,RANK_RECRUITING,BREADTH_EXPANDING,0.908,0.022,RANK_RECRUITING,BREADTH_STABLE,0.89,-0.01,RANK_RECRUITING,BREADTH_FADING,0.8,-0.06,RANK_RECRUITING,BREADTH_STABLE,0.756,-0.004,RANK_RECRUITING
EXIT_027,0,BTC_CONCENTRATION,BREADTH_EXPANDING,0.588,0.056,RANK_DETERIORATING,BREADTH_FADING,0.426,-0.296,RANK_STALL,BREADTH_FADING,0.312,-0.37,RANK_STALL,BREADTH_FADING,0.332,-0.216,RANK_STALL,BREADTH_FADING,0.366,-0.222,RANK_STALL,BREADTH_EXPANDING,0.368,0.056,RANK_STALL,BREADTH_FADING,0.326,-0.04,RANK_STALL,BREADTH_FADING,0.26,-0.228,RANK_STALL,BREADTH_FADING,0.134,-0.1,RANK_DETERIORATING,BREADTH_STABLE,0.08,0.004,RANK_STALL
EXIT_028,0,BTC_CONCENTRATION,BREADTH_FADING,0.332,-0.216,RANK_STALL,BREADTH_FADING,0.288,-0.318,RANK_STALL,BREADTH_FADING,0.366,-0.222,RANK_STALL,BREADTH_FADING,0.366,-0.06,RANK_STALL,BREADTH_EXPANDING,0.514,0.182,RANK_STALL,BREADTH_FADING,0.326,-0.04,RANK_STALL,BREADTH_FADING,0.202,-0.312,RANK_STALL,BREADTH_FADING,0.22,-0.06,RANK_STALL,BREADTH_FADING,0.1,-0.096,RANK_DETERIORATING,BREADTH_EXPANDING,0.106,0.036,RANK_STALL
