axis,lattice,seq,n_events,n_seq_events,condition,p_raw,p_fdr,significant_fdr
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,BTC_UP,0.004953,0.036307,True
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,VOL_HIGH,0.002293,0.02112,True
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,BREADTH_EXPANDING,0.000189,0.005512,True
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,ETH_STRONG,0.001014,0.016526,True
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,RISK_ON,0.084792,0.200522,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,CONC_RISING,0.576789,0.747689,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,18,SUBPERIOD,0.207174,0.350294,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,BTC_UP,0.078382,0.191844,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,VOL_HIGH,0.014061,0.064755,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,BREADTH_EXPANDING,0.002139,0.020234,True
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,ETH_STRONG,0.062367,0.171878,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,RISK_ON,0.343686,0.511873,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,CONC_RISING,0.0899,0.211111,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,125,10,SUBPERIOD,0.731137,0.861609,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,BTC_UP,0.865913,0.96519,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,VOL_HIGH,1.4e-05,0.00476,True
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,BREADTH_EXPANDING,0.064236,0.174284,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,ETH_STRONG,0.024561,0.094538,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,RISK_ON,0.332209,0.496894,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,CONC_RISING,0.022751,0.089871,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,23,SUBPERIOD,0.441694,0.620855,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,BTC_UP,0.031694,0.107875,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,VOL_HIGH,0.016211,0.071821,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,BREADTH_EXPANDING,0.000723,0.012652,True
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,ETH_STRONG,0.022853,0.089871,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,RISK_ON,0.166355,0.306443,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,CONC_RISING,0.719978,0.854211,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,123,10,SUBPERIOD,0.607077,0.767065,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,BTC_UP,0.011827,0.058095,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,VOL_HIGH,0.005083,0.036307,True
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,BREADTH_EXPANDING,6.8e-05,0.00476,True
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,ETH_STRONG,0.001504,0.019035,True
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,RISK_ON,0.091201,0.211393,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,CONC_RISING,0.147382,0.280346,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,123,12,SUBPERIOD,0.245924,0.400341,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,BTC_UP,0.934595,0.998758,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,VOL_HIGH,0.002356,0.021144,True
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,BREADTH_EXPANDING,0.125606,0.249663,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,ETH_STRONG,0.02458,0.094538,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,RISK_ON,0.596781,0.763316,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,CONC_RISING,0.008662,0.046642,True
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,123,11,SUBPERIOD,0.254447,0.410956,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,BTC_UP,0.031139,0.107875,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,VOL_HIGH,0.001686,0.019035,True
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,BREADTH_EXPANDING,0.002511,0.021435,True
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,ETH_STRONG,0.006266,0.039875,True
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,RISK_ON,0.19959,0.340763,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,CONC_RISING,0.532297,0.711084,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,12,SUBPERIOD,0.319246,0.479554,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,BTC_UP,0.888939,0.974248,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,VOL_HIGH,0.005047,0.036307,True
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,BREADTH_EXPANDING,0.063505,0.173646,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,ETH_STRONG,0.308711,0.469778,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,RISK_ON,0.262921,0.416391,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,CONC_RISING,0.052364,0.152728,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,125,11,SUBPERIOD,0.286272,0.442016,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,BTC_UP,1.0,1.0,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,VOL_HIGH,0.008321,0.045505,True
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,BREADTH_EXPANDING,0.100556,0.216045,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,ETH_STRONG,0.036587,0.120624,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,RISK_ON,0.943342,1.0,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,CONC_RISING,0.081321,0.193621,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,125,13,SUBPERIOD,0.706962,0.847386,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,BTC_UP,0.661458,0.812317,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,VOL_HIGH,0.000154,0.00539,True
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,BREADTH_EXPANDING,0.030283,0.107061,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,ETH_STRONG,0.019143,0.078824,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,RISK_ON,1.0,1.0,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,CONC_RISING,0.097588,0.214816,False
