axis,lattice,seq,n_events,expected,lift,lift_ci5,lift_ci95,n_subperiods,sp_2020-2021,sp_2022,sp_2023,sp_2024,sp_2025-2026,p_success,p_reentry,p_mixed,chi2,p_raw,p_fdr,significant_fdr
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,18,6.34,2.841,1.894,3.788,5,3,4,3,4,4,0.444,0.278,0.222,21.472,4e-06,0.00037,True
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,10,9.07,1.102,0.551,1.653,4,0,1,1,3,5,0.2,0.3,0.4,0.095,0.758004,0.976776,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,4,2.59,1.543,0.386,2.72,4,1,1,0,1,1,1.0,0.0,0.0,0.765,0.381818,0.930126,False
breadth,0-1-3,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,8,9.8,0.817,0.408,1.225,4,1,0,1,2,4,0.25,0.625,0.125,0.33,0.565738,0.946276,False
breadth,0-1-3,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,9,7.74,1.162,0.646,1.814,4,1,0,3,4,1,0.222,0.667,0.111,0.204,0.651742,0.946276,False
breadth,0-1-3,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,4,11.09,0.361,0.09,0.631,3,1,0,0,2,1,0.0,0.25,0.75,4.531,0.033286,0.242131,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,7,8.36,0.837,0.359,1.315,3,0,0,2,4,1,0.143,0.714,0.143,0.222,0.637295,0.946276,False
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,23,11.98,1.921,1.332,2.505,5,1,4,5,7,6,0.043,0.391,0.565,10.15,0.001443,0.026696,True
breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,4,3.42,1.169,0.292,2.046,3,0,1,1,0,2,0.0,0.75,0.25,0.098,0.754445,0.976776,False
breadth,0-1-3,BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING,5,4.66,1.074,0.429,1.729,3,1,0,0,2,2,0.0,0.2,0.8,0.025,0.873699,0.984299,False
