seq_id,sample,axis,lattice,seq,n_effective,n_subperiods,lift,p_fdr,p_success,p_reentry,trivial_persistence,classification
E:breadth:0-1-3:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,18,5,2.841,0.00037,0.444,0.278,1,DESCRIPTIVE_SEQUENCE
E:breadth:0-1-3:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,10,4,1.102,0.976776,0.2,0.3,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-1-3:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,EVENT,breadth,0-1-3,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,4,4,1.543,0.930126,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,8,4,0.817,0.946276,0.25,0.625,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-1-3,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,9,4,1.162,0.946276,0.222,0.667,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,4,3,0.361,0.242131,0.0,0.25,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,7,3,0.837,0.946276,0.143,0.714,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,23,5,1.921,0.026696,0.043,0.391,1,DESCRIPTIVE_SEQUENCE
E:breadth:0-1-3:BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-1-3,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,4,3,1.169,0.976776,0.0,0.75,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING,5,3,1.074,0.984299,0.0,0.2,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-1-3,BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,4,3,1.052,0.984299,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,6,2,1.102,0.976776,0.167,0.167,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_STABLE->BREADTH_STABLE->BREADTH_FADING,EVENT,breadth,0-1-3,BREADTH_STABLE->BREADTH_STABLE->BREADTH_FADING,4,3,1.89,0.707622,0.0,0.25,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-1-3:BREADTH_STABLE->BREADTH_STABLE->BREADTH_STABLE,EVENT,breadth,0-1-3,BREADTH_STABLE->BREADTH_STABLE->BREADTH_STABLE,4,3,6.614,0.000694,0.75,0.25,1,LOW_SAMPLE_CURIOSITY
