event_id,first_destination,days_to_destination_d,termination_signature,first_decline_days_before_term,n_confirming_coordinates,decline_order
EXIT_006,ETH_BROADENING,2,ETH_FIRST,13.0,6,ETH > BTC > BREADTH7 > DISPERSION > BREADTH > CONC
EXIT_009,BROAD_RISK_EXPANSION,4,DISP_FIRST,13.0,7,DISPERSION > CONC > BTC > BREADTH > BREADTH7 > RANK > ETH
EXIT_013,BROAD_RISK_EXPANSION,9,BREADTH_FIRST,13.0,6,BREADTH > DISPERSION > RANK > VOL > CONC > ETH
EXIT_014,BROAD_RISK_EXPANSION,7,BREADTH_FIRST,13.0,6,BREADTH > DISPERSION > RANK > VOL > CONC > ETH
EXIT_015,BROAD_RISK_EXPANSION,4,BREADTH_FIRST,13.0,6,BREADTH > DISPERSION > RANK > VOL > CONC > ETH
EXIT_016,BROAD_RISK_EXPANSION,1,BREADTH_FIRST,13.0,6,BREADTH > DISPERSION > RANK > VOL > CONC > ETH
EXIT_025,LARGE_ALT_ROTATION,7,DISP_FIRST,13.0,4,DISPERSION > ETH > VOL > BREADTH7
EXIT_026,LARGE_ALT_ROTATION,1,ETH_FIRST,13.0,3,ETH > VOL > BREADTH7
EXIT_033,LARGE_ALT_ROTATION,3,BREADTH_FIRST,13.0,6,BREADTH > CONC > RANK > BTC > ETH > VOL
EXIT_039,BROAD_RISK_EXPANSION,12,ETH_FIRST,13.0,6,ETH > CONC > BTC > BREADTH7 > BREADTH > RANK
EXIT_040,BROAD_RISK_EXPANSION,10,ETH_FIRST,13.0,6,ETH > CONC > BTC > BREADTH7 > BREADTH > RANK
EXIT_041,BROAD_RISK_EXPANSION,1,CONC_REBUILD_FIRST,13.0,6,CONC > BTC > BREADTH7 > BREADTH > ETH > RANK
EXIT_042,BROAD_RISK_EXPANSION,16,BREADTH_FIRST,13.0,6,BREADTH7 > CONC > BREADTH > ETH > RANK > VOL
EXIT_043,BROAD_RISK_EXPANSION,12,BREADTH_FIRST,13.0,6,BREADTH7 > CONC > BREADTH > ETH > RANK > VOL
EXIT_044,BROAD_RISK_EXPANSION,9,BREADTH_FIRST,13.0,6,BREADTH7 > CONC > BREADTH > ETH > RANK > VOL
EXIT_045,BROAD_RISK_EXPANSION,5,BREADTH_FIRST,13.0,6,BREADTH7 > CONC > BREADTH > ETH > RANK > VOL
EXIT_050,MID_CAP_ROTATION,7,BREADTH_FIRST,13.0,6,BREADTH7 > BTC > RANK > ETH > BREADTH > CONC
EXIT_051,MID_CAP_ROTATION,2,BREADTH_FIRST,13.0,6,BREADTH7 > BTC > RANK > ETH > BREADTH > CONC
EXIT_052,MID_CAP_ROTATION,1,ETH_FIRST,13.0,3,ETH > BREADTH > CONC
EXIT_067,BROAD_RISK_EXPANSION,20,BREADTH_FIRST,12.0,6,BREADTH > ETH > BREADTH7 > BTC > RANK > CONC
EXIT_068,BROAD_RISK_EXPANSION,6,BREADTH_FIRST,12.0,6,BREADTH > ETH > BREADTH7 > BTC > RANK > CONC
EXIT_077,BROAD_RISK_EXPANSION,6,BREADTH_FIRST,13.0,7,BREADTH > BREADTH7 > DISPERSION > ETH > BTC > RANK > CONC
EXIT_078,BROAD_RISK_EXPANSION,3,BREADTH_FIRST,13.0,7,BREADTH > BREADTH7 > DISPERSION > ETH > BTC > RANK > CONC
EXIT_094,BROAD_RISK_EXPANSION,1,CONC_REBUILD_FIRST,13.0,5,CONC > BTC > BREADTH7 > ETH > VOL
EXIT_101,BROAD_RISK_EXPANSION,5,BREADTH_FIRST,13.0,6,BREADTH7 > ETH > BTC > BREADTH > RANK > VOL
EXIT_120,MID_CAP_ROTATION,1,CONC_REBUILD_FIRST,12.0,4,CONC > BTC > BREADTH7 > VOL
EXIT_121,LARGE_ALT_ROTATION,4,BREADTH_FIRST,13.0,6,BREADTH > BREADTH7 > BTC > RANK > ETH > DISPERSION
