dimension,value,count
origin_currency,EUR,900
origin_currency,GBP,858
origin_currency,USD,842
origin_currency,CHF,874
origin_currency,JPY,883
direction,ACCUMULATION,2138
direction,LIQUIDATION,2219
severity,LOW,5853
severity,MEDIUM,2120
severity,HIGH,0
severity,EXTREME,103
event_family,BROAD_CURRENCY_EVENT,4357
event_family,RESIDUAL_SHOCK,2872
event_family,NETWORK_DISLOCATION,847
year,2023,1345
year,2024,2776
year,2025,2905
year,2026,1050
