,event_id,origin,orig_date,gbp_bridge_candidate
0,EUR_ORIGIN_202307101100,EUR,2023-07-10,True
1,EUR_ORIGIN_202307111000,EUR,2023-07-11,True
2,EUR_ORIGIN_202307111400,EUR,2023-07-11,True
3,EUR_ORIGIN_202307121500,EUR,2023-07-12,True
4,EUR_ORIGIN_202307131600,EUR,2023-07-13,True
5,EUR_ORIGIN_202307140500,EUR,2023-07-14,True
6,EUR_ORIGIN_202307141100,EUR,2023-07-14,True
7,EUR_ORIGIN_202307170000,EUR,2023-07-17,True
8,EUR_ORIGIN_202307171100,EUR,2023-07-17,True
9,EUR_ORIGIN_202307181100,EUR,2023-07-18,True
10,EUR_ORIGIN_202307190600,EUR,2023-07-19,True
11,EUR_ORIGIN_202307191300,EUR,2023-07-19,True
12,EUR_ORIGIN_202307201500,EUR,2023-07-20,True
13,EUR_ORIGIN_202307210600,EUR,2023-07-21,True
14,EUR_ORIGIN_202307240600,EUR,2023-07-24,True
15,EUR_ORIGIN_202307241000,EUR,2023-07-24,True
16,EUR_ORIGIN_202307262100,EUR,2023-07-26,True
17,EUR_ORIGIN_202307270900,EUR,2023-07-27,True
18,EUR_ORIGIN_202307271100,EUR,2023-07-27,True
19,EUR_ORIGIN_202307271500,EUR,2023-07-27,True
20,EUR_ORIGIN_202307272300,EUR,2023-07-27,True
21,EUR_ORIGIN_202307280300,EUR,2023-07-28,True
22,EUR_ORIGIN_202307281200,EUR,2023-07-28,True
23,EUR_ORIGIN_202307311300,EUR,2023-07-31,True
24,EUR_ORIGIN_202308021300,EUR,2023-08-02,True
25,EUR_ORIGIN_202308030600,EUR,2023-08-03,True
26,EUR_ORIGIN_202308081200,EUR,2023-08-08,True
27,EUR_ORIGIN_202308090600,EUR,2023-08-09,True
28,EUR_ORIGIN_202308101100,EUR,2023-08-10,True
29,EUR_ORIGIN_202308102000,EUR,2023-08-10,True
30,EUR_ORIGIN_202308110800,EUR,2023-08-11,True
31,EUR_ORIGIN_202308111200,EUR,2023-08-11,True
32,EUR_ORIGIN_202308111500,EUR,2023-08-11,True
33,EUR_ORIGIN_202308151300,EUR,2023-08-15,True
34,EUR_ORIGIN_202308161300,EUR,2023-08-16,True
35,EUR_ORIGIN_202308171800,EUR,2023-08-17,True
36,EUR_ORIGIN_202308220700,EUR,2023-08-22,True
37,EUR_ORIGIN_202308221200,EUR,2023-08-22,True
38,EUR_ORIGIN_202308230600,EUR,2023-08-23,True
39,EUR_ORIGIN_202308231000,EUR,2023-08-23,True
40,EUR_ORIGIN_202308231200,EUR,2023-08-23,True
41,EUR_ORIGIN_202308231600,EUR,2023-08-23,True
42,EUR_ORIGIN_202308240600,EUR,2023-08-24,True
43,EUR_ORIGIN_202308281400,EUR,2023-08-28,True
44,EUR_ORIGIN_202308291300,EUR,2023-08-29,True
45,EUR_ORIGIN_202308300800,EUR,2023-08-30,True
46,EUR_ORIGIN_202308301500,EUR,2023-08-30,True
47,EUR_ORIGIN_202308310600,EUR,2023-08-31,True
48,EUR_ORIGIN_202308311000,EUR,2023-08-31,True
49,EUR_ORIGIN_202309011200,EUR,2023-09-01,True
50,EUR_ORIGIN_202309011700,EUR,2023-09-01,True
51,EUR_ORIGIN_202309051300,EUR,2023-09-05,True
52,EUR_ORIGIN_202309060400,EUR,2023-09-06,True
53,EUR_ORIGIN_202309081200,EUR,2023-09-08,True
54,EUR_ORIGIN_202309110000,EUR,2023-09-11,True
55,EUR_ORIGIN_202309110700,EUR,2023-09-11,True
56,EUR_ORIGIN_202309120600,EUR,2023-09-12,True
57,EUR_ORIGIN_202309121200,EUR,2023-09-12,True
58,EUR_ORIGIN_202309121900,EUR,2023-09-12,True
59,EUR_ORIGIN_202309122300,EUR,2023-09-12,True
60,EUR_ORIGIN_202309141100,EUR,2023-09-14,True
61,EUR_ORIGIN_202309141500,EUR,2023-09-14,True
62,EUR_ORIGIN_202309200500,EUR,2023-09-20,True
63,EUR_ORIGIN_202309201800,EUR,2023-09-20,True
64,EUR_ORIGIN_202309202100,EUR,2023-09-20,True
65,EUR_ORIGIN_202309210600,EUR,2023-09-21,True
