symbol,file_exists,first_timestamp,last_timestamp,total_rows,first_bar_weekday_mode,last_bar_weekday_mode,first_bar_hour_mode,last_bar_hour_mode,real_m5_start,est_daily_only_bars,missing_hours_sat,missing_hours_sun
EURUSD,True,2023-07-03 00:00:00+00:00,2026-05-29 00:25:00+00:00,216820,0,4,0,23,2023-07-03 00:00:00+00:00,155,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
GBPUSD,True,2022-01-03 00:00:00+00:00,2026-05-29 23:50:00+00:00,277022,0,4,0,23,2022-09-13 00:55:00+00:00,378,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
USDJPY,True,2022-01-03 00:00:00+00:00,2026-05-29 23:50:00+00:00,277092,0,4,0,23,2022-09-13 00:55:00+00:00,378,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
USDCHF,True,2023-07-03 00:00:00+00:00,2026-05-29 23:50:00+00:00,217190,0,4,0,23,2023-07-03 00:00:00+00:00,155,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
EURGBP,True,2015-10-11 20:00:00+00:00,2026-06-03 20:55:00+00:00,276627,0,6,20,20,2022-09-28 02:05:00+00:00,2144,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
EURJPY,True,2015-10-11 20:00:00+00:00,2026-06-03 21:00:00+00:00,276531,0,6,20,20,2022-09-28 02:05:00+00:00,2144,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
GBPJPY,True,2022-01-03 00:00:00+00:00,2026-05-29 23:50:00+00:00,276931,0,4,0,23,2022-09-13 00:55:00+00:00,378,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
CHFJPY,True,2022-01-03 00:00:00+00:00,2026-05-21 18:25:00+00:00,275093,0,4,0,23,2022-09-13 00:55:00+00:00,377,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
EURCHF,True,2015-10-11 20:00:00+00:00,2026-06-03 21:00:00+00:00,279575,0,6,20,20,2022-09-12 20:55:00+00:00,2135,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
GBPCHF,True,2022-01-03 00:00:00+00:00,2026-05-29 23:50:00+00:00,276994,0,4,0,23,2022-09-13 00:55:00+00:00,378,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
