surface,group,mapping,x,y,slope_2020-2021,slope_2022,slope_2023,slope_2024,slope_2025-2026,mean_slope,sd_slope,sign_consistent,n_valid_periods,law_verdict,verdict,n_groups,n_invariant,n_drift,n_data_limited,invariant_fraction
6_cell,6C_0,forcing_to_propagation,forcing,prop7,-0.13465359853805545,,-0.5651888352141574,1.0877190346358576,,0.12929220029454824,0.85748273749042,False,3.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_0,forcing_to_rank_recruitment,forcing,rank7,-0.04106530079646758,,-0.09405855744917196,-0.5614080633403971,,-0.23217730719534554,0.2863507279658053,True,3.0,INVARIANT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_0,age_to_propagation,age_in_cell,prop7,0.17653044417394265,,0.16174580311951373,0.05732328439691226,,0.13186651056345622,0.06497819502159527,True,3.0,INVARIANT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_0,age_to_reentry,age_in_cell,ren7,-0.23331809600803663,,-0.28150946954868616,-0.04193012901106013,,-0.18558589818926097,0.1267214943668555,True,3.0,INVARIANT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_0,entropy_to_propagation,fbe,prop7,,,,,,,,False,0.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_0,entropy_to_directional_constraint,fbe,next_dir,,,,,,,,False,0.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_0,activation_depth_to_propagation,spatial_activation,prop7,-0.2555574195958615,,0.16083781436357825,0.23766144972140643,,0.0476472814963744,0.2653776286930046,False,3.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,forcing_to_propagation,forcing,prop7,0.7402737212416658,,0.769811223157982,,-0.015383812183990878,0.4982337107385523,0.4450509362923316,False,3.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,forcing_to_rank_recruitment,forcing,rank7,,,-0.2896134330220723,,0.6046609036134684,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,age_to_propagation,age_in_cell,prop7,0.2706049552241773,,0.225898239247982,,0.2463367233825101,0.24761330595155648,0.02238068052217681,True,3.0,INVARIANT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,age_to_reentry,age_in_cell,ren7,-0.30828248807553965,,-0.07053037467476542,,-0.018864399873945066,-0.1325590875414167,0.15435795528409477,True,3.0,INVARIANT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,entropy_to_propagation,fbe,prop7,,,-0.04495362714844418,,-0.009050782102724983,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,entropy_to_directional_constraint,fbe,next_dir,,,0.09666133632074879,,-0.08500858299385256,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_1,activation_depth_to_propagation,spatial_activation,prop7,0.23095994663449626,,0.006057973052610393,,-0.09034954408015852,0.048889458535649376,0.16488131888525315,False,3.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,forcing_to_propagation,forcing,prop7,,0.30941290131269655,,,-0.8521665441144151,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,forcing_to_rank_recruitment,forcing,rank7,,-0.07431325887485835,-0.6919498641723457,0.589749604983462,,-0.05883783935458072,0.6409898585512616,False,3.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,age_to_propagation,age_in_cell,prop7,-0.015537836053000293,-0.05555177098529813,-0.05562098734277023,-0.04086662165716294,0.0635335082314394,-0.020808741561358444,0.049906629441449406,False,5.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,age_to_reentry,age_in_cell,ren7,0.06467197726296138,-0.07018489575925446,-0.11195648347897931,-0.18633606961781382,0.047467919552794696,-0.051267510408058305,0.10662455690283183,False,5.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,entropy_to_propagation,fbe,prop7,,,,,,,,False,0.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,entropy_to_directional_constraint,fbe,next_dir,,,,,,,,False,0.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_2,activation_depth_to_propagation,spatial_activation,prop7,,-0.04861980344539278,-0.009042616630232207,,-0.3758646802445881,-0.14450903344007102,0.20133470865775444,True,3.0,INVARIANT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,forcing_to_propagation,forcing,prop7,,,,,0.9435945725571759,,,False,1.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,forcing_to_rank_recruitment,forcing,rank7,,,,,,,,False,0.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,age_to_propagation,age_in_cell,prop7,,,,,0.058624103360053,,,False,1.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,age_to_reentry,age_in_cell,ren7,,,,,-0.12589378186663394,,,False,1.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,entropy_to_propagation,fbe,prop7,,,,,0.1503451719575141,,,False,1.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,entropy_to_directional_constraint,fbe,next_dir,,,,,,,,False,0.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_3,activation_depth_to_propagation,spatial_activation,prop7,,,,,0.16254768003412493,,,False,1.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,forcing_to_propagation,forcing,prop7,,0.27399930042562337,1.1874578875757917,-0.16290681307457944,0.7157402967572364,0.503572667921018,0.5801186447729401,False,4.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,forcing_to_rank_recruitment,forcing,rank7,,,-0.6970902169503708,-0.8295104055553222,,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,age_to_propagation,age_in_cell,prop7,,-0.0748433564996345,-0.017589887185180286,0.12809017543121645,-0.06791447590302303,-0.008064386039155342,0.0942872630736283,False,4.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,age_to_reentry,age_in_cell,ren7,,0.10309746144633122,0.23312051959846603,-0.15185678224927562,0.012446432915038974,0.049201907927640155,0.16176768141079054,False,4.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,entropy_to_propagation,fbe,prop7,,-0.017206163821507636,0.02313885617220776,0.016479475541735733,0.015048426299317783,0.00936514854793841,0.01806158868360818,False,4.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,entropy_to_directional_constraint,fbe,next_dir,,0.0421722425832857,-0.004474599364881934,0.0678742386887084,0.0232040724176798,0.03219398858119799,0.030539863213245075,False,4.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_4,activation_depth_to_propagation,spatial_activation,prop7,,-0.162220463236961,0.32267612614763874,0.03326848843039912,-0.16113052568367045,0.008148406414351606,0.22893930316398048,False,4.0,DRIFT_SLOPE,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,forcing_to_propagation,forcing,prop7,-0.5123041702929049,,,,-1.2794124605253663,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,forcing_to_rank_recruitment,forcing,rank7,-0.31523110199053045,,,,0.19187694315894854,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,age_to_propagation,age_in_cell,prop7,-0.091034390851781,,,,0.0644076565088419,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,age_to_reentry,age_in_cell,ren7,0.12253205373585024,,,,-0.08650071254786695,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,entropy_to_propagation,fbe,prop7,0.04478877449201252,,,,-0.0022804875054076986,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,entropy_to_directional_constraint,fbe,next_dir,-0.20445705582050208,,,,-0.14383722581470768,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
6_cell,6C_5,activation_depth_to_propagation,spatial_activation,prop7,-0.6402710332140646,,,,0.07587702362639227,,,False,2.0,DATA_LIMITED,TRANSFER_FUNCTION_MAP_DONE,,,,,
