state,age_band,subperiod,n,prop7,ren7,rank7,exit_next,fbe,verdict,age_prop_trend,n_bands,trend_sign,sign_consistent,consistency_fraction,mean_age_prop_trend
LH,AGE_4_7,2025-2026,21,0.38095238095238093,0.42857142857142855,0.9523809523809523,0.09523809523809523,0.5155682486632,STATE_AGE_TRANSPORT_DONE,,,,,,
LH,AGE_8_14,2020-2021,37,0.08108108108108109,0.35135135135135137,0.8108108108108109,0.08108108108108109,0.5772936046982137,STATE_AGE_TRANSPORT_DONE,,,,,,
LH,AGE_8_14,2025-2026,23,0.34782608695652173,0.391304347826087,1.0,0.13043478260869565,0.26362558797961194,STATE_AGE_TRANSPORT_DONE,,,,,,
LH,AGE_15_PLUS,2020-2021,15,0.0,0.7333333333333333,0.9333333333333333,0.2,0.9161419477148293,STATE_AGE_TRANSPORT_DONE,,,,,,
LH,AGE_15_PLUS,2025-2026,17,0.4117647058823529,0.35294117647058826,1.0,0.11764705882352941,0.6264964209616785,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_1,2023,18,0.3333333333333333,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.291209283652416,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_1,2024,24,0.16666666666666666,0.5416666666666666,0.875,0.5,0.6508495858408863,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_1,2025-2026,35,0.2,0.5428571428571428,0.9714285714285714,0.2571428571428571,0.6485953696520416,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_2_3,2022,21,0.14285714285714285,0.38095238095238093,0.9047619047619048,0.09523809523809523,0.239494437565862,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_2_3,2024,21,0.09523809523809523,0.6190476190476191,0.9047619047619048,0.19047619047619047,0.48293742225415315,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_2_3,2025-2026,45,0.2222222222222222,0.4666666666666667,0.9555555555555556,0.26666666666666666,0.6056595156481349,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_4_7,2020-2021,16,0.0,0.0,0.3125,0.0,0.0,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_4_7,2022,33,0.12121212121212122,0.30303030303030304,0.9393939393939394,0.06060606060606061,0.13595416996710594,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_4_7,2023,18,0.0,0.6666666666666666,0.7222222222222222,0.1111111111111111,0.4553935056622108,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_4_7,2024,25,0.08,0.68,0.92,0.12,0.432613848440244,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_4_7,2025-2026,51,0.23529411764705882,0.39215686274509803,0.9803921568627451,0.0784313725490196,0.5505609940163941,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_8_14,2020-2021,28,0.0,0.07142857142857142,0.5,0.0,0.05195690525531994,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_8_14,2022,43,0.13953488372093023,0.27906976744186046,0.8372093023255814,0.046511627906976744,0.33238770361516684,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_8_14,2023,25,0.0,0.44,1.0,0.0,0.2188686297979499,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_8_14,2024,25,0.24,0.36,1.0,0.08,0.2662024520845361,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_8_14,2025-2026,49,0.24489795918367346,0.2857142857142857,0.9795918367346939,0.08163265306122448,0.34094838408281336,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_15_PLUS,2020-2021,42,0.11904761904761904,0.40476190476190477,0.5238095238095238,0.07142857142857142,0.34857449759760145,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_15_PLUS,2022,97,0.13402061855670103,0.20618556701030927,0.7010309278350515,0.05154639175257732,0.34912165426906777,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_15_PLUS,2023,59,0.05084745762711865,0.5423728813559322,0.9661016949152542,0.06779661016949153,0.28691746906706617,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_15_PLUS,2024,30,0.06666666666666667,0.26666666666666666,0.9,0.1,0.3623367040347867,STATE_AGE_TRANSPORT_DONE,,,,,,
LL,AGE_15_PLUS,2025-2026,70,0.2714285714285714,0.5,1.0,0.08571428571428572,0.3586673875721053,STATE_AGE_TRANSPORT_DONE,,,,,,
HH,,2020-2021,0,,,,,,,0.7999999999999999,5.0,,,,
HH,,2023,0,,,,,,,0.9999999999999999,5.0,,,,
HH,,2024,0,,,,,,,0.5,3.0,,,,
HH,,2025-2026,0,,,,,,,0.9746794344808964,5.0,,,,
HL,,2022,0,,,,,,,1.0,3.0,,,,
HL,,2024,0,,,,,,,0.5,3.0,,,,
HL,,2025-2026,0,,,,,,,-0.19999999999999998,4.0,,,,
LH,,2020-2021,0,,,,,,,-0.632455532033676,4.0,,,,
LH,,2025-2026,0,,,,,,,0.8999999999999998,5.0,,,,
LL,,2020-2021,0,,,,,,,0.8660254037844387,3.0,,,,
LL,,2022,0,,,,,,,-0.39999999999999997,4.0,,,,
LL,,2023,0,,,,,,,-0.316227766016838,4.0,,,,
LL,,2024,0,,,,,,,-0.39999999999999997,5.0,,,,
LL,,2025-2026,0,,,,,,,0.9999999999999999,5.0,,,,
HH,,,0,,,,,,UNSTABLE_CLOCK,,,POS,True,1.0,0.8186698586202241
HL,,,0,,,,,,UNSTABLE_CLOCK,,,POS,False,0.6666666666666666,0.43333333333333335
LH,,,0,,,,,,UNSTABLE_CLOCK,,,n/a,False,,0.1337722339831619
LL,,,0,,,,,,UNSTABLE_CLOCK,,,NEG,False,0.6,0.14995952755352013
