subperiod,law_regime,verdict
2020-2021,n/a,NO_NAMED_REGIMES
2022,n/a,NO_NAMED_REGIMES
2023,n/a,NO_NAMED_REGIMES
2024,n/a,NO_NAMED_REGIMES
2025-2026,n/a,NO_NAMED_REGIMES
