subperiod,n_days,n_cells_used,max_cell_share,single_cell_dominance,n_stablecoins_mean,stablecoin_na_frac,vol_med_mean,rank_depth_mean,rank_depth_sd,forcing_na,ent_resid_na,nbranch_na,total_mcap_mean,verdict,artifact_flags,sd_stablecoin_count,cv_vol_scale,cv_mcap_scale
2020-2021,554,5,0.4729241877256318,False,19.097472924187727,0.0,0.07076072694733966,-0.0668795957317912,0.13415730751218757,68,0,0,1423999285969.5276,ARTIFACT_AUDIT_DONE,,7.341802643750855,0.24494954278087258,0.44677246162987616
2022,338,5,0.42011834319526625,False,27.124260355029588,0.0,0.05200126059317341,-0.0143337165298734,0.034962787974781695,30,0,0,1305660359420.7466,ARTIFACT_AUDIT_DONE,,7.341802643750855,0.24494954278087258,0.44677246162987616
2023,344,5,0.25290697674418605,False,25.25581395348837,0.0,0.037439541258293595,-0.026529399702552088,0.0488120702011362,33,0,0,1216402607457.9336,ARTIFACT_AUDIT_DONE,,7.341802643750855,0.24494954278087258,0.44677246162987616
2024,357,5,0.3025210084033613,False,20.086834733893557,0.0,0.05018997044967256,-0.04125632755828461,0.056136570355943154,19,0,0,2556212462297.006,ARTIFACT_AUDIT_DONE,,7.341802643750855,0.24494954278087258,0.44677246162987616
2025-2026,600,6,0.335,False,37.461666666666666,0.0,0.04419962871749171,-0.031801706931154555,0.041242319202683314,0,3,3,3116523300945.1836,ARTIFACT_AUDIT_DONE,,7.341802643750855,0.24494954278087258,0.44677246162987616
