survival_days,subperiod,n,mean_fbe,mean_nbranch7,median_age,verdict,fbe_vs_survival_slope,n_thresholds
3,2020-2021,481.0,0.20671028592344373,1.2848232848232848,17.0,BRANCH_CONTRACTION_MAPPED,,
3,2022,255.0,0.41269498972588964,1.5333333333333334,11.0,BRANCH_CONTRACTION_MAPPED,,
3,2023,261.0,0.39719993555288424,1.5708812260536398,11.0,BRANCH_CONTRACTION_MAPPED,,
3,2024,253.0,0.41619410874552026,1.5691699604743083,9.0,BRANCH_CONTRACTION_MAPPED,,
3,2025-2026,401.0,0.47453048367711126,1.6325,9.0,BRANCH_CONTRACTION_MAPPED,,
5,2020-2021,438.0,0.21467868071479815,1.2945205479452055,19.0,BRANCH_CONTRACTION_MAPPED,,
5,2022,210.0,0.3966664415400743,1.5238095238095237,14.0,BRANCH_CONTRACTION_MAPPED,,
5,2023,214.0,0.36296957880486774,1.5233644859813085,13.5,BRANCH_CONTRACTION_MAPPED,,
5,2024,197.0,0.346189979117496,1.4720812182741116,14.0,BRANCH_CONTRACTION_MAPPED,,
5,2025-2026,314.0,0.43360411189601605,1.5796178343949046,11.5,BRANCH_CONTRACTION_MAPPED,,
7,2020-2021,398.0,0.220706247681593,1.2989949748743719,21.0,BRANCH_CONTRACTION_MAPPED,,
7,2022,174.0,0.39148452524566507,1.528735632183908,17.0,BRANCH_CONTRACTION_MAPPED,,
7,2023,178.0,0.337617645747043,1.4887640449438202,16.0,BRANCH_CONTRACTION_MAPPED,,
7,2024,163.0,0.29746695896303316,1.4049079754601228,18.0,BRANCH_CONTRACTION_MAPPED,,
7,2025-2026,251.0,0.39091974023136833,1.5219123505976095,14.0,BRANCH_CONTRACTION_MAPPED,,
10,2020-2021,343.0,0.2162620904661889,1.2915451895043732,25.0,BRANCH_CONTRACTION_MAPPED,,
10,2022,140.0,0.41338849823691565,1.5571428571428572,20.5,BRANCH_CONTRACTION_MAPPED,,
10,2023,141.0,0.3301573012642636,1.4680851063829787,19.0,BRANCH_CONTRACTION_MAPPED,,
10,2024,126.0,0.23908281346049445,1.3253968253968254,23.0,BRANCH_CONTRACTION_MAPPED,,
10,2025-2026,186.0,0.3580149062658191,1.4731182795698925,17.5,BRANCH_CONTRACTION_MAPPED,,
14,2020-2021,278.0,0.2052121203201676,1.276978417266187,29.0,BRANCH_CONTRACTION_MAPPED,,
14,2022,108.0,0.38566435777736136,1.5185185185185186,24.5,BRANCH_CONTRACTION_MAPPED,,
14,2023,107.0,0.3438513415469937,1.4953271028037383,24.0,BRANCH_CONTRACTION_MAPPED,,
14,2024,103.0,0.24316770979150948,1.3300970873786409,27.0,BRANCH_CONTRACTION_MAPPED,,
14,2025-2026,134.0,0.39574213715212697,1.507462686567164,21.0,BRANCH_CONTRACTION_MAPPED,,
21,2020-2021,204.0,0.19269506681721413,1.2647058823529411,35.0,BRANCH_CONTRACTION_MAPPED,,
21,2022,70.0,0.4246921426234436,1.5857142857142856,29.5,BRANCH_CONTRACTION_MAPPED,,
21,2023,64.0,0.28946747064488004,1.4375,35.0,BRANCH_CONTRACTION_MAPPED,,
21,2024,72.0,0.2674212968747042,1.3611111111111112,32.0,BRANCH_CONTRACTION_MAPPED,,
21,2025-2026,68.0,0.5176863778750911,1.6764705882352942,25.0,BRANCH_CONTRACTION_MAPPED,,
0,2020-2021,,,,,BRANCH_CONTRACTION_PARTIAL,-0.0010999542355129555,6.0
0,2022,,,,,BRANCH_CONTRACTION_PARTIAL,0.0007619104020396865,6.0
0,2023,,,,,BRANCH_CONTRACTION_PARTIAL,-0.004766149258427289,6.0
0,2024,,,,,BRANCH_CONTRACTION_PARTIAL,-0.007374565585942903,6.0
0,2025-2026,,,,,BRANCH_CONTRACTION_PARTIAL,0.0027955706332752086,6.0
