patch,prob,subperiod,forcing_threshold,gain,ceiling,n,activation_rate,saturation,verdict,f50_sd_units,patch_verdict
101-250,0.75,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.25,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.25,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.25,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.25,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.25,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.5,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.5,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.5,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.5,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.5,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.75,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.75,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.75,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.75,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
251-500,0.75,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.25,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.25,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.25,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.25,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.25,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.5,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.5,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.5,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.5,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.5,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.75,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.75,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.75,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.75,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
501-750,0.75,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.25,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.25,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.25,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.25,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.25,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.5,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.5,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.5,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.5,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.5,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.75,2020-2021,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.75,2022,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.75,2023,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.75,2024,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
751-1000,0.75,2025-2026,,,,0.0,0.0,SATURATED_OFF,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.25,2020-2021,-2.412895029507534,0.3629468458520751,0.6326530612244898,486.0,0.40687160940325495,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.25,2022,-3.9766078940672256,0.15249891036681198,0.5483870967741935,308.0,0.3520710059171598,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.25,2023,-1.1392147738006326,0.48914581535925755,0.59375,311.0,0.3430232558139535,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.25,2024,-0.9783349016597256,0.2951710129369742,0.4117647058823529,338.0,0.32492997198879553,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.25,2025-2026,-0.8683196264230307,0.30408970415331193,0.36666666666666664,600.0,0.30666666666666664,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.5,2020-2021,2.8873290911991196,0.3629468458520751,0.6326530612244898,486.0,0.40687160940325495,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.5,2022,2.7391977478734426,0.15249891036681198,0.5483870967741935,308.0,0.3520710059171598,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.5,2023,0.6868716860130399,0.48914581535925755,0.59375,311.0,0.3430232558139535,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.5,2024,2.2576923048107753,0.2951710129369742,0.4117647058823529,338.0,0.32492997198879553,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.5,2025-2026,1.5615515720831903,0.30408970415331193,0.36666666666666664,600.0,0.30666666666666664,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.75,2020-2021,8.187553211905772,0.3629468458520751,0.6326530612244898,486.0,0.40687160940325495,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.75,2022,9.455003389814111,0.15249891036681198,0.5483870967741935,308.0,0.3520710059171598,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.75,2023,2.5129581458267127,0.48914581535925755,0.59375,311.0,0.3430232558139535,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.75,2024,5.4937195112812764,0.2951710129369742,0.4117647058823529,338.0,0.32492997198879553,,RANK_THRESHOLD_DRIFT_DONE,,
1001-1500,0.75,2025-2026,3.991422770589411,0.30408970415331193,0.36666666666666664,600.0,0.30666666666666664,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.25,2020-2021,-3.018068565004321,0.37941013726242334,0.6326530612244898,486.0,0.4430379746835443,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.25,2022,-5.736279931602409,0.13405639521909568,0.6451612903225806,308.0,0.39349112426035504,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.25,2023,-1.2819336253757054,0.490669286239589,0.625,311.0,0.36046511627906974,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.25,2024,-0.42399750791443447,0.3723546691107908,0.47058823529411764,338.0,0.3025210084033613,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.25,2025-2026,-0.2966791950112787,0.4267065943056658,0.38333333333333336,600.0,0.26,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.5,2020-2021,2.0521692541534984,0.37941013726242334,0.6326530612244898,486.0,0.4430379746835443,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.5,2022,1.903437971870134,0.13405639521909568,0.6451612903225806,308.0,0.39349112426035504,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.5,2023,0.5384830490560273,0.490669286239589,0.625,311.0,0.36046511627906974,,RANK_THRESHOLD_DRIFT_DONE,,
