mapping,subperiod,slope,n,verdict,sign,sign_consistent,consistency_fraction,mean_slope
entropy_to_branch_closure,2020-2021,,0.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_branch_closure,2022,0.5864795141324364,338.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_branch_closure,2023,0.7057702583323547,344.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_branch_closure,2024,0.6455566239613788,357.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_branch_closure,2025-2026,0.6107143538948097,597.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_propagation,2020-2021,,0.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_propagation,2022,0.20403214232382805,338.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_propagation,2023,-0.04164314934221564,344.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_propagation,2024,-0.036768270598294794,357.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_propagation,2025-2026,-0.003950373512234481,597.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_directional_constraint,2020-2021,,0.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_directional_constraint,2022,-0.04809903240690356,338.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_directional_constraint,2023,0.09538954940497811,344.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_directional_constraint,2024,0.02075850801133785,357.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_directional_constraint,2025-2026,-0.04333135978917713,597.0,ENTROPY_TRANSPORT_DONE,,,,
entropy_to_branch_closure,,,,ENTROPY_RESPONSE_DRIFT,POS,True,1.0,0.6371301875802449
entropy_to_propagation,,,,ENTROPY_RESPONSE_DRIFT,NEG,False,0.75,0.030417587217770783
entropy_to_directional_constraint,,,,ENTROPY_RESPONSE_DRIFT,FLAT,False,0.5,0.006179416305058817
