entry_time,exit_time,pnl,result,reason,direction,ar_pips,deep_state,activation,entry_price,exit_price,est_hour
2022-01-19 15:20:00+00:00,2022-01-19 17:00:00+00:00,-8.18,L,sl,LONG,3.7,1822.62,1819.19,1821.39,1829.57,10
2022-01-20 14:20:00+00:00,2022-01-20 14:25:00+00:00,0.38,W,tp,SHORT,5.4,1835.9,1836.71,1836.33,1836.71,9
2022-01-21 13:00:00+00:00,2022-01-21 13:05:00+00:00,-5.26,W,tp,SHORT,14.3,1833.51,1828.48,1833.74,1828.48,8
2022-01-24 13:20:00+00:00,2022-01-24 13:25:00+00:00,-1.61,W,tp,SHORT,7.9,1838.0,1836.43,1838.04,1836.43,8
2022-01-25 13:00:00+00:00,2022-01-25 13:05:00+00:00,-3.59,W,tp,SHORT,8.4,1837.41,1834.93,1838.52,1834.93,8
2022-01-26 14:05:00+00:00,2022-01-26 14:10:00+00:00,0.48,W,tp,SHORT,4.9,1842.65,1843.77,1843.29,1843.77,9
2022-01-27 13:00:00+00:00,2022-01-27 13:05:00+00:00,-0.72,W,tp,SHORT,7.3,1810.12,1809.54,1810.26,1809.54,8
2022-01-28 13:00:00+00:00,2022-01-28 14:00:00+00:00,0.47,W,tp,SHORT,12.3,1785.91,1786.48,1786.01,1786.48,8
2022-01-31 13:00:00+00:00,2022-01-31 13:05:00+00:00,-1.04,W,tp,LONG,6.5,1792.09,1792.49,1791.45,1792.49,8
2022-02-01 13:00:00+00:00,2022-02-01 13:05:00+00:00,-0.57,W,tp,LONG,8.4,1807.1,1807.63,1807.06,1807.63,8
2022-02-02 13:00:00+00:00,2022-02-02 13:05:00+00:00,-0.36,W,tp,LONG,9.3,1803.44,1803.7,1803.34,1803.7,8
2022-02-03 14:20:00+00:00,2022-02-03 14:40:00+00:00,0.78,W,tp,SHORT,4.6,1800.66,1802.21,1801.43,1802.21,9
2022-02-04 13:00:00+00:00,2022-02-04 13:05:00+00:00,-2.25,W,tp,LONG,8.7,1813.53,1814.49,1812.24,1814.49,8
2022-02-07 15:00:00+00:00,2022-02-07 15:10:00+00:00,0.75,W,tp,LONG,5.4,1815.05,1814.16,1814.91,1814.16,10
2022-02-08 15:35:00+00:00,2022-02-08 15:40:00+00:00,0.02,W,tp,LONG,6.1,1822.96,1821.54,1821.56,1821.54,10
2022-02-09 15:00:00+00:00,2022-02-09 15:10:00+00:00,1.86,W,tp,LONG,3.4,1832.54,1829.15,1831.01,1829.15,10
2022-02-10 15:25:00+00:00,2022-02-10 15:40:00+00:00,0.36,W,tp,SHORT,5.7,1829.85,1830.38,1830.02,1830.38,10
2022-02-11 13:45:00+00:00,2022-02-11 13:50:00+00:00,-0.35,W,tp,LONG,6.9,1827.59,1827.81,1827.46,1827.81,8
2022-02-14 13:20:00+00:00,2022-02-14 13:25:00+00:00,-1.87,W,tp,LONG,7.7,1856.73,1858.45,1856.58,1858.45,8
2022-02-15 13:00:00+00:00,2022-02-15 13:05:00+00:00,-2.66,W,tp,SHORT,27.0,1854.81,1852.42,1855.08,1852.42,8
2022-02-16 14:35:00+00:00,2022-02-16 14:40:00+00:00,-0.81,W,tp,SHORT,7.3,1852.88,1852.27,1853.08,1852.27,9
2022-02-17 13:00:00+00:00,2022-02-17 13:05:00+00:00,-15.66,W,tp,SHORT,22.8,1886.0,1870.45,1886.11,1870.45,8
2022-02-18 13:00:00+00:00,2022-02-18 13:05:00+00:00,-3.31,W,tp,SHORT,9.3,1889.08,1886.55,1889.86,1886.55,8
2022-02-21 13:00:00+00:00,2022-02-21 13:05:00+00:00,-1.51,W,tp,LONG,10.7,1897.61,1898.32,1896.81,1898.32,8
2022-02-22 13:00:00+00:00,2022-02-22 13:05:00+00:00,-0.98,W,tp,SHORT,19.4,1894.53,1893.94,1894.92,1893.94,8
2022-02-23 13:20:00+00:00,2022-02-23 13:25:00+00:00,-3.45,W,tp,LONG,8.8,1895.53,1898.36,1894.91,1898.36,8
2022-02-24 13:00:00+00:00,2022-02-24 13:05:00+00:00,-5.23,W,tp,LONG,40.7,1973.92,1974.45,1969.22,1974.45,8
2022-02-25 13:00:00+00:00,2022-02-25 13:05:00+00:00,-5.89,W,tp,SHORT,14.2,1910.08,1907.12,1913.01,1907.12,8
2022-02-28 13:00:00+00:00,2022-02-28 13:05:00+00:00,-11.42,W,tp,SHORT,18.7,1904.17,1893.18,1904.6,1893.18,8
2022-03-01 13:00:00+00:00,2022-03-01 13:05:00+00:00,-0.44,W,tp,LONG,20.7,1925.84,1925.27,1924.83,1925.27,8
2022-03-02 13:00:00+00:00,2022-03-02 13:05:00+00:00,-14.84,W,tp,SHORT,34.1,1926.26,1913.78,1928.62,1913.78,8
