entry_time,exit_time,pnl,result,reason,direction,ar_pips,deep_state,activation,entry_price,exit_price,est_hour
2022-09-28 13:00:00+00:00,2022-09-28 13:05:00+00:00,-30.7,W,tp,SHORT,52.8,0.95437,0.95358,0.95665,0.95358,8
2022-09-29 13:00:00+00:00,2022-09-29 13:05:00+00:00,-49.0,W,tp,SHORT,71.1,0.96843,0.96357,0.96847,0.96357,8
2022-09-30 13:00:00+00:00,2022-09-30 13:05:00+00:00,-3.8,W,tp,SHORT,63.7,0.97935,0.97901,0.97939,0.97901,8
2022-10-03 13:00:00+00:00,2022-10-03 13:05:00+00:00,-8.5,W,tp,SHORT,81.9,0.97571,0.97529,0.97614,0.97529,8
2022-10-04 13:00:00+00:00,2022-10-04 13:05:00+00:00,-55.3,W,tp,SHORT,70.1,0.9879,0.9826,0.98813,0.9826,8
2022-10-05 13:00:00+00:00,2022-10-05 13:05:00+00:00,-2.2,W,tp,SHORT,73.7,0.99234,0.99213,0.99235,0.99213,8
2022-10-06 13:00:00+00:00,2022-10-06 13:05:00+00:00,-11.2,W,tp,SHORT,50.9,0.98854,0.98752,0.98864,0.98752,8
2022-10-07 13:00:00+00:00,2022-10-07 13:05:00+00:00,-36.6,W,tp,SHORT,50.9,0.98014,0.97658,0.98024,0.97658,8
2022-10-10 13:00:00+00:00,2022-10-10 13:05:00+00:00,-25.7,W,tp,SHORT,61.7,0.9703,0.96818,0.97075,0.96818,8
2022-10-11 13:00:00+00:00,2022-10-11 13:05:00+00:00,-23.7,W,tp,SHORT,54.2,0.96934,0.96706,0.96943,0.96706,8
2022-10-12 13:00:00+00:00,2022-10-12 13:05:00+00:00,-14.3,W,tp,SHORT,39.0,0.97061,0.96957,0.971,0.96957,8
2022-10-13 13:00:00+00:00,2022-10-13 13:05:00+00:00,-42.2,W,tp,SHORT,58.7,0.97241,0.96854,0.97276,0.96854,8
2022-10-14 13:00:00+00:00,2022-10-14 13:05:00+00:00,-12.4,W,tp,SHORT,78.2,0.97247,0.97189,0.97313,0.97189,8
2022-10-17 13:00:00+00:00,2022-10-17 13:05:00+00:00,-32.4,W,tp,SHORT,37.7,0.97487,0.97199,0.97523,0.97199,8
2022-10-18 13:00:00+00:00,2022-10-18 13:05:00+00:00,-11.5,W,tp,SHORT,49.1,0.98335,0.98246,0.98361,0.98246,8
2022-10-19 13:00:00+00:00,2022-10-19 13:05:00+00:00,-10.3,W,tp,SHORT,41.0,0.98144,0.98053,0.98156,0.98053,8
2022-10-20 13:00:00+00:00,2022-10-20 13:05:00+00:00,-22.2,W,tp,SHORT,35.4,0.97768,0.97592,0.97814,0.97592,8
2022-10-21 13:00:00+00:00,2022-10-21 13:05:00+00:00,-7.5,W,tp,SHORT,67.2,0.97365,0.97352,0.97427,0.97352,8
2022-10-24 13:00:00+00:00,2022-10-24 13:05:00+00:00,-25.5,W,tp,SHORT,55.0,0.98311,0.98069,0.98324,0.98069,8
2022-10-25 13:00:00+00:00,2022-10-25 13:05:00+00:00,-16.5,W,tp,SHORT,33.7,0.98637,0.98527,0.98692,0.98527,8
2022-10-26 13:00:00+00:00,2022-10-26 13:05:00+00:00,-77.8,W,tp,SHORT,96.6,1.00253,0.99509,1.00287,0.99509,8
2022-10-27 13:00:00+00:00,2022-10-27 13:05:00+00:00,-11.2,W,tp,SHORT,53.2,1.0037,1.00306,1.00418,1.00306,8
2022-10-28 13:00:00+00:00,2022-10-28 13:05:00+00:00,-24.0,W,tp,SHORT,66.5,0.99485,0.99261,0.99501,0.99261,8
2022-10-31 13:00:00+00:00,2022-10-31 13:05:00+00:00,-24.7,W,tp,SHORT,51.4,0.99363,0.99142,0.99389,0.99142,8
2022-11-01 13:00:00+00:00,2022-11-01 13:05:00+00:00,-29.6,W,tp,SHORT,48.6,0.99265,0.98994,0.9929,0.98994,8
2022-11-02 13:00:00+00:00,2022-11-02 13:10:00+00:00,2.4,W,tp,LONG,35.9,0.99119,0.9907,0.99094,0.9907,8
2022-11-03 13:00:00+00:00,2022-11-03 13:05:00+00:00,-6.0,W,tp,SHORT,88.3,0.97523,0.97478,0.97538,0.97478,8
2022-11-04 13:00:00+00:00,2022-11-04 13:05:00+00:00,-22.0,W,tp,SHORT,39.5,0.97734,0.97568,0.97788,0.97568,8
2022-11-07 13:00:00+00:00,2022-11-07 13:05:00+00:00,-62.6,W,tp,SHORT,82.9,0.9984,0.99242,0.99868,0.99242,8
2022-11-08 13:00:00+00:00,2022-11-08 13:05:00+00:00,-29.1,W,tp,SHORT,42.7,0.99993,0.99717,1.00008,0.99717,8
2022-11-09 13:00:00+00:00,2022-11-09 13:05:00+00:00,-11.3,W,tp,SHORT,45.1,1.00452,1.00402,1.00515,1.00402,8
2022-11-10 13:00:00+00:00,2022-11-10 13:05:00+00:00,-7.0,W,tp,SHORT,83.6,0.99607,0.99595,0.99665,0.99595,8
2022-11-11 13:00:00+00:00,2022-11-11 13:05:00+00:00,-87.1,W,tp,SHORT,95.8,1.02628,1.01779,1.0265,1.01779,8
2022-11-14 13:00:00+00:00,2022-11-14 13:05:00+00:00,-8.6,W,tp,SHORT,53.0,1.03055,1.02979,1.03065,1.02979,8
2022-11-15 13:00:00+00:00,2022-11-15 13:05:00+00:00,-88.8,W,tp,SHORT,101.6,1.04019,1.03164,1.04052,1.03164,8
2022-11-16 13:00:00+00:00,2022-11-16 13:05:00+00:00,-85.3,W,tp,SHORT,87.8,1.04153,1.03376,1.04229,1.03376,8
2022-11-17 13:00:00+00:00,2022-11-17 13:05:00+00:00,-8.1,W,tp,SHORT,49.7,1.03622,1.03569,1.0365,1.03569,8
2022-11-18 13:00:00+00:00,2022-11-18 13:05:00+00:00,-31.3,W,tp,SHORT,53.6,1.03723,1.03424,1.03737,1.03424,8
2022-11-21 13:00:00+00:00,2022-11-21 13:05:00+00:00,-12.8,W,tp,SHORT,60.8,1.02358,1.02262,1.0239,1.02262,8
2022-11-22 13:00:00+00:00,2022-11-22 13:05:00+00:00,-37.8,W,tp,SHORT,44.2,1.02799,1.02458,1.02836,1.02458,8
2022-11-23 13:00:00+00:00,2022-11-23 13:05:00+00:00,-16.5,W,tp,SHORT,52.2,1.03115,1.02965,1.0313,1.02965,8
2022-11-24 13:00:00+00:00,2022-11-24 13:05:00+00:00,-13.2,W,tp,SHORT,54.2,1.04038,1.03925,1.04057,1.03925,8
2022-11-25 13:00:00+00:00,2022-11-25 13:05:00+00:00,-26.5,W,tp,SHORT,46.0,1.04086,1.03824,1.04089,1.03824,8
2022-11-28 13:00:00+00:00,2022-11-28 13:05:00+00:00,-142.1,W,tp,SHORT,135.0,1.04724,1.0347,1.04891,1.0347,8
2022-11-29 13:00:00+00:00,2022-11-29 13:05:00+00:00,-24.0,W,tp,SHORT,42.6,1.03727,1.03509,1.03749,1.03509,8
2022-11-30 13:00:00+00:00,2022-11-30 13:05:00+00:00,-23.0,W,tp,SHORT,45.5,1.03519,1.03358,1.03588,1.03358,8
2022-12-01 13:00:00+00:00,2022-12-01 13:05:00+00:00,-31.0,W,tp,SHORT,70.9,1.04177,1.03931,1.04241,1.03931,8
2022-12-02 13:00:00+00:00,2022-12-02 13:05:00+00:00,-15.9,W,tp,SHORT,32.1,1.05238,1.05129,1.05288,1.05129,8
2022-12-05 13:00:00+00:00,2022-12-05 13:05:00+00:00,-13.2,W,tp,SHORT,66.0,1.05314,1.05189,1.05321,1.05189,8
2022-12-06 13:00:00+00:00,2022-12-06 13:05:00+00:00,-19.3,W,tp,SHORT,33.9,1.04946,1.04757,1.0495,1.04757,8
2022-12-07 13:00:00+00:00,2022-12-07 13:05:00+00:00,-54.6,W,tp,SHORT,63.7,1.04965,1.04434,1.0498,1.04434,8
2022-12-08 13:00:00+00:00,2022-12-08 13:05:00+00:00,-22.0,W,tp,SHORT,41.6,1.05097,1.04895,1.05115,1.04895,8
2022-12-09 13:00:00+00:00,2022-12-09 13:05:00+00:00,-15.0,W,tp,SHORT,41.8,1.05586,1.05466,1.05616,1.05466,8
2022-12-12 13:00:00+00:00,2022-12-12 13:05:00+00:00,-54.3,W,tp,SHORT,58.4,1.05597,1.05083,1.05626,1.05083,8
2022-12-13 13:00:00+00:00,2022-12-13 13:05:00+00:00,-9.9,W,tp,SHORT,32.8,1.05331,1.05279,1.05378,1.05279,8
2022-12-14 13:00:00+00:00,2022-12-14 13:05:00+00:00,-44.5,W,tp,SHORT,52.9,1.06623,1.0619,1.06635,1.0619,8
2022-12-15 13:00:00+00:00,2022-12-15 13:05:00+00:00,-5.3,W,tp,SHORT,55.1,1.06106,1.06058,1.06111,1.06058,8
2022-12-16 13:00:00+00:00,2022-12-16 13:05:00+00:00,-14.3,W,tp,SHORT,53.8,1.06202,1.06094,1.06237,1.06094,8
2022-12-19 13:00:00+00:00,2022-12-19 13:05:00+00:00,-11.1,W,tp,SHORT,56.4,1.06122,1.06016,1.06127,1.06016,8
2022-12-20 13:00:00+00:00,2022-12-20 13:05:00+00:00,-48.9,W,tp,SHORT,61.0,1.06269,1.05789,1.06278,1.05789,8
2022-12-21 13:00:00+00:00,2022-12-21 13:05:00+00:00,-7.8,W,tp,SHORT,29.7,1.06132,1.06076,1.06154,1.06076,8
2022-12-22 13:00:00+00:00,2022-12-22 13:05:00+00:00,-1.3,W,tp,SHORT,33.0,1.0625,1.06263,1.06276,1.06263,8
2022-12-23 13:00:00+00:00,2022-12-23 13:05:00+00:00,-23.2,W,tp,SHORT,34.4,1.06173,1.05962,1.06194,1.05962,8
2022-12-27 13:00:00+00:00,2022-12-27 13:05:00+00:00,-3.4,W,tp,LONG,31.0,1.06692,1.06694,1.0666,1.06694,8
2022-12-28 13:00:00+00:00,2022-12-28 13:05:00+00:00,-10.2,W,tp,SHORT,26.8,1.06315,1.06279,1.06381,1.06279,8
2022-12-29 13:00:00+00:00,2022-12-29 13:05:00+00:00,-22.5,W,tp,SHORT,47.0,1.06336,1.06112,1.06337,1.06112,8
2022-12-30 13:00:00+00:00,2022-12-30 13:05:00+00:00,-38.9,W,tp,SHORT,37.6,1.06696,1.06386,1.06775,1.06386,8
2023-01-02 13:00:00+00:00,2023-01-02 13:05:00+00:00,-22.7,W,tp,SHORT,38.1,1.06808,1.06624,1.06851,1.06624,8
2023-01-03 13:00:00+00:00,2023-01-03 13:05:00+00:00,-3.5,W,tp,SHORT,145.4,1.05252,1.05254,1.05289,1.05254,8
2023-01-04 13:00:00+00:00,2023-01-04 13:05:00+00:00,-60.9,W,tp,SHORT,76.0,1.0618,1.05596,1.06205,1.05596,8
2023-01-05 13:00:00+00:00,2023-01-05 13:05:00+00:00,-29.5,W,tp,SHORT,38.6,1.06161,1.05903,1.06198,1.05903,8
2023-01-06 13:00:00+00:00,2023-01-06 13:05:00+00:00,-12.7,W,tp,SHORT,34.5,1.05054,1.04965,1.05092,1.04965,8
2023-01-09 13:00:00+00:00,2023-01-09 13:05:00+00:00,-16.1,W,tp,SHORT,39.7,1.06677,1.06601,1.06762,1.06601,8
2023-01-10 13:00:00+00:00,2023-01-10 13:05:00+00:00,-16.8,W,tp,SHORT,29.9,1.07336,1.0722,1.07388,1.0722,8
