entry_time,exit_time,pnl,result,reason,direction,ar_pips,deep_state,activation,entry_price,exit_price,est_hour
2022-09-13 13:00:00+00:00,2022-09-13 13:05:00+00:00,-4.8,W,tp,SHORT,29.8,0.95017,0.94971,0.95019,0.94971,8
2022-09-14 13:00:00+00:00,2022-09-14 13:05:00+00:00,-21.8,W,tp,SHORT,38.7,0.96105,0.95889,0.96107,0.95889,8
2022-09-15 13:00:00+00:00,2022-09-15 13:05:00+00:00,-17.0,W,tp,SHORT,79.9,0.95718,0.95618,0.95788,0.95618,8
2022-09-16 13:00:00+00:00,2022-09-16 13:05:00+00:00,-15.7,W,tp,SHORT,38.7,0.96294,0.96138,0.96295,0.96138,8
2022-09-19 13:00:00+00:00,2022-09-19 13:05:00+00:00,-6.7,W,tp,SHORT,39.3,0.96624,0.96559,0.96626,0.96559,8
2022-09-20 13:00:00+00:00,2022-09-20 13:05:00+00:00,-36.6,W,tp,SHORT,44.6,0.9658,0.96231,0.96597,0.96231,8
2022-09-21 13:00:00+00:00,2022-09-21 13:05:00+00:00,-10.3,W,tp,SHORT,54.3,0.96354,0.96289,0.96392,0.96289,8
2022-09-22 13:00:00+00:00,2022-09-22 13:05:00+00:00,-146.7,W,tp,SHORT,179.0,0.97663,0.96202,0.97669,0.96202,8
2022-09-23 13:00:00+00:00,2022-09-23 13:05:00+00:00,-39.4,W,tp,SHORT,58.8,0.98064,0.97719,0.98113,0.97719,8
2022-09-26 13:00:00+00:00,2022-09-26 15:45:00+00:00,3.8,W,tp,LONG,84.7,0.98938,0.98868,0.98906,0.98868,8
2022-09-27 13:00:00+00:00,2022-09-27 13:05:00+00:00,-33.2,W,tp,SHORT,59.9,0.98912,0.98586,0.98918,0.98586,8
2022-09-28 13:00:00+00:00,2022-09-28 13:05:00+00:00,-8.9,W,tp,SHORT,65.3,0.99001,0.99002,0.99091,0.99002,8
2022-09-29 13:00:00+00:00,2022-09-29 13:05:00+00:00,-25.3,W,tp,SHORT,67.1,0.98058,0.97887,0.9814,0.97887,8
2022-09-30 13:00:00+00:00,2022-09-30 13:05:00+00:00,-35.8,W,tp,SHORT,47.2,0.97737,0.97428,0.97786,0.97428,8
2022-10-03 13:00:00+00:00,2022-10-03 13:05:00+00:00,-74.9,W,tp,SHORT,85.6,0.99047,0.9832,0.99069,0.9832,8
2022-10-04 13:00:00+00:00,2022-10-04 13:05:00+00:00,-16.1,W,tp,SHORT,58.8,0.9882,0.9867,0.98831,0.9867,8
2022-10-05 13:00:00+00:00,2022-10-05 13:05:00+00:00,-52.8,W,tp,SHORT,55.9,0.98397,0.97921,0.98449,0.97921,8
2022-10-06 13:00:00+00:00,2022-10-06 13:05:00+00:00,-0.1,W,tp,LONG,52.2,0.98351,0.98326,0.98325,0.98326,8
