entry_time,exit_time,pnl,result,reason,direction,ar_pips,deep_state,activation,entry_price,exit_price,est_hour
2022-09-13 13:00:00+00:00,2022-09-13 13:05:00+00:00,-23.3,W,tp,SHORT,41.9,149.629,149.432,149.665,149.432,8
2022-09-14 13:00:00+00:00,2022-09-14 13:05:00+00:00,-12.4,W,tp,SHORT,136.0,148.848,148.813,148.937,148.813,8
2022-09-15 13:00:00+00:00,2022-09-15 13:05:00+00:00,-75.3,W,tp,SHORT,95.8,149.565,148.845,149.598,148.845,8
2022-09-16 13:00:00+00:00,2022-09-16 13:05:00+00:00,-19.8,W,tp,SHORT,52.5,148.761,148.575,148.773,148.575,8
2022-09-19 13:00:00+00:00,2022-09-19 13:10:00+00:00,3.8,W,tp,LONG,50.7,148.479,148.429,148.467,148.429,8
2022-09-20 13:00:00+00:00,2022-09-20 13:05:00+00:00,-48.4,W,tp,SHORT,80.0,148.684,148.269,148.753,148.269,8
2022-09-21 13:00:00+00:00,2022-09-21 13:05:00+00:00,-86.2,W,tp,SHORT,100.1,149.284,148.424,149.286,148.424,8
2022-09-22 13:00:00+00:00,2022-09-22 13:05:00+00:00,-202.1,W,tp,SHORT,720.9,146.136,144.247,146.268,144.247,8
2022-09-23 13:00:00+00:00,2022-09-23 13:05:00+00:00,-44.3,W,tp,SHORT,89.6,145.323,145.005,145.448,145.005,8
2022-09-26 13:00:00+00:00,2022-09-26 13:05:00+00:00,-1.5,W,tp,SHORT,93.3,145.624,145.644,145.659,145.644,8
2022-09-27 13:00:00+00:00,2022-09-27 13:05:00+00:00,-30.5,W,tp,SHORT,78.8,145.899,145.616,145.921,145.616,8
2022-09-28 13:00:00+00:00,2022-09-28 13:05:00+00:00,-66.5,W,tp,SHORT,78.8,145.79,145.295,145.96,145.295,8
2022-09-29 13:00:00+00:00,2022-09-29 13:05:00+00:00,-78.0,W,tp,SHORT,101.1,147.464,146.69,147.47,146.69,8
2022-09-30 13:00:00+00:00,2022-09-30 13:05:00+00:00,-13.8,W,tp,SHORT,74.7,147.639,147.522,147.66,147.522,8
2022-10-03 13:00:00+00:00,2022-10-03 13:05:00+00:00,-30.7,W,tp,SHORT,120.9,146.439,146.154,146.461,146.154,8
2022-10-04 13:00:00+00:00,2022-10-04 13:05:00+00:00,-52.3,W,tp,SHORT,78.1,146.372,145.893,146.416,145.893,8
2022-10-05 13:00:00+00:00,2022-10-05 13:05:00+00:00,-4.9,W,tp,SHORT,56.8,146.713,146.67,146.719,146.67,8
2022-10-06 13:00:00+00:00,2022-10-06 13:05:00+00:00,-0.1,W,tp,SHORT,66.0,147.099,147.143,147.144,147.143,8
2022-10-07 13:00:00+00:00,2022-10-07 13:05:00+00:00,-6.7,W,tp,SHORT,44.3,146.211,146.171,146.238,146.171,8
2022-10-10 13:00:00+00:00,2022-10-10 13:05:00+00:00,-18.2,W,tp,SHORT,73.8,145.75,145.589,145.771,145.589,8
2022-10-11 13:00:00+00:00,2022-10-11 13:05:00+00:00,-33.9,W,tp,SHORT,48.5,145.763,145.431,145.77,145.431,8
2022-10-12 13:00:00+00:00,2022-10-12 13:05:00+00:00,-47.0,W,tp,SHORT,62.8,146.946,146.526,146.996,146.526,8
2022-10-13 13:00:00+00:00,2022-10-13 13:05:00+00:00,-25.1,W,tp,SHORT,46.5,146.978,146.756,147.007,146.756,8
2022-10-14 13:00:00+00:00,2022-10-14 13:05:00+00:00,-9.6,W,tp,SHORT,84.9,147.204,147.133,147.229,147.133,8
2022-10-17 13:00:00+00:00,2022-10-17 13:05:00+00:00,-22.3,W,tp,SHORT,67.5,148.251,148.081,148.304,148.081,8
2022-10-18 13:00:00+00:00,2022-10-18 13:05:00+00:00,-116.3,W,tp,SHORT,146.2,149.757,148.627,149.79,148.627,8
2022-10-19 13:00:00+00:00,2022-10-19 13:05:00+00:00,-15.8,W,tp,SHORT,71.4,149.441,149.3,149.458,149.3,8
2022-10-20 13:00:00+00:00,2022-10-20 13:05:00+00:00,-58.1,W,tp,SHORT,82.1,149.034,148.519,149.1,148.519,8
2022-10-21 13:00:00+00:00,2022-10-21 13:05:00+00:00,-2.8,W,tp,SHORT,68.1,149.17,149.157,149.185,149.157,8
2022-10-24 13:00:00+00:00,2022-10-24 13:05:00+00:00,-24.7,W,tp,SHORT,60.9,149.184,148.951,149.198,148.951,8
2022-10-25 13:00:00+00:00,2022-10-25 13:05:00+00:00,-6.6,W,tp,SHORT,42.9,148.423,148.422,148.488,148.422,8
2022-10-26 13:00:00+00:00,2022-10-26 13:05:00+00:00,-12.8,W,tp,SHORT,48.7,148.651,148.578,148.706,148.578,8
