breadth_state,days,share_of_days,fwd_window_d,mean_fwd_breadth,mean_pos_ret_share_now,mean_pos_vel7_share_now,mean_btc_outperformance_7d,mean_eth_outperformance_7d,median_fwd_btc_ret30
BROAD_MARKET_ROTATION,410,0.1867,7,0.587,0.5029,0.3425,0.03135,0.02327,0.10418
BROAD_MARKET_ROTATION,410,0.1867,14,0.4965,0.5029,0.3425,0.03135,0.02327,0.05718
BROAD_MARKET_ROTATION,410,0.1867,30,0.3075,0.5029,0.3425,0.03135,0.02327,-0.02046
BROAD_SECTOR_MOVE,1039,0.4731,7,0.2508,0.4312,0.3643,-0.0108,-0.00991,-0.02642
BROAD_SECTOR_MOVE,1039,0.4731,14,0.2835,0.4312,0.3643,-0.0108,-0.00991,-0.01662
BROAD_SECTOR_MOVE,1039,0.4731,30,0.3735,0.4312,0.3643,-0.0108,-0.00991,0.01626
NARROW_SECTOR_MOVE,542,0.2468,7,0.524,0.4941,0.3501,0.03681,0.02184,0.11694
NARROW_SECTOR_MOVE,542,0.2468,14,0.5051,0.4941,0.3501,0.03681,0.02184,0.10412
NARROW_SECTOR_MOVE,542,0.2468,30,0.4394,0.4941,0.3501,0.03681,0.02184,0.05574
ONE_COIN_OR_NARROW_MOVE,205,0.0934,7,0.1455,0.4528,0.3479,-0.00792,-0.01241,-0.09235
ONE_COIN_OR_NARROW_MOVE,205,0.0934,14,0.219,0.4528,0.3479,-0.00792,-0.01241,-0.04285
ONE_COIN_OR_NARROW_MOVE,205,0.0934,30,0.3429,0.4528,0.3479,-0.00792,-0.01241,-0.00971
