metric,band_a_earlier_rank,band_b_later_rank,best_lag_days_a_leads_b,best_corr,boot_ci_low,boot_ci_high,raw_p,n_days,fdr_q
rank_velocity_7d,51-100,201-300,0,0.159,-0.2235,0.4284,0.002,2144.0,0.0023
rank_velocity_7d,51-100,301-500,0,0.2242,-0.0045,0.423,0.002,2144.0,0.0023
rank_velocity_7d,101-200,201-300,0,0.1936,-0.3511,0.4684,0.002,2144.0,0.0023
rank_velocity_7d,101-200,301-500,7,-0.235,-0.4328,0.0858,0.002,2095.0,0.0023
rank_velocity_7d,201-300,301-500,0,0.9274,0.8655,0.9662,0.002,2144.0,0.0023
breadth_7d,1-10,11-25,0,0.8681,0.8542,0.88,0.002,2196.0,0.002
breadth_7d,1-10,26-50,0,0.8629,0.8435,0.8771,0.002,2196.0,0.002
breadth_7d,1-10,51-100,0,0.8699,0.8547,0.8841,0.002,2196.0,0.002
breadth_7d,1-10,101-200,0,0.8484,0.8283,0.8676,0.002,2196.0,0.002
breadth_7d,1-10,201-300,0,0.837,0.814,0.8602,0.002,2196.0,0.002
breadth_7d,1-10,301-500,0,0.8316,0.8077,0.8496,0.002,2196.0,0.002
breadth_7d,11-25,26-50,0,0.9059,0.8938,0.916,0.002,2196.0,0.002
breadth_7d,11-25,51-100,0,0.9151,0.9026,0.9251,0.002,2196.0,0.002
breadth_7d,11-25,101-200,0,0.9031,0.8887,0.9133,0.002,2196.0,0.002
breadth_7d,11-25,201-300,0,0.8508,0.8281,0.871,0.002,2196.0,0.002
breadth_7d,11-25,301-500,0,0.8822,0.8659,0.8951,0.002,2196.0,0.002
breadth_7d,26-50,51-100,0,0.9499,0.9434,0.9551,0.002,2196.0,0.002
breadth_7d,26-50,101-200,0,0.9417,0.9335,0.9501,0.002,2196.0,0.002
breadth_7d,26-50,201-300,0,0.8802,0.8575,0.9013,0.002,2196.0,0.002
breadth_7d,26-50,301-500,0,0.92,0.9072,0.931,0.002,2196.0,0.002
breadth_7d,51-100,101-200,0,0.9679,0.9632,0.9724,0.002,2196.0,0.002
breadth_7d,51-100,201-300,0,0.9001,0.8808,0.9184,0.002,2196.0,0.002
breadth_7d,51-100,301-500,0,0.947,0.9382,0.9552,0.002,2196.0,0.002
breadth_7d,101-200,201-300,0,0.9096,0.8904,0.9305,0.002,2196.0,0.002
breadth_7d,101-200,301-500,0,0.9688,0.9639,0.9734,0.002,2196.0,0.002
breadth_7d,201-300,301-500,0,0.9134,0.8931,0.9298,0.002,2196.0,0.002
volume_share,1-10,11-25,0,-0.5841,-0.6773,-0.4747,0.002,2196.0,0.0042
volume_share,1-10,26-50,0,-0.5543,-0.6443,-0.4228,0.002,2196.0,0.0042
volume_share,1-10,51-100,0,-0.5989,-0.7094,-0.5558,0.002,2196.0,0.0042
volume_share,1-10,101-200,0,-0.5056,-0.648,-0.4194,0.002,2196.0,0.0042
volume_share,1-10,201-300,0,-0.3376,-0.4602,-0.1996,0.0259,2196.0,0.0388
volume_share,1-10,301-500,0,-0.4098,-0.5126,-0.2992,0.002,2196.0,0.0042
volume_share,11-25,26-50,14,0.2296,0.0963,0.3653,0.0758,2182.0,0.0884
volume_share,11-25,51-100,6,0.1622,0.1029,0.2904,0.0599,2190.0,0.074
