stablecoin_regime,forward_window,mean_fwd_posret_share,median_fwd_btc_ret30,days
EXPANDING,+7D,0.4629,0.03036,1550
EXPANDING,+14D,0.4615,0.02976,1550
EXPANDING,+30D,0.4617,0.02192,1550
CONTRACTING,+7D,0.4608,-0.02331,646
CONTRACTING,+14D,0.4637,-0.013,646
CONTRACTING,+30D,0.464,0.00357,646
