chain,driver,outcome,lead_days,corr,boot_ci_low,boot_ci_high,raw_p,n,fdr_q
OP Mainnet,chain_tvl_chg_7d,improving_share,30,,-0.0614,0.0383,0.002,1424.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,-30,,-0.0413,0.076,0.002,1391.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,-14,,-0.0819,0.0025,0.002,1406.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,-7,,-0.1411,-0.0322,0.002,1413.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,-3,,0.0265,0.1411,0.002,1417.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,-1,,-0.005,0.148,0.002,1419.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,1,,0.0146,0.1029,0.002,1420.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,3,,0.0044,0.0719,0.002,1420.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,7,,-0.101,-0.0029,0.002,1421.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,14,,-0.0265,0.0705,0.002,1414.0,0.0023
OP Mainnet,chain_tvl_chg_7d,median_vel7,30,,-0.0156,0.0456,0.002,1397.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,-30,,-0.0077,0.0632,0.002,1424.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,-14,,-0.0565,0.0259,0.002,1440.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,-7,,-0.0133,0.0788,0.002,1447.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,-3,,0.0211,0.1226,0.002,1451.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,-1,,-0.0242,0.0553,0.002,1453.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,1,,-0.0565,0.0367,0.002,1453.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,3,,-0.0866,0.0188,0.002,1451.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,7,,-0.0905,-0.0302,0.002,1447.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,14,,-0.093,0.0123,0.002,1440.0,0.0023
OP Mainnet,chain_tvl_chg_7d,ret_breadth_1d,30,,-0.0326,0.0516,0.002,1424.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,-30,,-0.058,-0.058,0.002,1406.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,-14,,,,0.002,1422.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,-7,,,,0.002,1429.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,-3,,,,0.002,1433.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,-1,,,,0.002,1435.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,1,,-0.019,0.0134,0.002,1435.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,3,,,,0.002,1433.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,7,,-0.0017,-0.0017,0.002,1429.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,14,,-0.0481,-0.0459,0.002,1422.0,0.0023
OP Mainnet,chain_tvl_chg_30d,improving_share,30,,-0.0207,-0.0207,0.002,1407.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,-30,,,,0.002,1373.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,-14,,,,0.002,1389.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,-7,,-0.0146,-0.0146,0.002,1395.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,-3,,,,0.002,1399.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,-1,,,,0.002,1401.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,1,,0.0315,0.0315,0.002,1402.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,3,,,,0.002,1403.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,7,,,,0.002,1403.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,14,,-0.0018,0.0071,0.002,1397.0,0.0023
OP Mainnet,chain_tvl_chg_30d,median_vel7,30,,,,0.002,1380.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,-30,,,,0.002,1406.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,-14,,,,0.002,1422.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,-7,,,,0.002,1429.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,-3,,,,0.002,1433.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,-1,,,,0.002,1435.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,1,,0.0312,0.0312,0.002,1435.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,3,,,,0.002,1433.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,7,,-0.0327,-0.0327,0.002,1429.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,14,,,,0.002,1422.0,0.0023
OP Mainnet,chain_tvl_chg_30d,ret_breadth_1d,30,,,,0.002,1407.0,0.0023
Bitcoin,chain_tvl_chg_7d,improving_share,-30,-0.0347,-0.0688,-0.0048,0.3114,1135.0,0.3402
Bitcoin,chain_tvl_chg_7d,improving_share,-14,-0.0153,-0.0488,0.08,0.6846,1151.0,0.7072
Bitcoin,chain_tvl_chg_7d,improving_share,-7,-0.0376,-0.0874,-0.0151,0.2216,1158.0,0.2447
Bitcoin,chain_tvl_chg_7d,improving_share,-3,-0.0099,-0.0472,0.1296,0.8004,1162.0,0.8128
Bitcoin,chain_tvl_chg_7d,improving_share,-1,-0.0013,-0.0342,0.1466,0.9741,1164.0,0.9755
Bitcoin,chain_tvl_chg_7d,improving_share,1,-0.009,-0.0396,0.1163,0.7864,1164.0,0.8009
Bitcoin,chain_tvl_chg_7d,improving_share,3,-0.0206,-0.0454,0.0762,0.5649,1162.0,0.5946
Bitcoin,chain_tvl_chg_7d,improving_share,7,-0.0287,-0.0699,0.0421,0.3713,1158.0,0.4014
Bitcoin,chain_tvl_chg_7d,improving_share,14,0.0434,-0.0745,0.0907,0.1397,1151.0,0.1569
Bitcoin,chain_tvl_chg_7d,improving_share,30,-0.02,-0.0459,0.0917,0.5768,1135.0,0.6045
Bitcoin,chain_tvl_chg_7d,median_vel7,-30,-0.0115,-0.0607,0.0283,0.7485,1102.0,0.7655
Bitcoin,chain_tvl_chg_7d,median_vel7,-14,-0.0183,-0.0789,0.001,0.3533,1118.0,0.3843
Bitcoin,chain_tvl_chg_7d,median_vel7,-7,-0.0103,-0.0497,0.0344,0.6008,1125.0,0.6269
Bitcoin,chain_tvl_chg_7d,median_vel7,-3,0.0015,-0.0309,0.1295,0.9281,1129.0,0.932
Bitcoin,chain_tvl_chg_7d,median_vel7,-1,0.0094,-0.0103,0.1031,0.5848,1131.0,0.6111
Bitcoin,chain_tvl_chg_7d,median_vel7,1,0.0846,0.0425,0.1265,0.018,1133.0,0.0205
Bitcoin,chain_tvl_chg_7d,median_vel7,3,0.0153,0.0022,0.0866,0.4331,1132.0,0.464
Bitcoin,chain_tvl_chg_7d,median_vel7,7,-0.0166,-0.0447,0.0263,0.3792,1132.0,0.4093
Bitcoin,chain_tvl_chg_7d,median_vel7,14,0.0326,-0.0306,0.0818,0.2076,1125.0,0.2296
Bitcoin,chain_tvl_chg_7d,median_vel7,30,0.0071,-0.0102,0.0765,0.6407,1111.0,0.6657
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,-30,-0.0294,-0.0694,0.0553,0.4591,1135.0,0.489
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,-14,-0.0273,-0.0623,0.0399,0.517,1151.0,0.5458
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,-7,0.0806,0.0664,0.1678,0.002,1158.0,0.0023
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,-3,0.0607,0.0388,0.1182,0.008,1162.0,0.0091
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,-1,0.0703,0.056,0.1409,0.004,1164.0,0.0046
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,1,0.034,-0.0721,0.076,0.3074,1164.0,0.3364
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,3,0.0317,-0.0742,0.0674,0.3673,1162.0,0.3977
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,7,-0.0143,-0.047,0.0965,0.7206,1158.0,0.7401
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,14,0.0279,-0.1018,0.0738,0.4551,1151.0,0.4854
Bitcoin,chain_tvl_chg_7d,ret_breadth_1d,30,-0.0331,-0.0703,0.0363,0.3533,1135.0,0.3843
Bitcoin,chain_tvl_chg_30d,improving_share,-30,,-0.0666,-0.0261,0.002,1124.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,-14,,-0.0616,-0.0298,0.002,1138.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,-7,,0.0066,0.0806,0.002,1145.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,-3,,-0.0188,0.0186,0.002,1149.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,-1,,-0.0443,0.0996,0.002,1151.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,1,,-0.0426,0.0822,0.002,1151.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,3,,-0.052,0.048,0.002,1149.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,7,,-0.0584,-0.028,0.002,1145.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,14,,-0.0534,0.0005,0.002,1138.0,0.0023
Bitcoin,chain_tvl_chg_30d,improving_share,30,,-0.057,0.022,0.002,1123.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,-30,,-0.0711,-0.0195,0.002,1092.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,-14,,-0.2061,-0.0081,0.002,1106.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,-7,,-0.0499,0.0907,0.002,1113.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,-3,,-0.0572,0.0151,0.002,1116.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,-1,,-0.0064,0.1029,0.002,1118.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,1,,-0.0027,0.1065,0.002,1121.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,3,,-0.0124,0.0344,0.002,1119.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,7,,-0.0447,0.0546,0.002,1120.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,14,,-0.1295,-0.0065,0.002,1112.0,0.0023
Bitcoin,chain_tvl_chg_30d,median_vel7,30,,-0.0117,0.001,0.002,1099.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,-30,,-0.0351,-0.0051,0.002,1124.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,-14,,-0.0475,0.0523,0.002,1138.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,-7,,-0.04,-0.0197,0.002,1145.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,-3,,-0.0516,-0.031,0.002,1149.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,-1,,0.0176,0.0777,0.002,1151.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,1,,-0.0177,0.0628,0.002,1151.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,3,,-0.0478,-0.0223,0.002,1149.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,7,,-0.0275,0.0289,0.002,1145.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,14,,-0.01,0.0758,0.002,1138.0,0.0023
Bitcoin,chain_tvl_chg_30d,ret_breadth_1d,30,,-0.0665,0.0588,0.002,1123.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,-30,,-0.0222,0.0387,0.002,656.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,-14,,-0.0267,0.1522,0.002,671.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,-7,,-0.0779,0.1238,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,-3,,-0.0301,0.0713,0.002,682.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,-1,,0.0041,0.1357,0.002,684.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,1,,0.0138,0.1323,0.002,684.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,3,,-0.0201,0.0733,0.002,682.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,7,,-0.0998,0.034,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,14,,-0.1081,0.0237,0.002,671.0,0.0023
Sui,chain_tvl_chg_7d,improving_share,30,,-0.0933,0.0527,0.002,655.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,-30,,-0.0409,0.0021,0.002,650.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,-14,,-0.0103,0.0848,0.002,664.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,-7,,-0.1542,0.024,0.002,671.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,-3,,-0.0254,0.1068,0.002,675.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,-1,,-0.0646,0.1557,0.002,677.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,1,,0.0016,0.0603,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,3,,-0.0267,0.079,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,7,,-0.0979,0.0204,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,14,,-0.0563,0.0312,0.002,671.0,0.0023
Sui,chain_tvl_chg_7d,median_vel7,30,,-0.0042,0.047,0.002,655.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,-30,,-0.0902,0.1114,0.002,656.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,-14,,0.0069,0.0319,0.002,671.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,-7,,-0.0687,0.0585,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,-3,,0.0026,0.0802,0.002,682.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,-1,,-0.0064,0.1054,0.002,684.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,1,,-0.0799,0.0177,0.002,684.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,3,,-0.0711,-0.0034,0.002,682.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,7,,-0.0876,0.0475,0.002,678.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,14,,-0.0735,0.0451,0.002,671.0,0.0023
Sui,chain_tvl_chg_7d,ret_breadth_1d,30,,0.0116,0.0795,0.002,655.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,-30,,-0.0334,0.1633,0.002,651.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,-14,,-0.0487,-0.0121,0.002,666.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,-7,,-0.0044,0.1166,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,-3,,-0.0864,0.0151,0.002,676.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,-1,,-0.0372,0.0208,0.002,678.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,1,,-0.0905,0.0451,0.002,678.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,3,,-0.0832,0.0073,0.002,676.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,7,,-0.1453,0.0286,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,14,,-0.1268,0.0173,0.002,665.0,0.0023
Sui,chain_tvl_chg_30d,improving_share,30,,-0.0746,0.0078,0.002,649.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,-30,,-0.0124,0.0766,0.002,645.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,-14,,-0.1189,0.1291,0.002,659.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,-7,,0.0043,0.0737,0.002,666.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,-3,,0.0158,0.0312,0.002,670.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,-1,,-0.0576,0.0395,0.002,671.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,1,,0.0174,0.0294,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,3,,-0.1282,0.0433,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,7,,-0.168,0.006,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,14,,-0.0594,0.0119,0.002,665.0,0.0023
Sui,chain_tvl_chg_30d,median_vel7,30,,-0.0724,0.0306,0.002,649.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,-30,,0.033,0.0388,0.002,651.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,-14,,-0.0528,0.0734,0.002,666.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,-7,,-0.0578,0.0545,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,-3,,-0.0624,0.0492,0.002,676.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,-1,,-0.0566,0.0374,0.002,678.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,1,,-0.1834,-0.0109,0.002,678.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,3,,-0.0575,0.0171,0.002,676.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,7,,-0.0645,0.0466,0.002,672.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,14,,-0.058,0.0304,0.002,665.0,0.0023
Sui,chain_tvl_chg_30d,ret_breadth_1d,30,,-0.0231,0.0333,0.002,649.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,-30,,-0.0856,0.0075,0.002,599.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,-14,,-0.0895,-0.0278,0.002,615.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,-7,,-0.1015,-0.0125,0.002,622.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,-3,,-0.0815,-0.0018,0.002,626.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,-1,,-0.1214,-0.0043,0.002,628.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,1,,-0.0531,0.1287,0.002,628.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,3,,-0.0608,0.0774,0.002,626.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,7,,-0.0328,0.1448,0.002,622.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,14,,-0.0402,0.1471,0.002,615.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,improving_share,30,,-0.0551,-0.0122,0.002,599.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,-30,,-0.0082,0.1285,0.002,591.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,-14,,-0.0556,0.0507,0.002,607.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,-7,,-0.0689,0.0303,0.002,614.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,-3,,-0.1926,0.0191,0.002,618.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,-1,,-0.1337,0.0059,0.002,620.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,1,,-0.1185,0.0279,0.002,621.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,3,,-0.0212,-0.0013,0.002,621.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,7,,-0.0717,0.0276,0.002,621.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,14,,-0.027,0.0937,0.002,614.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,median_vel7,30,,-0.0182,0.0081,0.002,599.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,-30,,-0.0512,0.0768,0.002,599.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,-14,,-0.0693,0.0999,0.002,615.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,-7,,-0.0714,-0.0203,0.002,622.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,-3,,-0.0553,0.0659,0.002,626.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,-1,,-0.0725,0.0806,0.002,628.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,1,,-0.0588,0.0763,0.002,628.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,3,,-0.0822,0.0669,0.002,626.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,7,,-0.0679,0.0368,0.002,622.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,14,,-0.0837,0.0589,0.002,615.0,0.0023
Hyperliquid L1,chain_tvl_chg_7d,ret_breadth_1d,30,,-0.1079,0.0652,0.002,599.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,-30,,-0.071,0.0013,0.002,592.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,-14,,-0.0709,0.1261,0.002,606.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,-7,,-0.0595,-0.0199,0.002,613.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,-3,,-0.055,0.0805,0.002,617.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,-1,,-0.0548,0.0858,0.002,619.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,1,,-0.0281,0.1506,0.002,619.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,3,,-0.0495,0.2045,0.002,617.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,7,,-0.0499,0.0894,0.002,613.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,14,,-0.0517,0.1852,0.002,606.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,improving_share,30,,-0.1381,-0.0256,0.002,590.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,-30,,-0.0221,0.0227,0.002,584.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,-14,,-0.0412,0.0255,0.002,598.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,-7,,-0.0167,0.0621,0.002,605.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,-3,,-0.0156,0.0592,0.002,609.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,-1,,-0.011,0.0502,0.002,611.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,1,,-0.0066,0.0799,0.002,612.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,3,,-0.0125,0.132,0.002,612.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,7,,-0.0112,0.0983,0.002,612.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,14,,-0.0101,0.1481,0.002,605.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,median_vel7,30,,-0.0963,-0.0153,0.002,590.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,-30,,-0.0796,0.0912,0.002,592.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,-14,,-0.0835,0.0681,0.002,606.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,-7,,-0.0757,0.0553,0.002,613.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,-3,,-0.0783,0.0882,0.002,617.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,-1,,-0.0782,0.0771,0.002,619.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,1,,-0.0853,0.0353,0.002,619.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,3,,-0.0743,0.0716,0.002,617.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,7,,-0.0756,-0.0067,0.002,613.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,14,,-0.078,-0.0033,0.002,606.0,0.0023
Hyperliquid L1,chain_tvl_chg_30d,ret_breadth_1d,30,,-0.0876,0.0511,0.002,590.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,-30,,-0.0601,0.1295,0.002,333.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,-14,,-0.0561,0.1161,0.002,349.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,-7,,0.0074,0.227,0.002,356.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,-3,,-0.0124,0.1865,0.002,360.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,-1,,-0.0399,0.1526,0.002,362.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,1,,-0.0874,0.0563,0.002,362.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,3,,-0.1072,0.0063,0.002,360.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,7,,-0.0834,0.0639,0.002,356.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,14,,-0.0628,0.1231,0.002,349.0,0.0023
PulseChain,chain_tvl_chg_7d,improving_share,30,,-0.1779,0.0876,0.002,333.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,-30,,-0.0626,0.0788,0.002,235.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,-14,,-0.1088,0.0882,0.002,251.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,-7,,0.0561,0.2288,0.002,257.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,-3,,-0.0168,0.1339,0.002,261.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,-1,,-0.0648,0.0585,0.002,264.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,1,,-0.1131,0.0153,0.002,263.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,3,,-0.1652,-0.028,0.002,264.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,7,,-0.165,0.0264,0.002,264.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,14,,0.0051,0.2353,0.002,258.0,0.0023
PulseChain,chain_tvl_chg_7d,median_vel7,30,,-0.3352,0.075,0.002,242.0,0.0023
PulseChain,chain_tvl_chg_7d,ret_breadth_1d,-30,,-0.1495,0.0356,0.002,333.0,0.0023
PulseChain,chain_tvl_chg_7d,ret_breadth_1d,-14,,-0.0593,0.0918,0.002,349.0,0.0023
PulseChain,chain_tvl_chg_7d,ret_breadth_1d,-7,,-0.0655,0.1418,0.002,356.0,0.0023
